PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
51921,684,16663,1,32,399,0,
49359,686,15685,1,11,278,0,
50179,686,16636,1,13,371,0,
49061,686,15697,1,11,280,0,
50127,686,16645,1,13,368,0,
49049,686,15709,1,12,271,0,
50189,686,16657,1,12,366,0,
49100,686,15721,1,12,285,0,
51255,686,16621,1,13,370,0,
48938,686,15685,1,12,279,0,
50829,686,16633,1,12,377,0,
48907,686,15700,1,11,278,0,
50435,686,16645,1,12,360,0,
48857,686,15709,1,11,273,0,
54470,686,23026,1,13,412,0,
50906,686,16881,1,12,371,0,
49013,686,15688,1,11,272,0,
51366,686,16633,1,12,364,0,
48818,686,15697,1,11,270,0,
51518,686,16645,1,12,370,0,
48953,686,15709,1,11,269,0,
51156,686,16657,1,12,361,0,
49279,686,15721,1,11,275,0,
51260,686,16621,1,12,364,0,
48940,686,15685,1,11,270,0,
51317,686,16633,1,12,365,0,
49065,686,15700,1,11,270,0,
51292,686,16645,1,12,363,0,
48952,686,15709,1,11,266,0,
55139,686,23026,1,12,400,0,
48921,686,15721,1,11,274,0,
51325,686,16624,1,12,366,0,
48957,686,15685,1,11,272,0,
51349,686,16633,1,13,367,0,
48961,686,15697,1,11,267,0,
51265,686,16645,1,12,369,0,
48994,686,15709,1,11,274,0,
51793,686,16917,1,12,378,0,
48883,686,15721,1,11,269,0,
51314,686,16621,1,12,363,0,
49381,686,15688,1,11,274,0,
51457,686,16633,1,12,367,0,
48979,686,15697,1,11,273,0,
51725,686,16645,1,12,366,0,
52642,686,22078,1,11,313,0,
51277,686,16660,1,12,365,0,
48912,686,15721,1,11,268,0,
51080,686,16621,1,12,366,0,
48889,686,15685,1,11,267,0,
51992,686,16633,1,12,359,0,
61691,687,22462,1,30,549,1,
35333,686,16567,1,12,373,1,
35249,686,16579,1,12,372,0,
35253,686,15643,1,11,270,0,
35301,686,16543,1,12,370,1,
35208,686,15610,1,11,276,0,
35252,686,16555,1,12,370,1,
35233,686,15619,1,11,277,0,
35308,686,16827,1,12,377,1,
35262,686,22000,1,12,308,0,
35271,686,16582,1,12,371,1,
35296,686,15643,1,11,273,0,
35288,686,16543,1,12,365,1,
35260,686,15607,1,12,279,0,
35230,686,16555,1,12,366,2,
35254,686,15697,1,11,275,0,
35286,686,16567,1,12,367,0,
35238,686,15631,1,11,275,0,
35253,686,16579,1,12,372,2,
35240,686,15646,1,11,280,0,
35274,686,16543,1,12,363,0,
35259,686,15607,1,11,277,0,
35262,686,16555,1,12,368,3,
35269,686,15619,1,11,272,0,
35233,686,22939,1,12,402,0,
35252,686,15631,1,11,283,0,
35203,686,16579,1,12,366,1,
35216,686,15643,1,12,278,0,
35250,686,16543,1,12,367,2,
35237,686,15867,1,11,294,0,
35248,686,16555,1,12,366,1,
35243,686,15619,1,11,279,0,
35279,686,16567,1,12,362,1,
35241,686,15631,1,11,281,0,
35296,686,16582,1,12,366,1,
35242,686,15643,1,11,276,0,
35238,686,16543,1,12,373,1,
35248,686,16555,1,12,373,0,
35275,686,15891,1,14,311,1,
35243,686,22939,1,12,412,1,
35283,686,15631,1,11,279,0,
35252,686,16579,1,12,361,1,
35255,686,15643,1,11,276,0,
35227,686,16543,1,12,363,0,
35339,686,15607,1,11,277,0,
35237,686,16555,1,12,361,1,
35276,686,15619,1,11,271,0,
35288,686,16567,1,12,366,1,
35274,686,15634,1,11,276,0,
35305,686,16579,1,12,365,0,
35284,686,15903,1,11,292,0,
35209,686,16543,1,12,365,1,
35238,686,15607,1,11,280,0,
35244,686,16555,1,12,364,1,
35279,686,21991,1,11,321,0,
35274,686,16567,1,12,364,1,
35254,686,15631,1,11,274,0,
35296,686,16579,1,12,371,0,
35265,686,15643,1,11,274,0,
35245,686,16551,1,11,365,1,
35244,686,15607,1,11,266,0,
44245,686,20503,1,12,529,1,
35226,686,15619,1,11,266,0,
35297,686,16570,1,12,367,0,
35249,686,15631,1,11,272,0,
35239,686,16579,1,12,364,1,
35312,686,15643,1,11,272,0,
35232,686,16543,1,12,368,1,
35247,686,15607,1,11,265,0,
35225,686,22946,1,12,401,1,
35200,686,15619,1,11,276,0,
35300,686,16827,1,12,379,1,
35213,686,15631,1,11,270,0,
35267,686,16579,1,12,372,1,
35213,686,16543,1,12,364,1,
35247,686,15607,1,11,277,0,
35270,686,16555,1,12,360,1,
35232,686,15622,1,11,272,0,
35234,686,16567,1,12,366,1,
35240,686,15631,1,11,277,0,
35241,686,16579,1,12,368,1,
35263,686,15721,1,11,274,0,
35257,686,16543,1,12,365,1,
35243,686,15607,1,11,276,0,
35229,686,22927,1,12,401,0,
35266,686,15619,1,11,274,0,
35240,686,16567,1,12,370,1,
35262,686,15631,1,11,266,0,
35230,686,16579,1,12,361,1,
35370,686,15643,1,11,286,0,
35343,686,16543,1,12,371,0,
35256,686,15610,1,11,277,0,
35266,686,16815,1,12,381,1,
35183,686,15619,1,11,276,0,
35223,686,16567,1,12,363,1,
35296,686,15631,1,11,272,0,
35218,686,16579,1,12,363,1,
