PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
35000,499,9869,0,2402,47,
33849,499,9869,0,2402,35,
33676,499,9869,0,2402,39,
33571,499,9869,0,2402,41,
33656,499,9869,0,2402,42,
33674,499,9869,0,2402,39,
33644,499,9869,0,2402,40,
33607,499,9869,0,2402,39,
34141,499,9869,0,2402,42,
33874,499,9869,0,2402,43,
33590,499,9869,0,2402,40,
33711,499,9869,0,2402,38,
33620,499,9869,0,2402,36,
33565,499,9869,0,2402,37,
33606,499,9869,0,2402,37,
33603,499,9869,0,2402,38,
33652,499,9869,0,2402,37,
33646,499,9869,0,2402,38,
33739,499,9869,0,2402,31,
33649,499,9869,0,2402,35,
33657,499,9869,0,2402,36,
33675,499,9869,0,2402,41,
33665,499,9869,0,2402,38,
33697,499,9869,0,2402,43,
33642,499,9869,0,2402,39,
33765,499,9869,0,2402,36,
33635,499,9869,0,2402,35,
33594,499,9869,0,2402,36,
33591,499,9869,0,2402,36,
33675,499,9869,0,2402,38,
33621,499,9869,0,2402,34,
33642,499,9869,0,2402,39,
33570,499,9869,0,2402,39,
33574,499,9869,0,2402,38,
33622,499,9869,0,2402,46,
33755,499,9869,0,2402,38,
33602,499,9869,0,2402,37,
33689,499,9869,0,2402,41,
33742,499,9869,0,2402,39,
33620,499,9869,0,2402,37,
33628,499,9869,0,2402,35,
33642,499,9869,0,2402,40,
33659,499,9869,0,2402,37,
33703,499,9869,0,2402,36,
33671,499,9869,0,2402,38,
33745,499,9869,0,2402,38,
33686,499,9869,0,2402,38,
33694,499,9869,0,2402,39,
33691,499,9869,0,2402,38,
33621,499,9869,0,2402,39,
33715,499,9869,0,2402,39,
33772,499,9869,0,2402,42,
33779,499,9869,0,2402,39,
33739,499,9869,0,2402,40,
33727,499,9869,0,2402,37,
33723,499,9869,0,2402,34,
33700,499,9869,0,2402,39,
33703,499,9869,0,2402,37,
33908,499,9869,0,2402,33,
33834,499,9869,0,2402,36,
33807,499,9869,0,2402,37,
33823,499,9869,0,2402,39,
33896,499,9869,0,2402,37,
33919,499,9869,0,2402,42,
38813,499,9869,0,2402,41,
33845,499,9869,0,2402,42,
33895,499,9869,0,2402,39,
33908,499,9869,0,2402,36,
33899,499,9869,0,2402,37,
33849,499,9869,0,2402,38,
33874,499,9869,0,2402,37,
33875,499,9869,0,2402,35,
33892,499,9869,0,2402,39,
33889,499,9869,0,2402,35,
33897,499,9869,0,2402,31,
33933,499,9869,0,2402,34,
33901,499,9869,0,2402,38,
33845,499,9869,0,2402,42,
33889,499,9869,0,2402,39,
33841,499,9869,0,2402,38,
33936,499,9869,0,2402,37,
34054,499,9869,0,2402,38,
33940,499,9869,0,2402,31,
33987,499,9869,0,2402,38,
33857,499,9869,0,2402,35,
33903,499,9869,0,2402,32,
33848,499,9869,0,2402,39,
33933,499,9869,0,2402,34,
33889,499,9869,0,2402,40,
33995,499,9869,0,2402,38,
33902,499,9869,0,2402,35,
33908,499,9869,0,2402,35,
33949,499,9869,0,2402,36,
33912,499,9869,0,2402,37,
33924,499,9869,0,2402,37,
33957,499,9869,0,2402,32,
33995,499,9869,0,2402,38,
34008,499,9869,0,2402,40,
33887,499,9869,0,2402,35,
33965,499,9869,0,2402,33,
33924,499,9869,0,2402,37,
33931,499,9869,0,2402,37,
33910,499,9869,0,2402,32,
33983,499,9869,0,2402,40,
33936,499,9869,0,4614,308,
33960,499,9869,0,2402,35,
33920,499,9869,0,2402,35,
33919,499,9869,0,2402,34,
33895,499,9869,0,2402,36,
33938,499,9869,0,2402,37,
33898,499,9869,0,2402,44,
33880,499,9869,0,2402,35,
34067,499,9869,0,2402,43,
33926,499,9869,0,2402,40,
33910,499,9869,0,2402,42,
33984,499,9869,0,2402,37,
33892,499,9869,0,2402,36,
33955,499,9869,0,2402,35,
33886,499,9869,0,2402,36,
33895,499,9869,0,2402,40,
34022,499,9869,0,2402,36,
33938,499,9869,0,2402,39,
33855,499,9869,0,2402,35,
33887,499,9869,0,2402,34,
34015,499,9869,0,2402,39,
33903,499,9869,0,2402,38,
33952,499,9869,0,2402,42,
33980,499,9869,0,2402,37,
33959,499,9869,0,2402,39,
33927,499,9869,0,2402,40,
33853,499,9869,0,2402,46,
33997,499,9869,0,2402,38,
33943,499,9869,0,2402,35,
33940,499,9869,0,2402,36,
33948,499,9869,0,2402,38,
33957,499,9869,0,2402,33,
34044,499,9869,0,2402,42,
34020,499,9869,0,2402,42,
33933,499,9869,0,2402,38,
33908,499,9869,0,2402,35,
33953,499,9869,0,2402,41,
33951,499,9869,0,2402,36,
33991,499,9869,0,2402,36,
33942,499,9869,0,2402,38,
34042,499,9869,0,2402,38,
33960,499,9869,0,2402,40,
33886,499,9869,0,2402,33,
33886,499,9869,0,2402,37,
33913,499,9869,0,2402,35,
33910,499,9869,0,2402,36,
34083,499,9869,0,2402,39,
33883,499,9869,0,2402,37,
33956,499,9869,0,2402,37,
33915,499,9869,0,2402,37,
33964,499,9869,0,2402,37,
33996,499,9869,0,2402,38,
33925,499,9869,0,2402,36,
33974,499,9869,0,2402,42,
33916,499,9869,0,2402,35,
33937,499,9869,0,2402,34,
33828,499,9869,0,2402,39,
33858,499,9869,0,2402,38,
33879,499,9869,0,2402,35,
33825,499,9869,0,2402,37,
33914,499,9869,0,2402,37,
33937,499,9869,0,2402,39,
33842,499,9869,0,2402,39,
33907,499,9869,0,2402,45,
34746,499,9869,0,2402,44,
34746,499,9869,0,2402,41,
34731,499,9869,0,2402,39,
34781,499,9869,0,2402,39,
34746,499,9869,0,2402,38,
34761,499,9869,0,2402,43,
34773,499,9869,0,2402,39,
34769,499,9869,0,2402,37,
34712,499,9869,0,2402,43,
34708,499,9869,0,2402,40,
34767,499,9869,0,2402,40,
34718,499,9869,0,2402,38,
34705,499,9869,0,2402,36,
34798,499,9869,0,2402,36,
34709,499,9869,0,2402,35,
34035,499,9869,0,2402,39,
33933,499,9869,0,2402,34,
33934,499,9869,0,2402,38,
33963,499,9869,0,2402,32,
33893,499,9869,0,2402,31,
33969,499,9869,0,2402,38,
33871,499,9869,0,2402,34,
33886,499,9869,0,2402,37,
33944,499,9869,0,2402,39,
33899,499,9869,0,2402,40,
33868,499,9869,0,2402,42,
33939,499,9869,0,2402,39,
33865,499,9869,0,2402,34,
33857,499,9869,0,2402,37,
33890,499,9869,0,2402,41,
47611,500,14132,0,3667,57,
33902,499,9869,0,2402,42,
33904,499,9869,0,2402,39,
33881,499,9869,0,2402,38,
33859,499,9869,0,2402,38,
33796,499,9869,0,2402,35,
33838,499,9869,0,2402,37,
33914,499,9869,0,2402,36,
33955,499,9869,0,2402,36,
33868,499,9869,0,2402,35,
33928,499,9869,0,2402,35,
33900,499,9869,0,2402,41,
33912,499,9869,0,2402,35,
33888,499,9869,0,2402,37,
33930,499,9869,0,2402,36,
34059,499,9869,0,2402,38,
34018,499,9869,0,2402,38,
34021,499,9869,0,2402,42,
33964,499,9869,0,2402,38,
33969,499,9869,0,2402,38,
33885,499,9869,0,2402,38,
33906,499,9869,0,2402,39,
34035,499,9869,0,2402,34,
33934,499,9869,0,2402,38,
33905,499,9869,0,2402,34,
33943,499,9869,0,2402,36,
33927,499,9869,0,2402,38,
33889,499,9869,0,2402,41,
33900,499,9869,0,2402,41,
33937,499,9869,0,2402,36,
33923,499,9869,0,2402,39,
33846,499,9869,0,2402,40,
33985,499,9869,0,2402,41,
34286,499,9869,0,2402,43,
33974,499,9869,0,2402,37,
33927,499,9869,0,2402,42,
33994,499,9869,0,2402,38,
33980,499,9869,0,2402,36,
33912,499,9869,0,2402,36,
34001,499,9869,0,2402,33,
34009,499,9869,0,2402,36,
33965,499,9869,0,2402,36,
34034,499,9869,0,2402,39,
33994,499,9869,0,2402,39,
33962,499,9869,0,2402,38,
33927,499,9869,0,2402,39,
34021,499,9869,0,2402,34,
34034,499,15051,0,3769,256,
33985,499,9869,0,2402,35,
33985,499,9869,0,2402,37,
34011,499,9869,0,2402,40,
33948,499,9869,0,2402,39,
33956,499,9869,0,2402,35,
33926,499,9869,0,2402,37,
33963,499,9869,0,2402,37,
34019,499,9869,0,2402,34,
33980,499,9869,0,2402,38,
34003,499,9869,0,2402,38,
33939,499,9869,0,2402,37,
33955,499,9869,0,2402,36,
33933,499,9869,0,2402,37,
33967,499,9869,0,2402,31,
33940,499,9869,0,2402,38,
34001,499,9869,0,2402,35,
33986,499,9869,0,2402,36,
33956,499,9869,0,2402,38,
33992,499,9869,0,2402,39,
33982,499,9869,0,2402,32,
34000,499,9869,0,2402,39,
33981,499,9869,0,2402,36,
33957,499,9869,0,2402,44,
33942,499,9869,0,2402,40,
33993,499,9869,0,2402,39,
34017,499,9869,0,2402,38,
34018,499,9869,0,2402,38,
33976,499,9869,0,2402,39,
33962,499,9869,0,2402,36,
34044,499,9869,0,2402,36,
33857,499,9869,0,2402,36,
33906,499,9869,0,2402,40,
33947,499,9869,0,2402,39,
33917,499,9869,0,2402,35,
34000,499,9869,0,2402,42,
33980,499,9869,0,2402,40,
34002,499,9869,0,2402,37,
33915,499,9869,0,2402,39,
33979,499,9869,0,2402,38,
33985,499,9869,0,2402,37,
34016,499,9869,0,2402,36,
33955,499,9869,0,2402,41,
33969,499,9869,0,2402,40,
34040,499,9869,0,2402,38,
33889,499,9869,0,2402,39,
33972,499,9869,0,2402,35,
33944,499,9869,0,2402,37,
33949,499,9869,0,2402,32,
33939,499,9869,0,2402,31,
33984,499,9869,0,2402,33,
34006,499,9869,0,2402,40,
33947,499,9869,0,2402,38,
33955,499,9869,0,2402,37,
34024,499,9869,0,2402,35,
34069,499,9869,0,2402,36,
33967,499,9869,0,2402,33,
33968,499,9869,0,2402,41,
33943,499,9869,0,2402,39,
33943,499,9869,0,2402,40,
33870,499,9869,0,2402,38,
34007,499,9869,0,2402,36,
33999,499,9869,0,2402,35,
34118,499,9869,0,2402,41,
34005,499,9869,0,2402,37,
34006,499,9869,0,2402,37,
33917,499,9869,0,2402,40,
33925,499,9869,0,2402,36,
33977,499,9869,0,2402,40,
33944,499,9869,0,2402,33,
33974,499,9869,0,2402,37,
33984,499,9869,0,2402,40,
33977,499,9869,0,2402,38,
33961,499,9869,0,2402,34,
33918,499,9869,0,2402,35,
33919,499,9869,0,2402,40,
33961,499,9869,0,2402,41,
33931,499,9869,0,2402,42,
33964,499,9869,0,2402,40,
33979,499,9869,0,2402,37,
34251,499,9869,0,2402,39,
33980,499,9869,0,2402,39,
33935,499,9869,0,2402,33,
33954,499,9869,0,2402,43,
33993,499,9869,0,2402,40,
33842,499,9869,0,2402,41,
33952,499,9869,0,2402,36,
34039,499,9869,0,2402,43,
34016,499,9869,0,2402,36,
33935,499,9869,0,2402,38,
34018,499,9869,0,2402,39,
33989,499,9869,0,2402,39,
33911,499,9869,0,2402,40,
33982,499,9869,0,2402,35,
33967,499,9869,0,2402,39,
34063,499,9869,0,2402,37,
33929,499,9869,0,2402,38,
34033,499,9869,0,2402,37,
33977,499,9869,0,2402,39,
33970,499,9869,0,2402,41,
33955,499,9869,0,2402,39,
34028,499,9869,0,2402,43,
33985,499,9869,0,2402,41,
33948,499,9869,0,2402,37,
33990,499,9869,0,2402,41,
33964,499,9869,0,2402,35,
33991,499,9869,0,2402,39,
34008,499,9869,0,2402,34,
33959,499,9869,0,2402,42,
34051,499,9869,0,2402,35,
34020,499,9869,0,2402,37,
33946,499,9869,0,2402,31,
33954,499,9869,0,2402,39,
33955,499,9869,0,2402,39,
34003,499,9869,0,2402,37,
33990,499,9869,0,2402,39,
33994,499,9869,0,2402,35,
33991,499,9869,0,2402,39,
33970,499,9869,0,2402,38,
33979,499,9869,0,2402,40,
33965,499,9869,0,2402,37,
33963,499,9869,0,2402,36,
33935,499,9869,0,2402,37,
34010,499,9869,0,2402,42,
34011,499,9869,0,2402,36,
33892,499,9869,0,2402,38,
34029,499,9869,0,2402,41,
33974,499,9869,0,2402,36,
33932,499,9869,0,2402,40,
33901,499,9869,0,2402,38,
33955,499,9869,0,2402,35,
34020,499,9869,0,2402,40,
33849,499,9869,0,2402,39,
33922,499,9869,0,2402,35,
33941,499,9869,0,2402,37,
33990,499,9869,0,2402,41,
33959,499,9869,0,2402,33,
33979,499,9869,0,2402,38,
33987,499,9869,0,2402,35,
33921,499,9869,0,2402,43,
33925,499,9869,0,2402,39,
33957,499,9869,0,2402,38,
34038,499,9869,0,2402,34,
33903,499,9869,0,2402,40,
34006,499,9869,0,2402,40,
33974,499,9869,0,2402,45,
33978,499,9869,0,2402,39,
34001,499,9869,0,2402,43,
33953,499,9869,0,2402,39,
47319,499,13625,0,2402,45,
33879,499,9869,0,2402,36,
34035,499,9869,0,2402,34,
34007,499,9869,0,2402,36,
34011,499,9869,0,2402,41,
34007,499,9869,0,2402,35,
33966,499,9869,0,2402,36,
33927,499,9869,0,2402,42,
34019,499,9869,0,2402,37,
33886,499,9869,0,2402,42,
