PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
38603,3354,9869,0,2973,132,
35339,3354,9869,0,2973,103,
35140,3354,9869,0,2973,114,
35009,3354,9869,0,2973,111,
35050,3354,9869,0,2973,105,
34996,3354,9869,0,2973,103,
35054,3354,9869,0,2973,111,
35079,3354,9869,0,2973,100,
34996,3354,9869,0,2973,110,
35035,3354,9869,0,2973,102,
34978,3354,9869,0,2973,105,
35158,3354,9869,0,2973,109,
35425,3354,9869,0,2973,100,
35080,3354,9869,0,2973,110,
35052,3354,9869,0,2973,98,
35057,3354,9869,0,2973,107,
35045,3354,9869,0,2973,103,
35135,3354,9869,0,2973,107,
35069,3354,9869,0,2973,104,
35077,3354,9869,0,2973,113,
35142,3354,9869,0,2973,111,
34989,3354,9869,0,2973,103,
35050,3354,9869,0,2973,109,
34978,3354,9869,0,2973,100,
35045,3354,9869,0,2973,111,
35143,3354,9869,0,2973,97,
34970,3354,9869,0,2973,112,
35300,3354,9869,0,2973,104,
35091,3354,9869,0,2973,105,
35019,3354,9869,0,2973,110,
35005,3354,9869,0,2973,105,
34992,3354,9869,0,2973,114,
35076,3354,9869,0,2973,104,
35035,3354,9869,0,2973,115,
35022,3354,9869,0,2973,108,
35102,3354,9869,0,2973,115,
35070,3354,9869,0,2973,105,
34981,3354,9869,0,2973,108,
35064,3354,9869,0,2973,109,
35084,3354,9869,0,2973,106,
35082,3354,9869,0,2973,110,
35298,3354,9869,0,2973,101,
35116,3354,9869,0,2973,118,
35064,3354,9869,0,2973,107,
35019,3354,9869,0,2973,103,
34989,3354,9869,0,2973,109,
35321,3354,9869,0,2973,99,
35094,3354,9869,0,2973,107,
35049,3354,9869,0,2973,104,
35244,3354,9869,0,2973,116,
35106,3354,9869,0,2973,102,
35092,3354,9869,0,2973,106,
35123,3354,9869,0,2973,112,
35063,3354,9869,0,2973,105,
35066,3354,9869,0,2973,112,
35057,3354,9869,0,2973,102,
35122,3354,9869,0,2973,109,
35058,3354,9869,0,2973,108,
35381,3354,9869,0,2973,102,
35200,3354,9869,0,2973,106,
35132,3354,9869,0,2973,108,
35198,3354,9869,0,2973,109,
35194,3354,9869,0,2973,109,
35221,3354,9869,0,2973,113,
35202,3354,9869,0,2973,109,
35179,3354,9869,0,2973,106,
35235,3354,9869,0,2973,106,
35197,3354,9869,0,2973,112,
35208,3354,9869,0,2973,108,
35242,3354,9869,0,2973,106,
35242,3354,9869,0,2973,103,
35289,3354,9869,0,2973,107,
35333,3354,9869,0,2973,110,
35337,3354,9869,0,2973,107,
35161,3354,9869,0,2973,108,
35293,3354,9869,0,2973,103,
35253,3354,9869,0,2973,107,
35303,3354,9869,0,2973,108,
35379,3354,9869,0,2973,108,
35370,3354,9869,0,2973,116,
35355,3354,9869,0,2973,104,
35323,3354,9869,0,2973,113,
35319,3354,9869,0,2973,108,
35375,3354,9869,0,2973,107,
35334,3354,9869,0,2973,115,
35405,3354,9869,0,2973,106,
35410,3354,9869,0,2973,105,
35378,3354,9869,0,2973,112,
35360,3354,9869,0,2973,109,
35446,3354,9869,0,2973,105,
35326,3354,9869,0,2973,116,
35383,3354,9869,0,2973,111,
35367,3354,9869,0,2973,102,
35392,3354,9869,0,2973,116,
35379,3354,9869,0,2973,102,
35296,3354,9869,0,2973,109,
35323,3354,9869,0,2973,99,
35423,3354,9869,0,2973,107,
35878,3354,9869,0,2973,102,
35406,3354,9869,0,2973,105,
