PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
115018,41835,30877,0,16298,620,
95232,40901,28866,0,15514,336,
94512,40901,28684,0,15463,350,
93987,40901,28353,0,15367,327,
93713,40901,28353,0,15367,327,
98966,40901,28811,0,15495,333,
94547,40901,28353,0,15367,336,
93720,40901,28353,0,15367,315,
94203,40901,28682,0,15462,325,
94252,40901,28624,0,15445,329,
94542,40901,28624,0,15445,326,
95053,40901,28353,0,15367,324,
94401,40901,28353,0,15367,324,
94980,40901,28693,0,15463,331,
94592,40901,28624,0,15445,321,
94302,40901,28682,0,15462,321,
94710,40901,28682,0,15462,335,
94883,40901,28353,0,15367,319,
94415,40901,28353,0,15367,336,
94605,40901,28624,0,15445,325,
94421,40901,28624,0,15445,329,
93890,40901,28353,0,15367,325,
94572,40901,28624,0,15445,326,
95310,40901,28353,0,15367,328,
94572,40901,28353,0,15367,322,
95096,40901,28682,0,15462,328,
94729,40901,28624,0,15445,327,
94105,40901,28353,0,15367,319,
94055,40901,28682,0,15462,327,
94585,40901,28624,0,15445,333,
93171,40901,28624,0,15445,324,
94339,40901,28693,0,15463,326,
94117,40901,28624,0,15445,322,
93656,40901,28682,0,15462,323,
93490,40901,28624,0,15445,324,
94199,40901,28693,0,15463,329,
94044,40901,28353,0,15367,321,
94275,40901,28353,0,15367,326,
93762,40901,28624,0,15445,325,
94199,40901,28624,0,15445,333,
94481,40901,28682,0,15462,329,
94047,40901,28624,0,15445,323,
95166,40901,28626,0,15446,350,
94045,40901,28353,0,15367,339,
95198,40901,28682,0,15462,328,
95034,40901,28624,0,15445,335,
93898,40901,28624,0,15445,321,
94649,40901,28624,0,15445,333,
99408,40901,28762,0,15483,360,
95177,40901,28353,0,15367,334,
94155,40901,28353,0,15367,337,
95490,40901,28295,0,15350,342,
95609,40901,28353,0,15367,339,
95252,40901,28624,0,15445,337,
95698,40901,28353,0,15367,341,
91863,40901,27737,0,15201,294,
95527,40901,28024,0,15272,325,
95479,40901,28082,0,15289,329,
95315,40901,28082,0,15289,321,
94812,40901,28082,0,15289,316,
95270,40901,28624,0,15445,323,
95071,40901,28082,0,15289,335,
94731,40901,28082,0,15289,312,
95076,40901,28355,0,15368,328,
94958,40901,28082,0,15289,330,
95169,40901,28082,0,15289,320,
97065,40901,28082,0,15289,319,
96674,40901,28082,0,15289,331,
97002,40901,28626,0,15446,346,
95365,40901,28626,0,15446,327,
95983,40901,28626,0,15446,336,
95625,40901,28626,0,15446,329,
97050,40901,28626,0,15446,341,
96210,40901,28082,0,15289,328,
98730,40901,28680,0,15452,348,
96221,40901,28082,0,15289,332,
98952,40901,29009,0,15547,356,
96133,40901,28355,0,15368,334,
96016,40901,28358,0,15368,332,
96221,40901,28085,0,15289,332,
97536,40901,28361,0,15368,337,
97077,40901,28635,0,15446,345,
96708,40901,28635,0,15446,336,
97689,40901,28704,0,15464,349,
95186,40901,28361,0,15368,328,
95397,40901,28635,0,15446,333,
96602,40901,28303,0,15351,333,
96640,40901,28085,0,15289,330,
97949,40901,28635,0,15446,344,
96615,40901,28085,0,15289,333,
96587,40901,28635,0,15446,329,
96783,40901,28085,0,15289,322,
96549,40901,28361,0,15368,334,
96138,40901,28635,0,15446,335,
99861,40901,28499,0,15405,352,
96475,40901,28085,0,15289,322,
97506,40901,28361,0,15368,349,
95748,40901,28085,0,15289,323,
96925,40901,28635,0,15446,331,
96113,40901,28635,0,15446,337,
96085,40901,28361,0,15368,340,
96408,40901,28635,0,15446,331,
99418,40901,29018,0,15547,358,
95668,40901,28085,0,15289,322,
96377,40901,28085,0,15289,321,
96720,40901,28085,0,15289,331,
96681,40901,28085,0,15289,333,
97090,40901,28085,0,15289,323,
96379,40901,28085,0,15289,325,
95269,40901,28085,0,15289,316,
96547,40901,28085,0,15289,327,
95842,40901,28085,0,15289,320,
95841,40901,28085,0,15289,319,
95616,40901,28085,0,15289,326,
96316,40901,28085,0,15289,323,
96696,40901,28361,0,15368,335,
95327,40901,28303,0,15351,330,
98928,40901,28960,0,15530,360,
97809,40901,28693,0,15463,345,
97856,40901,28635,0,15446,349,
97002,40901,28635,0,15446,335,
100850,40901,28491,0,15403,342,
96091,40901,28361,0,15368,334,
95911,40901,28361,0,15368,340,
95420,40901,28361,0,15368,334,
95340,40901,28085,0,15289,326,
96347,40901,28635,0,15446,327,
96742,40901,28635,0,15446,342,
95893,40901,28085,0,15289,316,
96515,40901,28085,0,15289,327,
100807,40901,28763,0,15481,347,
95612,40901,28303,0,15351,328,
95454,40901,28085,0,15289,324,
96834,40901,28361,0,15368,346,
96781,40901,28085,0,15289,330,
97436,40901,28635,0,15446,341,
100171,40901,28503,0,15406,339,
99557,40901,28960,0,15530,354,
96794,40901,28635,0,15446,326,
97127,40901,28361,0,15368,336,
97191,40901,28085,0,15289,335,
97560,40901,28635,0,15446,351,
96519,40901,28085,0,15289,320,
101702,40901,28541,0,15416,343,
97441,40901,28085,0,15289,341,
100099,40901,28499,0,15405,339,
96180,40901,28085,0,15289,329,
97295,40901,28361,0,15368,342,
96405,40901,28635,0,15446,339,
101935,40901,28495,0,15402,346,
96579,40901,28085,0,15289,323,
95918,40901,28085,0,15289,329,
95956,40901,28085,0,15289,322,
96323,40901,28361,0,15368,330,
96549,40901,28085,0,15289,327,
96364,40901,28085,0,15289,328,
97012,40901,28085,0,15289,340,
96774,40901,28085,0,15289,322,
96072,40901,28085,0,15289,323,
96608,40901,28085,0,15289,328,
96287,40901,28085,0,15289,317,
97416,40901,28085,0,15289,322,
96259,40901,28085,0,15289,319,
96475,40901,28085,0,15289,328,
96020,40901,28085,0,15289,319,
96151,40901,28085,0,15289,319,
97640,40901,28085,0,15289,329,
96055,40901,28361,0,15368,332,
95990,40901,28361,0,15368,326,
95671,40901,28085,0,15289,317,
101245,40901,28542,0,15416,342,
95301,40901,28085,0,15289,322,
96572,40901,28361,0,15368,334,
96876,40901,28635,0,15446,329,
95612,40901,28361,0,15368,322,
96223,40901,28635,0,15446,326,
97046,40901,28635,0,15446,332,
100853,40901,28491,0,15403,350,
96247,40901,28085,0,15289,331,
95677,40901,28085,0,15289,323,
96441,40901,28085,0,15289,327,
96716,40901,28085,0,15289,320,
95987,40901,28085,0,15289,309,
95124,40901,28361,0,15368,336,
96810,40901,28693,0,15463,338,
96701,40901,28085,0,15289,326,
99755,40901,28487,0,15402,336,
95797,40901,28085,0,15289,322,
96384,40901,28085,0,15289,323,
96850,40901,28085,0,15289,326,
97574,40901,28085,0,15289,331,
96306,40901,28085,0,15289,324,
96341,40901,28085,0,15289,323,
96454,40901,28085,0,15289,329,
101192,40901,28550,0,15418,336,
97184,40901,28085,0,15289,329,
100214,40901,28499,0,15405,338,
96067,40901,28085,0,15289,319,
96899,40901,28361,0,15368,332,
96351,40901,28085,0,15289,317,
101769,40901,28487,0,15402,353,
96948,40901,28085,0,15289,326,
105032,40901,29671,0,15730,376,
96750,40901,28085,0,15289,321,
96951,40901,28085,0,15289,325,
96448,40901,28085,0,15289,318,
97025,40901,28361,0,15368,341,
97446,40901,28635,0,15446,335,
102179,40901,28553,0,15419,349,
95973,40901,28085,0,15289,325,
97737,40901,28085,0,15289,334,
96424,40901,28085,0,15289,328,
96088,40901,28363,0,15369,332,
94564,40901,28085,0,15289,314,
96316,40901,28635,0,15446,331,
97860,40901,28143,0,15304,333,
95964,40901,28085,0,15289,329,
95381,40901,28085,0,15289,330,
97187,40901,28085,0,15289,331,
96631,40901,28085,0,15289,325,
95865,40901,28085,0,15289,323,
95935,40901,28085,0,15289,326,
95299,40901,28085,0,15289,322,
95801,40901,28085,0,15289,323,
96467,40901,28085,0,15289,317,
101062,40901,28495,0,15404,342,
96710,40901,28085,0,15289,323,
97645,40901,28361,0,15368,339,
96112,40901,28635,0,15446,326,
98841,40901,28960,0,15530,348,
101784,40901,28553,0,15419,349,
95838,40901,28085,0,15289,320,
102336,40901,28554,0,15419,339,
96484,40901,28085,0,15289,327,
96528,40901,28085,0,15289,323,
95918,40901,28085,0,15289,332,
95749,40901,28085,0,15289,331,
96010,40901,28085,0,15289,322,
96067,40901,28085,0,15289,323,
95705,40901,28085,0,15289,314,
95090,40901,28085,0,15289,307,
95479,40901,28085,0,15289,322,
97078,40901,28085,0,15289,317,
96486,40901,28085,0,15289,324,
96002,40901,28085,0,15289,321,
96626,40901,28085,0,15289,324,
97112,40901,28085,0,15289,330,
101065,40901,28523,0,15411,336,
97955,40901,28085,0,15289,324,
98411,40901,28361,0,15368,347,
96439,40901,28635,0,15446,335,
97171,40901,28361,0,15368,337,
97897,40901,28085,0,15289,338,
99219,40901,28686,0,15452,352,
95979,40901,28085,0,15289,321,
96011,40901,28635,0,15446,327,
96703,40901,28085,0,15289,328,
97551,40901,28085,0,15289,343,
96068,40901,28085,0,15289,327,
101864,40901,28483,0,15401,348,
96015,40901,28085,0,15289,326,
97094,40901,28361,0,15368,349,
96438,40901,28635,0,15446,327,
97587,40901,28361,0,15368,338,
96449,40901,28303,0,15351,340,
97238,40901,28361,0,15368,337,
96420,40901,28635,0,15446,328,
97350,40901,28085,0,15289,331,
96292,40901,28085,0,15289,331,
97589,40901,28085,0,15289,335,
96055,40901,28085,0,15289,322,
100987,40901,28977,0,15534,374,
96459,40901,28303,0,15351,339,
97929,40901,28635,0,15446,334,
95950,40901,28085,0,15289,331,
98755,40901,28960,0,15530,353,
97139,40901,28085,0,15289,338,
96862,40901,28085,0,15289,337,
97044,40901,28085,0,15289,329,
96750,40901,28087,0,15290,327,
96709,40901,28085,0,15289,323,
96410,40901,28085,0,15289,324,
98451,40901,28686,0,15452,350,
95999,40901,28635,0,15446,329,
102672,40901,28561,0,15421,352,
96853,40901,28085,0,15289,330,
101879,40901,28561,0,15421,350,
95907,40901,28085,0,15289,324,
98693,40901,28960,0,15530,349,
97212,40901,28693,0,15463,347,
97901,40901,28693,0,15463,345,
97059,40901,28635,0,15446,339,
104298,40901,29659,0,15727,380,
95508,40901,28085,0,15289,327,
95341,40901,28361,0,15368,327,
96470,40901,28635,0,15446,333,
96992,40901,28635,0,15446,331,
96100,40901,28303,0,15351,333,
97750,40901,28085,0,15289,343,
97162,40901,28085,0,15289,325,
101661,40901,28491,0,15403,343,
97224,40901,28085,0,15289,326,
95890,40901,28361,0,15368,323,
96288,40901,28635,0,15446,343,
96402,40901,28361,0,15368,340,
96045,40901,28635,0,15446,338,
98979,40901,28960,0,15530,358,
96091,40901,28085,0,15289,322,
96185,40901,28635,0,15446,335,
96143,40901,28635,0,15446,344,
95321,40901,28361,0,15368,340,
96216,40901,28635,0,15446,332,
95122,40901,28361,0,15368,328,
95928,40901,28635,0,15446,342,
98920,40901,29018,0,15547,361,
96541,40901,28085,0,15289,333,
97153,40901,28085,0,15289,334,
96150,40901,28303,0,15351,328,
95763,40901,28361,0,15368,332,
96580,40901,28635,0,15446,331,
96201,40901,28361,0,15368,327,
96614,40901,28085,0,15289,339,
96655,40901,28635,0,15446,332,
96483,40901,28085,0,15289,331,
95079,40901,28361,0,15368,329,
96653,40901,28635,0,15446,337,
95969,40901,28361,0,15368,332,
96650,40901,28635,0,15446,335,
96249,40901,28635,0,15446,327,
96980,40901,28085,0,15289,330,
97364,40901,28085,0,15289,338,
96446,40901,28085,0,15289,332,
97692,40901,28361,0,15368,346,
95770,40901,28635,0,15446,328,
96280,40901,28361,0,15368,341,
95831,40901,28635,0,15446,339,
96589,40901,28085,0,15289,324,
105171,40901,29665,0,15729,376,
96432,40901,28635,0,15446,335,
96773,40901,28635,0,15446,328,
95810,40901,28635,0,15446,325,
96317,40901,28635,0,15446,334,
95801,40901,28635,0,15446,327,
97304,40901,28635,0,15446,340,
100673,40901,28553,0,15419,340,
96168,40901,28085,0,15289,325,
96041,40901,28635,0,15446,325,
96707,40901,28635,0,15446,344,
96389,40901,28635,0,15446,338,
96521,40901,28635,0,15446,338,
95624,40901,28635,0,15446,320,
