PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
63890,55504,9869,0,17688,183,
61170,55522,9869,0,17691,165,
59620,55515,9869,0,17690,176,
60406,55502,9869,0,17689,166,
59426,55503,9869,0,17689,176,
59421,55489,9869,0,17687,183,
59782,55503,9869,0,17689,161,
60109,55500,9869,0,17688,172,
59797,55495,9869,0,17688,172,
59577,55489,9869,0,17687,173,
59328,55498,9869,0,17688,170,
60075,55497,9869,0,17688,164,
59611,55506,9869,0,17689,173,
59823,55508,9869,0,17688,171,
59749,55735,9869,0,17723,182,
59720,55522,9869,0,17691,163,
60371,55520,9869,0,17690,166,
60161,55505,9869,0,17687,179,
59849,55506,9869,0,17688,171,
59714,55514,9869,0,17689,168,
60090,55505,9869,0,17687,170,
59893,55508,9869,0,17689,175,
59826,55503,9869,0,17687,166,
71715,55733,14356,0,17721,192,
60183,55496,9869,0,17686,170,
60123,55512,9869,0,17690,178,
59690,55524,9869,0,17693,167,
60163,55505,9869,0,17688,167,
60154,55511,9869,0,17690,176,
59400,55501,9869,0,17689,173,
60236,55505,9869,0,17688,165,
59586,55494,9869,0,17687,177,
59823,55505,9869,0,17688,171,
59450,55505,9869,0,17688,171,
60393,55495,9869,0,17687,169,
59503,55508,9869,0,17688,165,
59651,55496,9869,0,17687,174,
59482,55516,9869,0,17691,161,
59553,55514,9869,0,17689,184,
59807,55498,9869,0,17689,171,
59674,55509,9869,0,17691,163,
60452,55495,9869,0,17687,179,
59936,55523,9869,0,17691,177,
60042,55510,9869,0,17690,167,
60039,55506,9869,0,17688,176,
59329,55507,9869,0,17689,166,
59465,55500,9869,0,20972,553,
60286,55500,9869,0,17688,172,
59853,55508,9869,0,17689,168,
59710,55508,9869,0,17688,176,
60106,55507,9869,0,17688,171,
59502,55499,9869,0,17688,178,
59650,55500,9869,0,17688,172,
60108,55495,9869,0,17687,167,
59540,55508,9869,0,17689,166,
59610,55505,9869,0,17688,177,
59776,55495,9869,0,17688,172,
60044,55498,9869,0,17688,174,
59343,55497,9869,0,17688,165,
59971,55507,9869,0,17690,173,
60199,55506,9869,0,17690,171,
60158,55512,9869,0,17690,172,
59464,55517,9869,0,17690,176,
60165,55486,9869,0,17686,167,
59739,55507,9869,0,17688,174,
60196,55504,9869,0,17689,177,
59691,55519,9869,0,17691,164,
59952,55503,9869,0,17690,173,
59836,55497,9869,0,17688,177,
59374,55503,9869,0,17689,175,
59696,55735,9869,0,17722,174,
60213,55503,9869,0,17690,170,
60090,55524,9869,0,17690,178,
59546,55511,9869,0,17690,165,
60431,55504,9869,0,17689,179,
59013,55508,9869,0,17689,168,
59919,55486,9869,0,17686,172,
60041,55514,9869,0,17690,166,
60286,55498,9869,0,17689,176,
60017,55502,9869,0,17688,168,
59762,55506,9869,0,17690,178,
59377,55516,9869,0,17691,173,
59943,55506,9869,0,17689,161,
59687,55500,9869,0,17688,173,
59949,55505,9869,0,17688,177,
60308,55514,9869,0,17690,172,
59237,55504,9869,0,17687,163,
59720,55511,9869,0,17690,164,
59762,55503,9869,0,17690,174,
59221,55494,9869,0,17686,171,
72058,55508,14365,0,19005,412,
59340,55504,9869,0,17687,176,
59697,55508,9869,0,17688,166,
59630,55505,9869,0,17689,177,
59544,55489,9869,0,17687,174,
59947,55492,9869,0,17688,171,
60128,55508,9869,0,17689,177,
60139,55511,9869,0,17689,171,
59623,55498,9869,0,17688,177,
59735,55497,9869,0,17688,172,
60329,55505,9869,0,17688,162,
59300,55518,9869,0,17691,170,
59424,55724,9869,0,17721,182,
59541,55495,9869,0,17688,163,
60156,55492,9869,0,17688,173,
59881,55508,9869,0,17689,166,
59635,55498,9869,0,17688,174,
59906,55498,9869,0,17688,170,
60253,55517,9869,0,17692,164,
59877,55513,9869,0,17690,174,
60009,55497,9869,0,17688,172,
59958,55503,9869,0,17690,166,
59616,55504,9869,0,17687,175,
59858,55492,9869,0,17688,170,
59307,55489,9869,0,17687,173,
59584,55518,9869,0,17690,170,
59742,55511,9869,0,17690,172,
59798,55508,9869,0,17689,171,
60208,55740,9869,0,17722,174,
59262,55506,9869,0,17689,168,
59960,55493,9869,0,17688,180,
59802,55511,9869,0,17690,170,
60233,55499,9869,0,17689,183,
60161,55500,9869,0,17689,170,
59588,55507,9869,0,17689,167,
60318,55512,9869,0,17690,167,
60047,55512,9869,0,17689,170,
59813,55505,9869,0,17688,165,
60307,55497,9869,0,17688,174,
59341,55508,9869,0,17689,164,
59917,55499,9869,0,17688,175,
60691,55506,9869,0,17688,166,
59942,55503,9869,0,17688,167,
59559,55506,9869,0,17690,171,
60257,55496,9869,0,17687,158,
59787,55513,9869,0,17688,184,
59938,55514,9869,0,17690,174,
59713,55517,9869,0,17690,170,
59430,55501,9869,0,17689,174,
60119,55509,9869,0,17690,167,
60299,55505,9869,0,17689,176,
60253,55495,9869,0,17688,179,
59624,55509,9869,0,17690,167,
59735,55507,9869,0,17689,176,
59655,55523,9869,0,17692,166,
59835,55500,9869,0,17688,166,
59781,55504,9869,0,17688,178,
60186,55519,9869,0,17689,172,
60407,55526,9869,0,17692,175,
60088,55507,9869,0,17690,171,
60108,55505,9869,0,17687,169,
59571,55514,9869,0,17689,175,
59882,55489,9869,0,17687,174,
60077,55511,9869,0,17690,174,
59925,55509,9869,0,17690,183,
59922,55495,9869,0,17687,170,
59825,55517,9869,0,17691,177,
59462,55505,9869,0,17689,176,
59189,55506,9869,0,17688,167,
59976,55504,9869,0,17689,173,
60124,55509,9869,0,17690,169,
60342,55731,9869,0,17723,182,
60097,55492,9869,0,17687,160,
59594,55500,9869,0,17689,165,
60107,55497,9869,0,17688,177,
60389,55515,9869,0,17691,173,
59501,55506,9869,0,17689,169,
59995,55506,9869,0,17690,175,
60214,55505,9869,0,17688,169,
59794,55507,9869,0,17689,183,
59790,55508,9869,0,17689,169,
68467,55505,14056,0,17690,196,
59229,55507,9869,0,17689,176,
59360,55488,9869,0,17686,172,
59899,55505,9869,0,17688,172,
60295,55515,9869,0,17691,180,
59806,55510,9869,0,17689,164,
60134,55505,9869,0,17688,168,
59826,55492,9869,0,17687,171,
59670,55738,9869,0,17723,175,
59723,55494,9869,0,17687,181,
59256,55514,9869,0,17689,172,
59724,55514,9869,0,17690,162,
60283,55507,9869,0,17688,176,
59641,55497,9869,0,17688,170,
59433,55505,9869,0,17688,173,
59578,55498,9869,0,17686,169,
59706,55494,9869,0,17687,171,
59102,55503,9869,0,17689,174,
59944,55495,9869,0,17688,165,
60132,55509,9869,0,17691,184,
60058,55517,9869,0,17690,171,
59883,55497,9869,0,17687,163,
60311,55506,9869,0,17690,171,
60272,55505,9869,0,17688,173,
59484,55497,9869,0,17687,172,
59733,55507,9869,0,17688,178,
59478,55516,9869,0,17689,166,
59907,55507,9869,0,17690,172,
59737,55730,9869,0,17722,173,
59598,55499,9869,0,17688,165,
60042,55497,9869,0,17688,171,
60102,55734,9869,0,17721,178,
59700,55491,9869,0,17687,173,
59903,55517,9869,0,17691,175,
59487,55509,9869,0,17689,165,
60392,55508,9869,0,17689,180,
60127,55497,9869,0,17687,167,
60195,55514,9869,0,17689,169,
59706,55504,9869,0,17690,170,
60250,55517,9869,0,17692,173,
59545,55505,9869,0,17688,169,
59863,55489,9869,0,17687,174,
59628,55495,9869,0,17687,170,
59537,55495,9869,0,17688,166,
59900,55505,9869,0,17688,171,
59824,55495,9869,0,17688,166,
59546,55514,9869,0,17690,174,
59949,55509,9869,0,17690,163,
59858,55524,9869,0,17693,180,
59962,55500,9869,0,17688,169,
59834,55496,9869,0,17689,170,
67987,55743,9869,0,17723,192,
59602,55503,9869,0,17688,170,
59692,55523,9869,0,17691,169,
60347,55508,9869,0,17690,170,
60135,55500,9869,0,17688,170,
59718,55506,9869,0,17689,174,
59670,55499,9869,0,17687,175,
