PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
53609,23690,9869,0,5273,107,
45617,23690,9869,0,5273,77,
43558,23690,9869,0,5273,90,
43773,24113,9869,0,5334,77,
43202,23690,9869,0,5273,90,
43044,24103,9869,0,5333,76,
43029,24103,9869,0,5333,97,
42697,24113,9869,0,5334,87,
42957,24113,9869,0,5334,93,
42309,24113,9869,0,5334,80,
42300,24103,9869,0,5333,92,
42177,24113,9869,0,5334,84,
42048,24103,9869,0,5333,91,
41943,24103,9869,0,5333,89,
41854,24103,9869,0,5333,94,
41660,23690,9869,0,5273,91,
41836,24103,9869,0,5333,91,
41969,24113,9869,0,5334,82,
41464,24103,9869,0,5333,97,
41636,23690,9869,0,5273,85,
41178,23690,9869,0,5273,93,
41031,24103,9869,0,5333,79,
40875,23690,9869,0,5273,89,
41159,24103,9869,0,5333,83,
40992,24103,9869,0,5333,89,
41270,24103,9869,0,5333,76,
41551,23690,9869,0,5273,87,
41170,23690,9869,0,5273,79,
40723,23690,9869,0,5273,90,
40780,23690,9869,0,5273,77,
40999,24113,9869,0,5334,92,
41200,24103,9869,0,5333,75,
40827,23690,9869,0,5273,83,
41163,24103,9869,0,5333,82,
40932,23690,9869,0,5273,91,
40989,23690,9869,0,5273,78,
41196,23690,9869,0,5273,88,
41119,24103,9869,0,5333,83,
41122,23690,9869,0,5273,83,
41083,24103,9869,0,5333,92,
41433,23690,9869,0,5273,82,
40977,23690,9869,0,5273,91,
40867,23690,9869,0,5273,90,
52203,23690,14549,0,6647,331,
41663,24103,9869,0,5333,89,
41357,24103,9869,0,5333,90,
41074,23690,9869,0,5273,83,
54127,24103,14615,0,6726,337,
40972,23690,9869,0,5273,85,
41305,24103,9869,0,5333,93,
41246,24103,9869,0,5333,74,
41091,23690,9869,0,5273,92,
41693,24103,9869,0,5333,75,
41537,23690,9869,0,5273,92,
41218,23690,9869,0,5273,78,
41394,24103,9869,0,5333,93,
42034,24103,9869,0,5333,80,
41301,24103,9869,0,5333,91,
41158,24103,9869,0,5333,76,
41302,24113,9869,0,5334,89,
41193,23690,9869,0,5273,77,
41053,23690,9869,0,5273,92,
41164,24113,9869,0,5334,77,
41022,24113,9869,0,5334,85,
41063,24103,9869,0,5333,76,
41547,24113,9869,0,5334,90,
41095,23690,9869,0,5273,78,
41198,24103,9869,0,5333,92,
41394,24103,9869,0,5333,79,
41323,24103,9869,0,5333,88,
41095,24103,9869,0,5333,86,
41115,24113,9869,0,5334,82,
41097,23690,9869,0,5273,77,
41366,24113,9869,0,5334,85,
41184,24113,9869,0,5334,85,
41332,24103,9869,0,5333,83,
41284,23690,9869,0,5273,82,
41471,24113,9869,0,5334,91,
41123,23690,9869,0,5273,90,
41062,24103,9869,0,5333,83,
41191,23690,9869,0,5273,91,
41069,23690,9869,0,5273,89,
40863,23690,9869,0,5273,93,
40829,23690,9869,0,5273,87,
41109,24113,9869,0,5334,95,
41755,24113,9869,0,5334,84,
41724,24103,9869,0,5333,85,
41575,24103,9869,0,5333,85,
41232,24103,9869,0,5333,91,
41177,23690,9869,0,5273,77,
41116,24103,9869,0,5333,92,
40926,23690,9869,0,5273,78,
41168,23690,9869,0,5273,98,
41149,23690,9869,0,5273,73,
40979,23690,9869,0,5273,93,
41088,24103,9869,0,5333,74,
41191,24113,9869,0,5334,91,
41274,24103,9869,0,5333,77,
41205,24103,9869,0,5333,84,
41046,24103,9869,0,5333,75,
41025,23690,9869,0,5273,88,
41212,23690,9869,0,5273,79,
41228,24103,9869,0,5333,89,
41255,24103,9869,0,5333,82,
41178,24103,9869,0,5333,84,
41068,24103,9869,0,5333,82,
40954,23690,9869,0,5273,84,
41178,24103,9869,0,5333,92,
41487,24103,9869,0,5333,78,
41229,24113,9869,0,5334,83,
41212,23690,9869,0,5273,86,
41024,24103,9869,0,5333,85,
41517,24103,9869,0,5333,87,
41286,24103,9869,0,5333,88,
41324,24113,9869,0,5334,81,
41082,24113,9869,0,5334,85,
41450,24113,9869,0,5334,84,
41037,24103,9869,0,5333,80,
41233,24103,9869,0,5333,82,
41030,24103,9869,0,5333,82,
41204,24103,9869,0,5333,88,
41097,23690,9869,0,5273,93,
41071,23690,9869,0,5273,84,
41104,24113,9869,0,5334,90,
41157,24103,9869,0,5333,80,
40994,23690,9869,0,5273,88,
40914,23690,9869,0,5273,88,
41073,24103,9869,0,5333,94,
41158,24103,9869,0,5333,74,
41124,24103,9869,0,5333,93,
40918,23690,9869,0,5273,80,
40939,23690,9869,0,5273,92,
41089,23690,9869,0,5273,73,
41127,24103,9869,0,5333,97,
41254,24113,9869,0,5334,77,
41141,24113,9869,0,5334,90,
41014,23690,9869,0,5273,77,
40945,24103,9869,0,5333,92,
41064,24103,9869,0,5333,78,
41126,24113,9869,0,5334,92,
44451,23678,9869,0,5272,78,
43795,23690,9869,0,5273,94,
43722,23690,9869,0,5273,82,
