PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
58296,6485,15258,0,13,5413,550,139924066649680,139924069382640,
54391,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54549,6100,15258,0,13,5345,550,139924066649680,139924069382640,
54337,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54309,6093,15258,0,13,5343,550,139924066649680,139924069382640,
54145,6092,15258,0,13,5344,550,139924066649680,139924069382640,
53980,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54003,6092,15258,0,13,5344,550,139924066649680,139924069382640,
53892,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54103,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54283,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54225,6093,15258,0,13,5343,550,139924066649680,139924069382640,
54127,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54280,6100,15258,0,13,5345,550,139924066649680,139924069382640,
54666,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54333,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54475,6098,15258,0,13,5345,550,139924066649680,139924069382640,
54708,6093,15258,0,13,5343,550,139924066649680,139924069382640,
54551,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54647,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54529,6100,15258,0,13,5345,550,139924066649680,139924069382640,
55004,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54645,6100,15258,0,13,5345,550,139924066649680,139924069382640,
54814,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54433,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54827,6097,15258,0,13,5344,550,139924066649680,139924069382640,
54405,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54543,6100,15258,0,13,5345,550,139924066649680,139924069382640,
54602,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54385,6098,15258,0,13,5345,550,139924066649680,139924069382640,
54496,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54492,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54799,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54777,6099,15258,0,13,5344,550,139924066649680,139924069382640,
54401,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54425,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54857,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54615,6097,15258,0,13,5344,550,139924066649680,139924069382640,
54399,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54670,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54647,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54728,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54430,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54781,6092,15258,0,13,5344,550,139924066649680,139924069382640,
54465,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54568,6091,15258,0,13,5343,550,139924066649680,139924069382640,
54404,6094,15258,0,13,5344,550,139924066649680,139924069382640,
54664,6099,15258,0,13,5344,550,139924066649680,139924069382640,
54457,6100,15258,0,13,5345,550,139924066649680,139924069382640,
54396,6092,15258,0,13,5344,550,139924066649680,139924069382640,
