PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
66790,26254,15249,0,13,6986,550,139807674918480,139807677651440,
63604,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63658,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63395,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63397,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63451,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63512,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63576,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63507,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63408,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63501,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63478,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63623,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63502,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63427,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63535,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63416,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63450,26254,15258,0,13,6989,550,139807674918480,139807677651440,
62919,24910,15258,0,13,6833,550,139807674918480,139807677651440,
63562,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63518,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63490,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63568,26254,15258,0,13,6989,550,139807674918480,139807677651440,
62928,24910,15258,0,13,6833,550,139807674918480,139807677651440,
63473,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63528,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63524,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63515,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63623,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63856,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63761,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63632,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63681,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63037,24910,15258,0,13,6833,550,139807674918480,139807677651440,
63111,24910,15258,0,13,6833,550,139807674918480,139807677651440,
63802,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63929,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63784,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63707,26254,15258,0,13,6989,550,139807674918480,139807677651440,
63769,26254,15258,0,13,6989,550,139807674918480,139807677651440,
64000,26254,15258,0,13,6989,550,139807674918480,139807677651440,
