PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
1069262,440,9282,0,14,0,0,0,0,
394860,437,17634,0,18,5624,0,0,0,
18446744073705128939,86,17038,0,17,5200,3813,0,0,
563302,105,3870,0,14,2222,1562,0,0,
400553,123,6906,0,15,2962,1802,0,0,
405749,153,10677,0,15,2995,1781,0,0,
395719,123,6882,0,15,2939,1795,0,0,
393968,122,6852,0,15,2951,1780,0,0,
627746,140,9812,0,2,3768,2824,0,0,
690049,394,4594,0,4,0,2323,0,0,
18446744073699158631,422,9117,0,6,0,0,0,0,
18446744073707015845,405,15311,0,6,0,0,11,6,
1062315,426,9135,0,8,0,0,0,0,
1060733,430,9249,0,14,0,0,0,0,
18446744073702431551,82,17208,0,17,5251,0,0,0,
1480252,88,17184,0,17,3963,1825,0,0,
780320,104,3945,0,13,856,1965,0,0,
781162,104,3904,0,13,859,1970,0,0,
775870,105,3934,0,13,850,1933,0,0,
400961,121,6895,0,15,2938,1799,0,0,
399841,123,6896,0,15,2932,1812,0,0,
396496,122,6913,0,15,2946,1809,0,0,
426288,99,10740,0,15,2947,1811,0,0,
396674,123,6824,0,15,2925,1808,0,0,
630244,141,9796,0,2,3686,2857,0,0,
628402,140,7456,0,2,3001,2848,0,0,
699381,393,4562,0,4,0,2308,0,0,
715165,375,7943,0,4,0,2287,0,0,
690968,398,4532,0,4,0,2320,0,0,
697063,400,4630,0,4,0,2298,0,0,
690932,384,4566,0,4,0,2267,0,0,
839191,429,9058,0,6,0,0,0,0,
843484,413,8989,0,6,0,0,0,0,
838576,428,9127,0,6,0,0,0,0,
1067130,416,9171,0,8,0,0,0,0,
1068994,414,9192,0,8,0,0,0,0,
1065561,431,9229,0,14,0,0,0,0,
1384986,126,15153,0,17,3557,0,0,0,
1311895,87,14854,0,17,2962,0,0,0,
772318,104,3905,0,13,853,1924,0,0,
783328,105,3875,0,13,867,1961,0,0,
398772,123,6858,0,15,2933,1818,0,0,
423290,101,10932,0,15,2938,1799,0,0,
393548,123,6911,0,15,2938,1781,0,0,
629487,140,9707,0,2,3739,2858,0,0,
628446,140,7420,0,2,3002,2847,0,0,
695872,402,4606,0,4,0,2368,0,0,
716383,378,7905,0,4,0,2347,0,0,
690916,392,4549,0,4,0,2335,0,0,
699798,405,4603,0,4,0,2349,0,0,
695438,388,4549,0,4,0,2293,0,0,
844634,422,9072,0,6,0,0,0,0,
840078,414,9001,0,6,0,0,0,0,
835366,414,9032,0,6,0,0,0,0,
1061585,422,9157,0,8,0,0,0,0,
1067274,436,9227,0,8,0,0,0,0,
1066262,424,9196,0,14,0,0,0,0,
1379526,124,14668,0,16,3620,0,0,0,
1311198,87,14031,0,17,2923,0,0,0,
777227,103,3949,0,13,859,1956,0,0,
779363,105,3905,0,13,862,1961,0,0,
394521,124,6929,0,15,2996,1805,0,0,
487326,124,11880,0,16,2934,1787,0,0,
