PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
40647,772,10261,0,10,50,0,
39271,499,11405,0,9,55,0,
38871,499,11405,0,9,56,0,
35457,499,11327,0,9,60,0,
35477,499,11327,0,9,55,0,
35430,499,11327,0,9,55,0,
39004,310,11327,0,9,62,0,
39061,310,11327,0,9,75,0,
38984,310,11327,0,9,78,0,
39003,310,11327,0,9,74,0,
38907,499,8156,0,9,81,0,
39459,499,8156,0,9,80,0,
39043,499,8156,0,9,81,0,
39000,499,11405,0,4,74,0,
38892,499,11405,0,4,60,0,
38825,499,11405,0,4,53,0,
38908,499,11405,0,4,58,0,
38926,499,11405,0,9,8,0,
38905,499,11405,0,9,9,0,
38869,499,11405,0,9,9,0,
38956,499,11405,0,9,59,0,
38875,499,11405,0,9,62,0,
38880,499,11405,0,9,61,0,
38918,499,11405,0,9,63,0,
35501,499,11327,0,9,63,0,
35456,499,11327,0,9,57,0,
35598,499,11327,0,9,56,0,
38929,310,11327,0,9,61,0,
39027,310,11327,0,9,77,0,
38925,310,11327,0,9,73,0,
38990,310,11327,0,9,77,0,
39008,499,8156,0,9,78,0,
39080,499,8156,0,9,84,0,
39042,499,8156,0,9,82,0,
38999,499,8156,0,9,85,0,
38941,499,11405,0,4,63,0,
38989,499,11405,0,4,57,0,
38979,499,11405,0,4,55,0,
38903,499,11405,0,9,8,0,
39090,499,11405,0,9,9,0,
39061,499,11405,0,9,9,0,
39036,499,11405,0,9,12,0,
39032,499,11405,0,9,51,0,
39056,499,11405,0,9,56,0,
39095,499,11405,0,9,60,0,
39055,499,11405,0,9,57,0,
39106,499,11405,0,9,58,0,
35766,499,11327,0,9,59,0,
35730,499,11327,0,9,52,0,
35778,499,11327,0,9,58,0,
35762,499,11327,0,9,54,0,
39216,310,11327,0,9,57,0,
39377,310,11327,0,9,76,0,
39336,310,11327,0,9,76,0,
39334,310,11327,0,9,69,0,
39256,310,11327,0,9,77,0,
39455,499,8156,0,9,82,0,
39462,499,8156,0,9,83,0,
39390,499,8156,0,9,79,0,
39362,499,8156,0,9,82,0,
39431,499,11405,0,4,84,0,
39312,499,11405,0,4,59,0,
39285,499,11405,0,4,54,0,
39262,499,11405,0,4,59,0,
39276,499,11405,0,4,57,0,
39304,499,11405,0,9,10,0,
39247,499,11405,0,9,9,0,
39308,499,11405,0,9,10,0,
39289,499,11405,0,9,10,0,
39254,499,11405,0,9,10,0,
39262,499,11405,0,9,60,0,
39271,499,11405,0,9,63,0,
39303,499,11405,0,9,57,0,
39261,499,11405,0,9,55,0,
39220,499,11405,0,9,55,0,
35812,499,11327,0,9,63,0,
35814,499,11327,0,9,60,0,
35813,499,11327,0,9,53,0,
35834,499,11327,0,9,58,0,
35787,499,11327,0,9,56,0,
39306,310,11327,0,9,61,0,
39503,310,11327,0,9,72,0,
39356,310,11327,0,9,75,0,
39428,310,11327,0,9,75,0,
39457,310,11327,0,9,78,0,
39493,499,8156,0,9,83,0,
39498,499,8156,0,9,84,0,
39407,499,8156,0,9,81,0,
39396,499,8156,0,9,83,0,
39428,499,11405,0,4,79,0,
39293,499,11405,0,4,55,0,
39277,499,11405,0,4,63,0,
39248,499,11405,0,4,62,0,
39267,499,11405,0,4,62,0,
39263,499,11405,0,9,10,0,
39238,499,11405,0,9,9,0,
39234,499,11405,0,9,10,0,
39222,499,11405,0,9,9,0,
39250,499,11405,0,9,9,0,
39237,499,11405,0,9,50,0,
39276,499,11405,0,9,58,0,
39306,499,11405,0,9,56,0,
39247,499,11405,0,9,62,0,
39278,499,11405,0,9,57,0,
35800,499,11327,0,9,58,0,
35907,499,11327,0,9,58,0,
35765,499,11327,0,9,57,0,
35780,499,11327,0,9,55,0,
35805,499,11327,0,9,57,0,
39301,310,11327,0,9,56,0,
39444,310,11327,0,9,77,0,
39559,310,11327,0,9,76,0,
39372,310,11327,0,9,77,0,
39496,310,11327,0,9,77,0,
39390,499,8156,0,9,78,0,
39480,499,8156,0,9,82,0,
39413,499,8156,0,9,85,0,
39399,499,8156,0,9,79,0,
39482,499,11405,0,4,80,0,
39219,499,11405,0,4,54,0,
39339,499,11405,0,4,56,0,
39382,499,11405,0,4,58,0,
39313,499,11405,0,4,56,0,
39428,499,11405,0,9,11,0,
39253,499,11405,0,9,10,0,
39240,499,11405,0,9,9,0,
53560,499,11405,0,9,30,0,
39237,499,11405,0,9,9,0,
39215,499,11405,0,9,55,0,
39356,499,11405,0,9,56,0,
39354,499,11405,0,9,55,0,
39319,499,11405,0,9,56,0,
39309,499,11405,0,9,64,0,
35870,499,11327,0,9,52,0,
35764,499,11327,0,9,56,0,
35776,499,11327,0,9,53,0,
35896,499,11327,0,9,54,0,
35744,499,11327,0,9,58,0,
39421,310,11327,0,9,61,0,
39472,310,11327,0,9,79,0,
39370,310,11327,0,9,73,0,
39608,310,11327,0,9,77,0,
39403,310,11327,0,9,78,0,
39429,499,8156,0,9,81,0,
39386,499,8156,0,9,80,0,
39448,499,8156,0,9,83,0,
39514,499,8156,0,9,79,0,
49100,499,12646,0,9,324,0,
39491,499,8156,0,9,80,0,
39405,499,8156,0,9,81,0,
39451,499,8156,0,9,83,0,
39413,499,8156,0,9,82,0,
39423,499,11405,0,4,79,0,
39272,499,11405,0,4,61,0,
39219,499,11405,0,4,61,0,
39237,499,11405,0,4,57,0,
39263,499,11405,0,4,58,0,
39297,499,11405,0,9,9,0,
39256,499,11405,0,9,12,0,
39239,499,11405,0,9,12,0,
39229,499,11405,0,9,10,0,
39230,499,11405,0,9,10,0,
39312,499,11405,0,9,54,0,
39213,499,11405,0,9,59,0,
39261,499,11405,0,9,59,0,
39254,499,11405,0,9,54,0,
39246,499,11405,0,9,58,0,
35910,499,11327,0,9,54,0,
35798,499,11327,0,9,62,0,
35829,499,11327,0,9,56,0,
35871,499,11327,0,9,55,0,
35794,499,11327,0,9,55,0,
39642,310,11327,0,9,56,0,
39553,310,11327,0,9,72,0,
39437,310,11327,0,9,77,0,
39331,310,11327,0,9,76,0,
39523,310,11327,0,9,76,0,
39477,499,8156,0,9,75,0,
39451,499,8156,0,9,83,0,
39527,499,8156,0,9,80,0,
39446,499,8156,0,9,82,0,
39414,499,11405,0,4,78,0,
39399,499,11405,0,4,57,0,
39313,499,11405,0,4,62,0,
39482,499,11405,0,4,61,0,
39339,499,11405,0,4,56,0,
39289,499,11405,0,9,10,0,
39219,499,11405,0,9,11,0,
39240,499,11405,0,9,11,0,
39248,499,11405,0,9,10,0,
39373,499,11405,0,9,11,0,
39312,499,11405,0,9,58,0,
39365,499,11405,0,9,56,0,
39342,499,11405,0,9,57,0,
39376,499,11405,0,9,53,0,
