PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
51195,838,15258,0,13,3940,550,140365045032528,140365047765488,
50777,594,15258,0,13,3890,550,140365045032528,140365047765488,
50817,594,15258,0,13,3890,550,140365045032528,140365047765488,
50816,594,15258,0,13,3890,550,140365045032528,140365047765488,
50778,594,15258,0,13,3890,550,140365045032528,140365047765488,
50650,594,15258,0,13,3890,550,140365045032528,140365047765488,
50654,594,15258,0,13,3890,550,140365045032528,140365047765488,
50659,594,15258,0,13,3890,550,140365045032528,140365047765488,
50550,594,15258,0,13,3890,550,140365045032528,140365047765488,
50677,594,15258,0,13,3890,550,140365045032528,140365047765488,
50739,594,15258,0,13,3890,550,140365045032528,140365047765488,
50606,594,15258,0,13,3890,550,140365045032528,140365047765488,
50581,594,15258,0,13,3890,550,140365045032528,140365047765488,
50586,594,15258,0,13,3890,550,140365045032528,140365047765488,
50633,594,15258,0,13,3890,550,140365045032528,140365047765488,
50610,594,15258,0,13,3890,550,140365045032528,140365047765488,
50692,594,15258,0,13,3890,550,140365045032528,140365047765488,
50708,594,15258,0,13,3890,550,140365045032528,140365047765488,
50622,594,15258,0,13,3890,550,140365045032528,140365047765488,
50684,594,15258,0,13,3890,550,140365045032528,140365047765488,
50648,594,15258,0,13,3890,550,140365045032528,140365047765488,
50608,594,15258,0,13,3890,550,140365045032528,140365047765488,
50776,594,15258,0,13,3890,550,140365045032528,140365047765488,
50754,594,15258,0,13,3890,550,140365045032528,140365047765488,
50725,594,15258,0,13,3890,550,140365045032528,140365047765488,
50875,594,15258,0,13,3890,550,140365045032528,140365047765488,
50813,594,15258,0,13,3890,550,140365045032528,140365047765488,
50913,594,15258,0,13,3890,550,140365045032528,140365047765488,
50813,594,15258,0,13,3890,550,140365045032528,140365047765488,
50862,594,15258,0,13,3890,550,140365045032528,140365047765488,
50907,594,15258,0,13,3890,550,140365045032528,140365047765488,
50882,594,15258,0,13,3890,550,140365045032528,140365047765488,
51047,594,15258,0,13,3890,550,140365045032528,140365047765488,
50976,594,15258,0,13,3890,550,140365045032528,140365047765488,
50938,594,15258,0,13,3890,550,140365045032528,140365047765488,
50909,594,15258,0,13,3890,550,140365045032528,140365047765488,
51103,594,15258,0,13,3890,550,140365045032528,140365047765488,
51039,594,15258,0,13,3890,550,140365045032528,140365047765488,
51080,594,15258,0,13,3890,550,140365045032528,140365047765488,
51011,594,15258,0,13,3890,550,140365045032528,140365047765488,
50957,594,15258,0,13,3890,550,140365045032528,140365047765488,
51205,594,15258,0,13,3890,550,140365045032528,140365047765488,
51084,594,15258,0,13,3890,550,140365045032528,140365047765488,
51252,594,15258,0,13,3890,550,140365045032528,140365047765488,
51323,594,15258,0,13,3890,550,140365045032528,140365047765488,
51197,594,15258,0,13,3890,550,140365045032528,140365047765488,
51273,594,15258,0,13,3890,550,140365045032528,140365047765488,
51205,594,15258,0,13,3890,550,140365045032528,140365047765488,
51325,594,15258,0,13,3890,550,140365045032528,140365047765488,
51297,594,15258,0,13,3890,550,140365045032528,140365047765488,
51214,594,15258,0,13,3890,550,140365045032528,140365047765488,
51230,594,15258,0,13,3890,550,140365045032528,140365047765488,
51198,594,15258,0,13,3890,550,140365045032528,140365047765488,
51253,594,15258,0,13,3890,550,140365045032528,140365047765488,
51273,594,15258,0,13,3890,550,140365045032528,140365047765488,
51334,594,15258,0,13,3890,550,140365045032528,140365047765488,
51401,594,15258,0,13,3890,550,140365045032528,140365047765488,
51362,594,15258,0,13,3890,550,140365045032528,140365047765488,
51289,594,15258,0,13,3890,550,140365045032528,140365047765488,
51286,594,15258,0,13,3890,550,140365045032528,140365047765488,
51626,594,15258,0,13,3890,550,140365045032528,140365047765488,
51468,594,15258,0,13,3890,550,140365045032528,140365047765488,
51798,594,15258,0,13,3890,550,140365045032528,140365047765488,
51515,594,15258,0,13,3890,550,140365045032528,140365047765488,
51406,594,15258,0,13,3890,550,140365045032528,140365047765488,
51262,594,15258,0,13,3890,550,140365045032528,140365047765488,
51299,594,15258,0,13,3890,550,140365045032528,140365047765488,
51331,594,15258,0,13,3890,550,140365045032528,140365047765488,
51352,594,15258,0,13,3890,550,140365045032528,140365047765488,
51335,594,15258,0,13,3890,550,140365045032528,140365047765488,
51290,594,15258,0,13,3890,550,140365045032528,140365047765488,
51328,594,15258,0,13,3890,550,140365045032528,140365047765488,
51335,594,15258,0,13,3890,550,140365045032528,140365047765488,
51377,594,15258,0,13,3890,550,140365045032528,140365047765488,
51353,594,15258,0,13,3890,550,140365045032528,140365047765488,
51314,594,15258,0,13,3890,550,140365045032528,140365047765488,
51317,594,15258,0,13,3890,550,140365045032528,140365047765488,
51344,594,15258,0,13,3890,550,140365045032528,140365047765488,
51334,594,15258,0,13,3890,550,140365045032528,140365047765488,
51312,594,15258,0,13,3890,550,140365045032528,140365047765488,
51222,594,15258,0,13,3890,550,140365045032528,140365047765488,
51271,594,15258,0,13,3890,550,140365045032528,140365047765488,
51336,594,15258,0,13,3890,550,140365045032528,140365047765488,
51267,594,15258,0,13,3890,550,140365045032528,140365047765488,
51223,594,15258,0,13,3890,550,140365045032528,140365047765488,
51322,594,15258,0,13,3890,550,140365045032528,140365047765488,
51296,594,15258,0,13,3890,550,140365045032528,140365047765488,
51273,594,15258,0,13,3890,550,140365045032528,140365047765488,
51234,594,15258,0,13,3890,550,140365045032528,140365047765488,
51351,594,15258,0,13,3890,550,140365045032528,140365047765488,
51358,594,15258,0,13,3890,550,140365045032528,140365047765488,
51283,594,15258,0,13,3890,550,140365045032528,140365047765488,
51306,594,15258,0,13,3890,550,140365045032528,140365047765488,
51304,594,15258,0,13,3890,550,140365045032528,140365047765488,
51387,594,15258,0,13,3890,550,140365045032528,140365047765488,
51233,594,15258,0,13,3890,550,140365045032528,140365047765488,
51310,594,15258,0,13,3890,550,140365045032528,140365047765488,
51279,594,15258,0,13,3890,550,140365045032528,140365047765488,
51301,594,15258,0,13,3890,550,140365045032528,140365047765488,
51505,594,15258,0,13,3890,550,140365045032528,140365047765488,
51261,594,15258,0,13,3890,550,140365045032528,140365047765488,
51315,594,15258,0,13,3890,550,140365045032528,140365047765488,
51335,594,15258,0,13,3890,550,140365045032528,140365047765488,
51270,594,15258,0,13,3890,550,140365045032528,140365047765488,
51352,594,15258,0,13,3890,550,140365045032528,140365047765488,
51330,594,15258,0,13,3890,550,140365045032528,140365047765488,
