PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
18446744069417714441,7985,68043,0,71,4565716,3107,1,0,
3450113,99,3944,0,11,3558129,3644,89,7,
22961986,13215,70833,0,42,0,1371,23,28,
393539,1245,29526,0,27,4577763,1629,0,0,
18446744073709547838,88,13970,0,21,4567992,5675,25,0,
8099470,118,6793,0,2,1999428,2379,34,14,
16700265,4678,11213,0,4,0,1300,19,4,
11721649,10743212,47899,0,44,1897115,0,0,9,
629583,87,18490,0,21,4567990,5658,20,0,
577037,151,7830,0,11,4572841,3450,17,1,
10759942,117,6915,0,2,1061818,2333,13,1,
22513053,13187,66874,0,39,0,0,21,17,
629702,88,23341,0,22,4569944,5737,35,0,
568436,104,3957,0,11,4565417,3454,48,1,
6577746,118,6861,0,2,2530665,2345,50,8,
19638361,9060,34884,0,4,0,1105,55,10,
1068698,4394,44239,0,45,4573515,1549,0,0,
18446744073709490272,104,3984,0,11,4565521,3458,55,0,
12310185,122,6834,0,2,509340,2375,22,5,
20167410,9543,66975,0,39,0,0,14,6,
407813,3509,48235,0,41,4581828,1559,0,0,
18446744073709486408,99,3925,0,11,4565637,3502,46,1,
12207350,113,6939,0,2,554136,2351,47,2,
21689185,11928,66888,0,39,0,0,19,5,
397853,276,24322,0,24,4569685,3191,2,0,
569034,104,3902,0,11,4565436,3451,52,1,
16679188,4656,4365,0,4,0,1258,32,12,
11465777,8984,70625,0,70,1972026,0,0,10,
18446744073627668707,83,18350,0,21,4567959,5661,4,0,
4746851,123,6957,0,2,3190555,2313,16,4,
19656757,8994,34981,0,4,0,1148,48,10,
1068101,4519,44651,0,46,4573199,1560,0,0,
18446744073709487413,100,3902,0,11,4565426,3429,58,1,
12180065,118,6867,0,2,562380,2301,14,5,
21671343,11934,66916,0,39,0,0,15,13,
628284,85,23870,0,23,4569622,5657,2,0,
567624,99,3959,0,11,4572906,3456,14,0,
6454723,118,6828,0,2,2575623,2332,49,4,
19639070,9100,34866,0,4,0,1112,28,7,
1069362,24888492,19799,0,21,4565658,1483,0,0,
1277,87,16289,0,21,4568062,5683,7,0,
8015077,122,6816,0,2,2026067,2330,14,1,
16687551,4629,8665,0,4,0,1255,21,7,
11767147,10801723,47208,0,44,1907383,0,0,6,
631343,87,18509,0,21,4567994,5652,1,0,
579163,160,7412,0,11,4565571,3471,35,3,
10753286,117,6887,0,2,1065448,2336,56,12,
22517578,13220,66807,0,39,0,0,26,21,
394288,140,22130,0,21,4569163,4231,3,0,
563836,100,3918,0,11,4565451,3468,23,0,
16665687,4652,4340,0,4,0,1229,48,5,
11448104,8893,70870,0,71,1976776,0,0,1,
18446744073627321118,83,18438,0,21,4575390,5661,27,0,
4708153,122,6905,0,2,3191087,2382,82,13,
19637998,9097,34868,0,4,0,1139,59,8,
921846,4168,45170,0,44,4573869,1558,0,0,
18446744073709486162,99,3942,0,11,4572814,3468,19,1,
12290551,122,6886,0,2,522870,2317,16,3,
20180118,9649,66730,0,39,0,0,8,18,
398859,1245,29529,0,27,4570399,1601,0,0,
18446744073709454060,88,18383,0,21,4567979,5649,22,0,
3215912,117,6901,0,2,3715255,2324,59,8,
19685707,9073,34942,0,4,0,1178,71,16,
1066783,4595,46052,0,46,4573283,1530,0,0,
18446744073709492873,106,3931,0,11,4565410,3432,54,1,
12145925,118,6809,0,2,581585,2346,38,9,
21670483,11938,66736,0,39,0,0,35,13,
632527,89,23494,0,22,4569631,5674,7,0,
567124,104,3895,0,11,4565413,3448,15,0,
6439733,118,6881,0,2,2582433,2315,50,5,
19644178,9095,34893,0,4,0,1125,31,14,
1060949,4606,45934,0,46,4572891,1559,0,0,
18446744073709488459,100,3921,0,11,4565496,3428,17,2,
12083052,122,6882,0,2,596504,2342,18,5,
16681832,4652,4363,0,4,0,1234,25,4,
11377620,9093,71837,0,71,2001641,0,0,1,
18446744073658066346,83,18651,0,22,4575444,5700,8,0,
5507631,122,6905,0,2,2909048,2341,57,6,
19648819,9102,34916,0,4,0,1139,52,12,
1070757,4460,44496,0,46,4573350,1563,0,0,
18446744073709487591,99,3899,0,11,4565477,3442,53,1,
12216519,122,6873,0,2,559092,2345,26,7,
21678951,11932,66776,0,39,0,0,23,13,
407405,3501,47830,0,41,4574377,1551,0,0,
18446744073709487554,96,3948,0,11,4565409,3413,53,0,
12083830,122,6917,0,2,595669,2340,28,5,
16701901,4654,4349,0,4,0,1239,53,10,
11569191,8559,67824,0,68,1860626,0,0,5,
18446744073657861016,88,18388,0,22,4567969,5658,1,0,
4514017,117,6898,0,2,3257968,2323,53,10,
19643304,9090,34888,0,4,0,1135,64,14,
1065638,4564,45660,0,46,4573043,1551,0,0,
18446744073709487103,105,3944,0,11,4565412,3438,16,1,
12217427,122,6903,0,2,548892,2344,19,5,
21672398,11866,66816,0,39,0,0,18,8,
627042,88,23623,0,24,4569590,5646,0,0,
566693,104,3975,0,11,4565406,3419,49,0,
6472469,118,6860,0,2,2569309,2333,53,1,
19643715,9103,34882,0,4,0,1123,27,14,
1070121,24884733,18942,0,20,4573083,1488,0,0,
946,79,16435,0,21,4568156,5715,10,0,
8105735,118,6894,0,2,1998227,2421,47,5,
16686981,4679,8852,0,4,0,1273,53,6,
11715687,9238,72766,0,70,1897735,0,0,4,
18446744073660559992,80,18397,0,21,4567982,5653,16,0,
4508117,119,6847,0,2,3260495,2316,18,10,
19640896,9105,34938,0,4,0,1152,54,11,
1069665,24955117,19666,0,20,4565504,1501,0,0,
1437,88,16461,0,21,4568194,5683,35,0,
8127161,122,6891,0,2,1988131,2340,15,5,
16684754,4682,8235,0,4,0,1274,25,7,
11674771,10705965,47483,0,44,1890564,0,0,1,
634461,83,18302,0,21,4567954,5670,3,0,
566291,101,3931,0,11,4565466,3452,47,2,
16680760,4652,4412,0,4,0,1237,29,8,
11466046,8836,70975,0,70,1971259,0,0,8,
18446744073670880048,78,18507,0,23,4575681,5743,43,0,
4347352,122,6906,0,2,3317890,2340,67,23,
19672034,8857,35128,0,4,0,1162,92,71,
924537,24055064,21756,0,19,4567214,1555,0,0,
18446744073709551443,82,16481,0,21,4568157,5718,7,0,
8626051,117,6868,0,2,1813042,2315,21,6,
19516873,8770,35046,0,6,0,0,32,6,
18446744073677075807,11263314,48320,0,42,1991491,0,0,4,
631993,77,18450,0,21,4567978,5650,1,0,
11928422,101,4017,0,11,4565515,3445,57,0,
