PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
1216672,4620552,11405,0,9,350,0,
1214674,4620467,11405,0,9,346,0,
36147,4620467,11327,0,9,344,0,
35708,4620456,11327,0,9,329,0,
129037,4302311,15924,0,10,643,0,
1214109,310,11327,0,9,353,0,
1213976,310,11327,0,9,353,0,
1214941,4620467,8156,0,9,357,0,
1210596,4605588,8156,0,9,378,0,
1214400,4620467,8156,0,9,368,0,
1213785,4620467,11405,0,4,343,0,
1213786,4620456,11405,0,4,339,0,
1225142,4620457,15989,0,9,410,0,
1210627,4605577,11405,0,9,5,0,
1214238,4620467,11405,0,9,3,0,
1214110,4620467,11405,0,9,352,0,
1213914,4620467,11405,0,9,343,0,
1214378,4620467,11405,0,9,345,0,
35587,4620456,11327,0,9,331,0,
35589,4620456,11327,0,9,344,0,
1214517,310,11327,0,9,353,0,
1214366,310,11327,0,9,364,0,
1214724,310,11327,0,9,367,0,
1210484,4605588,8156,0,9,373,0,
1215285,4620467,8156,0,9,365,0,
1226996,4620457,11855,0,5,677,0,
1213823,4620456,11405,0,4,332,0,
1214360,4620456,11405,0,4,332,0,
1230190,4620467,16252,0,9,202,0,
1210284,4605588,11405,0,9,3,0,
1213651,4620467,11405,0,9,4,0,
1216317,4620467,11405,0,9,338,0,
1214440,4620456,11405,0,9,328,0,
1213673,4620456,11405,0,9,343,0,
35733,4620456,11327,0,9,340,0,
35779,4620467,11327,0,9,345,0,
35829,4620467,11327,0,9,346,0,
45393,4620467,15887,0,9,570,0,
35863,4620467,11327,0,9,346,0,
35881,4620456,11327,0,9,341,0,
437011,3102793,18838,0,10,751,0,
1216028,310,11327,0,9,372,0,
1216238,310,11327,0,9,374,0,
1216366,310,11327,0,9,360,0,
1216390,4620467,8156,0,9,370,0,
1216511,4620467,8156,0,9,374,0,
1216423,4620456,8156,0,9,362,0,
1216226,4620456,11405,0,4,344,0,
1217055,4620456,11405,0,4,333,0,
1216029,4620467,11405,0,4,351,0,
1227651,4620468,16317,0,9,458,0,
1216091,4620467,11405,0,9,5,0,
1215828,4620467,11405,0,9,3,0,
1215373,4620456,11405,0,9,4,0,
1215714,4620456,11405,0,9,345,0,
1216114,4620456,11405,0,9,337,0,
1215189,4620467,11405,0,9,335,0,
35788,4620467,11327,0,9,351,0,
35847,4620467,11327,0,9,341,0,
35912,4620467,11327,0,9,337,0,
1037358,696628,16011,0,10,658,0,
1217042,310,11327,0,9,358,0,
1216797,310,11327,0,9,354,0,
1216056,310,11327,0,9,369,0,
1216850,4620467,8156,0,9,377,0,
1216195,4620467,8156,0,9,366,0,
1216111,4620467,8156,0,9,362,0,
1216284,4620456,11405,0,4,329,0,
1216274,4620456,11405,0,4,348,0,
1216781,4620456,11405,0,4,345,0,
1216924,4620467,11405,0,4,329,0,
1216465,4620467,11405,0,4,350,0,
1216018,4620467,11405,0,4,336,0,
1226013,4620468,16089,0,9,447,1,
1216823,4620456,11405,0,9,5,0,
1215869,4620456,11405,0,9,4,0,
1216289,4620456,11405,0,9,4,0,
1212353,4605588,11405,0,9,351,0,
1216473,4620467,11405,0,9,326,0,
1215843,4620467,11405,0,9,346,0,
35916,4620467,11327,0,9,340,0,
35910,4620456,11327,0,9,345,0,
35960,4620456,11327,0,9,327,0,
336705,3474034,16011,0,10,634,0,
1216395,310,11327,0,9,369,0,
1213208,310,11327,0,9,373,0,
1215620,310,11327,0,9,372,0,
1215957,4620467,8156,0,9,377,0,
1216550,4620456,8156,0,9,361,0,
1216444,4620456,8156,0,9,353,0,
1216508,4620456,11405,0,4,349,0,
1216142,4620467,11405,0,4,336,0,
1216369,4620467,11405,0,4,344,0,
1221660,4605589,16089,0,9,432,0,
1215771,4620467,11405,0,9,3,0,
1215521,4620456,11405,0,9,5,0,
1215959,4620456,11405,0,9,5,0,
1216113,4620456,11405,0,9,340,0,
1216212,4620467,11405,0,9,347,0,
1216063,4620467,11405,0,9,330,0,
35920,4620467,11327,0,9,346,0,
35846,4620467,11327,0,9,337,0,
35836,4620456,11327,0,9,342,0,
893705,1281240,16008,0,10,667,1,
1216270,310,11327,0,9,348,0,
1216274,310,11327,0,9,357,0,
1216449,310,11327,0,9,372,0,
1216598,4620467,8156,0,9,356,0,
1212472,4605588,8156,0,9,367,0,
1216250,4620456,8156,0,9,368,0,
1215863,4620456,11405,0,4,347,0,
1216069,4620456,11405,0,4,344,0,
1212151,4605588,11405,0,4,346,0,
1224972,4620467,11405,0,4,341,0,
1215365,4620467,11405,0,4,334,0,
1216149,4620467,11405,0,4,338,0,
1215387,4620456,11405,0,6,531,0,
1216459,4620456,11405,0,9,3,0,
1216428,4620456,11405,0,9,6,0,
1216702,4620467,11405,0,9,10,0,
1216137,4620467,11405,0,9,344,0,
1215711,4620467,11405,0,9,339,0,
1215350,4620467,11405,0,9,336,0,
35854,4620456,11327,0,9,344,0,
35834,4620456,11327,0,9,339,0,
35901,4620456,11327,0,9,330,0,
305432,3599157,16215,0,10,673,0,
