PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
77466,47784,15258,0,13,12718,140274763990472,140274764040169,550,
73207,47423,15258,0,13,12635,140274763990472,140274764040169,550,
72032,47712,15258,0,13,12688,140274763990472,140274764040169,550,
70363,47698,15258,0,13,12688,140274763990472,140274764040169,550,
70064,47745,15258,0,13,12717,140274763990472,140274764040169,550,
69496,47687,15258,0,13,12686,140274763990472,140274764040169,550,
69056,47689,15258,0,13,12687,140274763990472,140274764040169,550,
68898,47774,15258,0,13,12719,140274763990472,140274764040169,550,
68827,47696,15258,0,13,12687,140274763990472,140274764040169,550,
68234,47416,15258,0,13,12635,140274763990472,140274764040169,550,
68275,47703,15258,0,13,12687,140274763990472,140274764040169,550,
68716,47766,15258,0,13,12717,140274763990472,140274764040169,550,
68083,47777,15258,0,13,12718,140274763990472,140274764040169,550,
68100,47697,15258,0,13,12687,140274763990472,140274764040169,550,
68654,47778,15258,0,13,12719,140274763990472,140274764040169,550,
68100,47767,15258,0,13,12719,140274763990472,140274764040169,550,
67837,47397,15258,0,13,12632,140274763990472,140274764040169,550,
67621,47689,15258,0,13,12687,140274763990472,140274764040169,550,
67287,47712,15258,0,13,12688,140274763990472,140274764040169,550,
67218,47423,15258,0,13,12635,140274763990472,140274764040169,550,
67656,47781,15258,0,13,12718,140274763990472,140274764040169,550,
67399,47788,15258,0,13,12719,140274763990472,140274764040169,550,
67074,47423,15258,0,13,12635,140274763990472,140274764040169,550,
67637,47694,15258,0,13,12686,140274763990472,140274764040169,550,
67219,47416,15258,0,13,12635,140274763990472,140274764040169,550,
66991,47430,15258,0,13,12635,140274763990472,140274764040169,550,
67663,47689,15258,0,13,12687,140274763990472,140274764040169,550,
67611,47759,15258,0,13,12717,140274763990472,140274764040169,550,
67452,47705,15258,0,13,12688,140274763990472,140274764040169,550,
67250,47407,15258,0,13,12634,140274763990472,140274764040169,550,
67391,47770,15258,0,13,12718,140274763990472,140274764040169,550,
68244,47781,15258,0,13,12719,140274763990472,140274764040169,550,
68479,47705,15258,0,13,12688,140274763990472,140274764040169,550,
67362,47773,15258,0,13,12717,140274763990472,140274764040169,550,
67092,47759,15258,0,13,12717,140274763990472,140274764040169,550,
67341,47759,15258,0,13,12717,140274763990472,140274764040169,550,
67691,47712,15258,0,13,12688,140274763990472,140274764040169,550,
67189,47752,15258,0,13,12717,140274763990472,140274764040169,550,
67437,47680,15258,0,13,12686,140274763990472,140274764040169,550,
79726,47705,18966,0,13,13761,140274763990472,140274764040169,550,
67145,47705,15258,0,13,12688,140274763990472,140274764040169,550,
66954,47777,15258,0,13,12718,140274763990472,140274764040169,550,
66810,47763,15258,0,13,12718,140274763990472,140274764040169,550,
66653,47763,15258,0,13,12718,140274763990472,140274764040169,550,
67204,47430,15258,0,13,12635,140274763990472,140274764040169,550,
67115,47423,15258,0,13,12635,140274763990472,140274764040169,550,
67305,47705,15258,0,13,12688,140274763990472,140274764040169,550,
67169,47705,15258,0,13,12688,140274763990472,140274764040169,550,
68216,47777,15258,0,13,12718,140274763990472,140274764040169,550,
67595,47712,15258,0,13,12688,140274763990472,140274764040169,550,
67021,47423,15258,0,13,12635,140274763990472,140274764040169,550,
67463,47414,15258,0,13,12634,140274763990472,140274764040169,550,
66875,47423,15258,0,13,12635,140274763990472,140274764040169,550,
66900,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67066,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67125,47767,15258,0,13,12719,140274763990472,140274764040169,550,
76273,47770,15258,0,13,12718,140274763990472,140274764040169,550,
71561,47712,15258,0,13,12688,140274763990472,140274764040169,550,
70197,47788,15258,0,13,12719,140274763990472,140274764040169,550,
70045,47348,15258,0,13,12607,140274763990472,140274764040169,550,
69546,47698,15258,0,13,12688,140274763990472,140274764040169,550,
68694,47430,15258,0,13,12635,140274763990472,140274764040169,550,
68532,47385,15258,0,13,12632,140274763990472,140274764040169,550,
68664,47703,15258,0,13,12687,140274763990472,140274764040169,550,
68393,47678,15258,0,13,12686,140274763990472,140274764040169,550,
68750,47430,15258,0,13,12635,140274763990472,140274764040169,550,
68357,47698,15258,0,13,12688,140274763990472,140274764040169,550,
68113,47701,15258,0,13,12687,140274763990472,140274764040169,550,
68003,47689,15258,0,13,12687,140274763990472,140274764040169,550,
67933,47752,15258,0,13,12717,140274763990472,140274764040169,550,
67726,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67593,47680,15258,0,13,12686,140274763990472,140274764040169,550,
67585,47712,15258,0,13,12688,140274763990472,140274764040169,550,
67492,47678,15258,0,13,12686,140274763990472,140274764040169,550,
66892,47703,15258,0,13,12687,140274763990472,140274764040169,550,
77417,47777,15258,0,13,12718,140274763990472,140274764040169,550,
67252,47705,15258,0,13,12688,140274763990472,140274764040169,550,
67129,47703,15258,0,13,12687,140274763990472,140274764040169,550,
66635,47416,15258,0,13,12635,140274763990472,140274764040169,550,
67058,47703,15258,0,13,12687,140274763990472,140274764040169,550,
67022,47698,15258,0,13,12688,140274763990472,140274764040169,550,
67022,47694,15258,0,13,12686,140274763990472,140274764040169,550,
67269,47672,15258,0,13,12685,140274763990472,140274764040169,550,
67304,47756,15258,0,13,12718,140274763990472,140274764040169,550,
67292,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67030,47403,15258,0,13,12634,140274763990472,140274764040169,550,
67342,47705,15258,0,13,12688,140274763990472,140274764040169,550,
67151,47766,15258,0,13,12717,140274763990472,140274764040169,550,
67212,47412,15258,0,13,12633,140274763990472,140274764040169,550,
66604,47386,15258,0,13,12631,140274763990472,140274764040169,550,
66566,47423,15258,0,13,12635,140274763990472,140274764040169,550,
67002,47755,15258,0,13,12716,140274763990472,140274764040169,550,
67636,47698,15258,0,13,12688,140274763990472,140274764040169,550,
67082,47741,15258,0,13,12716,140274763990472,140274764040169,550,
66946,47712,15258,0,13,12688,140274763990472,140274764040169,550,
66896,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67110,47788,15258,0,13,12719,140274763990472,140274764040169,550,
66857,47712,15258,0,13,12688,140274763990472,140274764040169,550,
67039,47766,15258,0,13,12717,140274763990472,140274764040169,550,
67086,47788,15258,0,13,12719,140274763990472,140274764040169,550,
67383,47689,15258,0,13,12687,140274763990472,140274764040169,550,
67363,47792,15258,0,13,12719,140274763990472,140274764040169,550,
66869,47712,15258,0,13,12688,140274763990472,140274764040169,550,
66906,47705,15258,0,13,12688,140274763990472,140274764040169,550,
66741,47705,15258,0,13,12688,140274763990472,140274764040169,550,
67326,47752,15258,0,13,12717,140274763990472,140274764040169,550,
66924,47680,15258,0,13,12686,140274763990472,140274764040169,550,
66807,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67332,47696,15258,0,13,12687,140274763990472,140274764040169,550,
67529,47705,15258,0,13,12688,140274763990472,140274764040169,550,
66796,47763,15258,0,13,12718,140274763990472,140274764040169,550,
66876,47788,15258,0,13,12719,140274763990472,140274764040169,550,
67461,47650,15258,0,13,12683,140274763990472,140274764040169,550,
66844,47755,15258,0,13,12716,140274763990472,140274764040169,550,
66996,47763,15258,0,13,12718,140274763990472,140274764040169,550,
66615,47421,15258,0,13,12634,140274763990472,140274764040169,550,
69886,47766,15258,0,13,12717,140274763990472,140274764040169,550,
68593,47416,15258,0,13,12635,140274763990472,140274764040169,550,
68050,47705,15258,0,13,12688,140274763990472,140274764040169,550,
68265,47777,15258,0,13,12718,140274763990472,140274764040169,550,
67313,47777,15258,0,13,12718,140274763990472,140274764040169,550,
67826,47773,15258,0,13,12717,140274763990472,140274764040169,550,
67208,47414,15258,0,13,12634,140274763990472,140274764040169,550,
67239,47703,15258,0,13,12687,140274763990472,140274764040169,550,
67784,47770,15258,0,13,12717,140274763990472,140274764040169,550,
66964,47423,15258,0,13,12635,140274763990472,140274764040169,550,
66818,47430,15258,0,13,12635,140274763990472,140274764040169,550,
66967,47416,15258,0,13,12635,140274763990472,140274764040169,550,
67214,47752,15258,0,13,12717,140274763990472,140274764040169,550,
