PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
145383622,347414130,96809,9,41,2614377,31,
158518986,375546735,79965,10,38,2471165,85,
145371373,370513790,101433,9,40,2625711,21,
158529960,375538094,79105,10,30,2419620,55,
145356365,364179417,105233,10,34,2612413,28,
158462344,375537386,71058,9,43,2410876,120,
145295086,358291267,104180,10,32,2598018,62,
158452420,375551755,79546,10,33,2562521,81,
160128335,375544544,8786965,9,2752,2833076,104416,
158431202,375481995,105463,10,30,2371566,70,
145687786,344231419,85397,9,35,2609005,38,
158478152,375569035,112969,10,30,2399123,77,
148166783,344445516,106832,10,36,2611601,59,
158462365,375519083,101747,9,22,2401813,62,
150864318,344339209,103504,10,33,2609935,46,
158481085,375594083,104534,10,91,2407586,146,
153306260,344265739,99347,9,32,2614820,72,
158516178,375676765,102576,10,27,2382395,101,
155884294,344417704,93138,10,34,2607538,201,
158500209,375458323,100047,9,31,2399880,172,
158485414,344441803,92817,10,41,2602012,112,
149986009,375508514,97097,9,39,2500885,54,
158481249,350551893,92716,10,37,2613329,83,
147540883,375630562,95417,10,38,2562767,39,
158506772,356437189,96603,9,35,2616414,120,
145330001,374856312,96957,10,46,2592711,70,
180541620,397524322,22912142,10,4332,3010950,133398,
158471672,375539146,71737,9,44,2406464,87,
145297783,359888518,108933,10,49,2614262,64,
158521051,375669415,80431,10,40,2573674,79,
145305412,354067191,98182,9,41,2596558,69,
158463563,375519335,79300,10,34,2547006,51,
145332617,348412666,99027,9,36,2617166,78,
158522526,375531167,72994,10,40,2501515,85,
145383792,373562025,109752,10,39,2605204,147,
158542790,375558337,73658,9,38,2473880,136,
145352597,367631760,99586,10,42,2610492,55,
158536048,375681660,92427,10,41,2406666,94,
145290794,361622997,87412,9,40,2586248,55,
158478737,375574388,91033,10,41,2396321,71,
153068677,344425405,90281,10,51,2589923,44,
158511880,375533527,101347,9,26,2398667,69,
155610398,344449608,99888,10,45,2596130,118,
158474198,375550781,94598,9,29,2399145,83,
158152367,344527599,115362,10,109,2596862,76,
150297969,375556387,106041,10,37,2527252,96,
172944557,352830764,9993774,9,2560,2775972,95832,
145311940,346482057,98647,10,36,2595395,66,
158474291,375586398,78884,9,37,2514676,55,
145360190,371823111,93373,10,35,2620070,57,
158491265,375543852,82375,10,30,2436730,91,
145338920,365832738,95091,10,37,2620013,52,
158471097,375553982,80424,9,31,2418009,43,
145325571,359835474,98218,10,31,2606390,38,
158480662,375567888,77856,9,37,2572139,61,
145327189,354098911,112690,10,30,2602967,58,
158434676,375460929,76635,10,32,2553074,62,
145264633,348327638,95707,9,37,2609136,90,
158489796,375557842,79085,10,30,2497531,73,
145338460,374094069,112252,10,41,2622377,78,
158499385,375527213,79574,9,38,2466967,95,
145366457,368026976,101752,10,36,2601702,45,
158487642,375535909,71669,9,32,2435942,68,
145300362,362348885,101531,10,38,2602702,56,
179418447,356490544,34808768,10,4438,3054445,89605,
158497912,375580142,84353,9,34,2543842,56,
145328009,350040014,104655,10,33,2604219,64,
158506376,375574262,82876,10,33,2502425,88,
145368055,344348778,98600,9,37,2608859,70,
158472344,375605930,102189,10,29,2379533,60,
147187449,344175035,94962,10,36,2600482,24,
158498701,375535601,102538,9,26,2395031,74,
149657663,344455209,114992,10,50,2599816,101,
158445699,375530959,96130,10,28,2377134,78,
152105580,344380029,90146,9,34,2604808,85,
158417190,375562436,98790,10,30,2376224,72,
154506260,344395044,97986,9,30,2611739,77,
158487976,375546413,110685,10,29,2385093,60,
157241821,344332327,87565,10,39,2609039,62,
158430032,375490130,92452,9,27,2373562,51,
146578886,344574256,92845,10,36,2606314,76,
158518592,375536733,104649,9,26,2375116,96,
149126857,344465409,101036,10,33,2615872,58,
158449344,375455703,101843,10,31,2378474,64,
151544752,344359099,90378,10,35,2610574,63,
158432552,375521295,105957,9,24,2381315,89,
154491175,344377538,89743,10,37,2614313,61,
158616067,375558589,108286,9,24,2387696,93,
157127832,344411211,98423,10,36,2613976,61,
158500934,375541208,109341,10,94,2374465,104,
146463897,344301127,97529,9,30,2607706,63,
158455265,375463258,102831,10,27,2369037,66,
148879138,344335406,99110,10,35,2595577,57,
158460312,375578493,100408,9,27,2378619,65,
151334203,344387002,108945,10,37,2611237,92,
158512021,375530900,90354,9,27,2386489,58,
153814284,344512370,103515,10,36,2600672,51,
158531503,375619700,111728,10,32,2383227,138,
156400052,344465764,105733,9,29,2615831,184,
158556562,375619901,106802,10,32,2379255,129,
145719432,344345488,87757,10,49,2587672,81,
158533916,375630945,96882,9,26,2382016,77,
