PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
46294698,109556248,8,44,52,8,0,
46234823,109513672,8,46,62,8,0,
46235889,109522420,10,41,25,10,0,
46234241,109558114,7,34,22,7,0,
46252829,109568578,8,39,21,8,0,
46236140,109558921,7,37,15,7,0,
46280125,109566688,9,37,30,9,0,
46231223,109517590,8,41,14,8,0,
46243030,109560494,10,39,24,10,0,
46244823,109562611,7,39,34,7,0,
46227923,109524824,10,43,56,10,0,
46255049,109557646,6,32,35,6,0,
67531643,133119997,9,2078,76494,9,0,
46274237,109569262,9,53,67,9,0,
46254478,109561961,7,37,45,7,0,
46243352,109562587,8,39,34,8,0,
46220720,109559999,6,35,23,6,0,
46315932,109564086,9,41,33,9,0,
46238059,109563623,8,38,21,8,0,
46275382,109572782,9,43,58,9,0,
46263570,109606572,7,36,43,7,0,
46285351,109560585,7,38,38,7,0,
46240159,109556306,8,40,32,8,0,
46262224,109558597,9,41,37,9,0,
46243519,109562178,8,40,18,8,0,
46250651,109557573,8,40,47,8,0,
46248517,109559582,8,37,16,8,0,
46222959,109554166,6,35,32,6,0,
46242915,109560447,10,42,21,10,0,
46252562,109567823,9,39,30,9,0,
46253562,109562169,8,39,26,8,0,
46265683,109608237,8,39,28,8,0,
46238941,109515803,10,42,30,10,0,
46243840,109560662,7,33,22,7,0,
46267368,109561336,8,40,23,8,0,
46255249,109561834,9,40,25,9,0,
46261901,109565322,10,44,56,10,0,
46227801,109519704,8,42,39,8,0,
46253019,109561040,7,38,25,7,0,
46253600,109567855,10,45,45,10,0,
46285504,109606840,9,45,31,9,0,
46305653,109612880,8,40,39,8,0,
46243479,109555335,10,43,26,10,0,
46264615,109564491,9,40,39,9,0,
46226563,109551389,8,38,32,8,0,
46264878,109576917,8,43,53,8,0,
46237969,109558068,8,38,20,8,0,
46276443,109567352,10,42,36,10,0,
46273231,109560483,7,100,121,7,0,
46266127,109560933,8,36,34,8,0,
46261357,109555284,9,44,26,9,0,
46254023,109563944,8,41,33,8,0,
46241145,109558992,10,42,28,10,0,
46265403,109558864,9,42,46,9,0,
46282169,109610037,8,40,35,8,0,
46226625,109548765,8,34,39,8,0,
46266753,109565822,9,39,56,9,0,
46248013,109558816,8,37,48,8,0,
46265092,109525055,10,41,84,10,0,
46238462,109554786,7,36,31,7,0,
46266096,109567891,8,34,34,8,0,
46297406,109604871,9,40,33,9,0,
46255333,109563895,8,36,27,8,0,
46272009,109561045,8,37,42,8,0,
46258413,109562519,7,37,39,7,0,
46280700,109606780,8,40,39,8,0,
46234256,109562350,7,35,35,7,0,
46299562,109571743,10,51,75,10,0,
46250245,109563204,8,40,43,8,0,
46291889,109611836,7,39,69,7,0,
46277806,109560703,7,35,37,7,0,
46249396,109563919,8,36,64,8,0,
46247247,109561251,10,40,36,10,0,
46212720,109467645,10,42,28,10,0,
46293620,109584702,10,63,165,10,0,
46251198,109558325,9,41,31,9,0,
46258320,109566539,7,37,37,7,0,
46245592,109552596,7,34,29,7,0,
46250323,109561541,8,39,22,8,0,
46235612,109557435,8,37,29,8,0,
46266943,109566572,8,41,48,8,0,
46273101,109600897,7,35,24,7,0,
46250611,109560329,7,34,33,7,0,
46233731,109512956,10,39,40,10,0,
46230044,109558567,8,37,23,8,0,
46253661,109566940,7,36,40,7,0,
46236217,109557928,7,35,20,7,0,
46268302,109569329,7,39,46,7,0,
46225573,109553127,6,31,24,6,0,
