PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
791384552,1112468217,16491,1365180,15560,143151,14096,163401836,0,16490,1,
999437990,1382790832,22722,1704273,18376,139813,18411,211032265,0,22722,0,
800614120,1108423393,16497,1364420,15407,184292,14108,168640489,0,16497,0,
639649640,881784386,15061,1138990,12176,91571,12444,135034948,0,15061,0,
800630051,1111420096,16500,1337676,13102,135351,12978,167192833,0,16500,0,
1858975338,2587679197,40691,3258098,33633,441094,31657,387998631,0,40691,0,
1193935727,1642402617,24930,2160285,21115,407387,19793,251056607,0,24930,0,
588573968,808796841,14579,1085878,11888,79823,11703,123093136,0,14579,0,
792956319,1112697646,16478,1543603,13431,327865,15123,164507293,0,16478,0,
789240858,1099079168,16483,1320639,13084,139414,13071,166534160,0,16483,0,
793698916,1103999097,16468,1308181,13142,130555,13285,166636552,0,16468,0,
1572618569,2184113837,33865,2917805,27925,626108,27931,328717285,0,33865,0,
683866614,945333767,15388,1193010,11668,121171,11848,142494017,0,15388,0,
1918875765,2655975241,41932,3486066,32759,314391,34434,405819790,0,41932,0,
764230440,1069199562,16170,1498695,14679,678804,14676,160569394,0,16170,0,
795946367,1106437391,16437,1331114,12532,143322,12707,166198641,0,16437,0,
797956096,1109241509,16478,1326833,12880,136228,13126,166784256,0,16478,0,
821295045,1145761373,16499,1448678,14803,660818,15072,169313130,0,16499,0,
789225782,1102290324,16497,1356608,12842,142257,12856,164912456,0,16497,0,
789250549,1098785057,16443,1327691,12943,131081,12951,165236970,0,16443,0,
816726267,1128546832,16433,1691109,13382,321502,15190,173617164,0,16433,0,
