PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ
335928725,1391780588,4,11534,381,605,385,469893659,0,4,0
339349295,1397153387,4,23571,343,1267,393,480070370,0,4,0
329521588,1382409663,6,12333,337,540,427,474228120,0,6,0
378842133,1433087567,4,22343,397,322,506,479222182,0,4,0
338767963,1391780046,6,13079,425,393,495,480831279,0,6,0
336016942,1388001364,4,21738,407,262,440,481923530,0,4,0
334398316,1389476489,4,12141,407,282,380,481422338,0,4,0
334019694,1389136503,6,22198,381,260,394,479954526,0,6,0
334692398,1389930249,4,12382,324,298,382,477319342,0,4,0
334311200,1389640617,6,23663,339,292,433,477248326,0,6,0
338703444,1401187950,4,11153,337,384,425,477240958,0,4,0
342903631,1414752915,4,22346,305,378,431,476529742,0,4,0
348583797,1428602811,6,11223,303,253,434,477104017,0,6,0
338749560,1402932331,4,12494,312,362,430,472554292,0,4,0
338819591,1395055068,6,22757,394,387,628,471371685,0,6,0
338815299,1402324841,4,10754,325,296,438,472139755,0,4,0
348770277,1431513955,4,22544,389,244,446,472834231,0,4,0
348763803,1433650140,6,12472,619,813,609,473563932,0,6,0
338803318,1390147176,4,23096,468,534,526,483012657,0,4,0
336915886,1386776080,6,12337,408,313,440,482117956,0,6,0
333416191,1388001509,4,21649,457,280,422,482009557,0,4,0
332340344,1386082510,4,12818,410,283,413,478884861,0,4,0
335122822,1390608224,6,22072,308,278,359,477735058,0,6,0
335699713,1394487319,4,11989,306,396,385,476654845,0,4,0
340982964,1408690801,6,22103,308,306,460,476778459,0,6,0
346084647,1423816637,4,10830,305,289,426,476606804,0,4,0
338811778,1402486983,6,23342,301,361,441,474171786,0,6,0
338790906,1403738945,4,11702,333,364,424,472627666,0,4,0
348777504,1432094609,4,23301,375,368,426,472940552,0,4,0
338815771,1404427939,6,12521,397,302,444,482356121,0,6,0
338806411,1395044165,4,11987,387,338,449,481850592,0,4,0
338808159,1388595854,6,23239,407,266,468,481733057,0,6,0
336626284,1389484120,4,11670,397,348,425,481476454,0,4,0
332319159,1386138177,4,23010,404,244,425,482283127,0,4,0
341526100,1400914628,6,11988,398,321,365,478684910,0,6,0
330562657,1383441868,4,23073,350,496,355,479482919,0,4,0
332452281,1390440964,6,13742,366,613,469,473883949,0,6,0
342537863,1414114796,4,21161,347,287,480,476045492,0,4,0
338820010,1410059798,4,11788,314,407,441,474809068,0,4,0
348765330,1423740025,6,22819,510,623,608,469951291,0,6,0
348736173,1436282751,4,12742,437,334,513,474236122,0,4,0
338817548,1405428516,6,22780,372,262,453,483975792,0,6,0
337146172,1380109024,4,10608,369,235,409,483785893,0,4,0
329872430,1382332341,4,23048,353,446,360,482907340,0,4,0
329466366,1381416115,6,11729,308,364,365,474535523,0,6,0
338312617,1407063957,4,23088,311,317,387,474370940,0,4,0
348018253,1432914678,6,12634,423,883,607,474689625,0,6,0
338806742,1402453154,4,11419,329,438,477,472208394,0,4,0
348694052,1429862812,6,23785,422,324,478,472393963,0,6,0
348701030,1427996648,4,11687,389,376,442,471481833,0,4,0
338814192,1402804342,4,23365,395,381,445,481851607,0,4,0
338812888,1399971408,6,13277,401,359,463,480866858,0,6,0
338762874,1392167322,4,23385,388,447,459,481684820,0,4,0
338745086,1372425457,6,13418,380,323,471,473179805,0,6,0
358745475,1417367385,4,21409,335,331,442,482710035,0,4,0
338622204,1388844604,4,11961,372,288,411,481581704,0,4,0
330862883,1383928880,6,23028,389,304,437,482871318,0,6,0
328306960,1379614578,4,11990,347,356,357,475903108,0,4,0
337037375,1402580799,6,22908,312,355,394,474459367,0,6,0
346443199,1429660951,4,10654,311,294,443,474051048,0,4,0
338814319,1407995332,4,22906,319,509,443,474171929,0,4,0
348774709,1435171461,6,11596,387,406,457,473827314,0,6,0
338781665,1388633699,4,22382,375,295,448,484185312,0,4,0
330928715,1380486384,6,12900,503,932,701,483831013,0,6,0
329885828,1381967718,4,12181,371,310,371,477018050,0,4,0
335392975,1393169339,4,22159,343,342,417,476936276,0,4,0
340069432,1404684699,6,11146,315,311,470,477390617,0,6,0
