PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
35363,681,9869,0,2447,65,
34173,681,9869,0,2447,57,
34123,681,9869,0,2447,58,
34174,681,9869,0,2447,53,
34239,681,9869,0,2447,55,
34171,681,9869,0,2447,53,
34190,681,9869,0,2447,54,
34270,681,9869,0,2447,57,
34098,681,9869,0,2447,54,
34119,681,9869,0,2447,53,
34234,681,9869,0,2447,53,
34177,681,9869,0,2447,57,
34191,681,9869,0,2447,53,
34232,681,9869,0,2447,56,
34240,681,9869,0,2447,58,
34198,681,9869,0,2447,54,
34220,681,9869,0,2447,54,
34199,681,9869,0,2447,58,
34167,681,9869,0,2447,53,
34135,681,9869,0,2447,56,
34116,681,9869,0,2447,55,
34211,681,9869,0,2447,57,
34097,681,9869,0,2447,52,
34154,681,9869,0,2447,54,
34093,681,9869,0,2447,56,
34133,681,9869,0,2447,56,
34064,681,9869,0,2447,58,
34117,681,9869,0,2447,60,
34227,681,9869,0,2447,61,
34088,681,9869,0,2447,57,
34215,681,9869,0,2447,52,
34174,681,9869,0,2447,56,
34149,681,9869,0,2447,57,
34230,681,9869,0,2447,58,
34039,681,9869,0,2447,54,
34089,681,9869,0,2447,55,
34111,681,9869,0,2447,60,
34061,681,9869,0,2447,56,
34194,681,9869,0,2447,55,
34183,681,9869,0,2447,59,
34184,681,9869,0,2447,58,
34152,681,9869,0,2447,54,
34080,681,9869,0,2447,55,
34188,681,9869,0,2447,55,
34107,681,9869,0,2447,57,
34121,681,9869,0,2447,58,
34215,681,9869,0,2447,55,
34151,681,9869,0,2447,53,
34122,681,9869,0,2447,54,
34291,681,9869,0,2447,54,
34116,681,9869,0,2447,57,
34069,681,9869,0,2447,56,
34209,681,9869,0,2447,55,
34176,681,9869,0,2447,52,
34139,681,9869,0,2447,55,
34240,681,9869,0,2447,58,
34128,681,9869,0,2447,60,
34305,681,9869,0,2447,56,
34186,681,9869,0,2447,58,
34256,681,9869,0,2447,54,
34072,681,9869,0,2447,55,
34181,681,9869,0,2447,55,
34097,681,9869,0,2447,54,
34284,681,9869,0,2447,54,
34123,681,9869,0,2447,61,
34140,681,9869,0,2447,56,
34190,681,9869,0,2447,49,
34157,681,9869,0,2447,56,
34132,681,9869,0,2447,58,
34174,681,9869,0,2447,57,
34106,681,9869,0,2447,57,
34128,681,9869,0,2447,55,
35195,681,9869,0,2447,55,
34202,681,9869,0,2447,54,
34240,681,9869,0,2447,56,
34264,681,9869,0,2447,53,
34176,681,9869,0,2447,54,
34138,681,9869,0,2447,53,
34190,681,9869,0,2447,56,
34209,681,9869,0,2447,56,
34189,681,9869,0,2447,56,
34248,681,9869,0,2447,57,
34178,681,9869,0,2447,54,
34231,681,9869,0,2447,51,
34093,681,9869,0,2447,61,
34145,681,9869,0,2447,56,
34146,681,9869,0,2447,49,
34073,681,9869,0,2447,59,
34131,681,9869,0,2447,51,
34166,681,9869,0,2447,54,
34116,681,9869,0,2447,54,
34235,681,9869,0,2447,53,
34144,681,9869,0,2447,54,
34197,681,9869,0,2447,57,
34178,681,9869,0,2447,58,
34167,681,9869,0,2447,54,
34265,681,9869,0,2447,52,
34143,681,9869,0,2447,58,
34157,681,9869,0,2447,54,
34170,681,9869,0,2447,56,
34122,681,9869,0,2447,56,
34211,681,9869,0,2447,53,
34256,681,9869,0,2447,52,
34229,681,9869,0,2447,55,
34169,681,9869,0,2447,53,
34229,681,9869,0,2447,56,
34190,681,9869,0,2447,55,
34150,681,9869,0,2447,56,
34136,681,9869,0,2447,57,
34175,681,9869,0,2447,57,
34115,681,9869,0,2447,52,
34163,681,9869,0,2447,56,
34175,681,9869,0,2447,59,
34141,681,9869,0,2447,52,
34195,681,9869,0,2447,55,
34143,681,9869,0,2447,49,
34244,681,9869,0,2447,51,
34186,681,9869,0,2447,59,
34064,681,9869,0,2447,54,
34182,681,9869,0,2447,52,
34095,681,9869,0,2447,58,
34159,681,9869,0,2447,51,
34575,681,9869,0,2447,56,
34145,681,9869,0,2447,54,
34147,681,9869,0,2447,59,
34112,681,9869,0,2447,53,
34221,681,9869,0,2447,58,
34071,681,9869,0,2447,51,
34101,681,9869,0,2447,54,
34097,681,9869,0,2447,56,
34182,681,9869,0,2447,53,
34102,681,9869,0,2447,56,
34233,681,9869,0,2447,60,
34091,681,9869,0,2447,58,
34115,681,9869,0,2447,54,
34176,681,9869,0,2447,58,
34123,681,9869,0,2447,53,
34057,681,9869,0,2447,52,
34147,681,9869,0,2447,51,
34092,681,9869,0,3808,310,
34163,681,9869,0,2447,55,
34160,681,9869,0,2447,60,
34152,681,9869,0,2447,56,
34158,681,9869,0,2447,52,
34193,681,9869,0,2447,56,
34110,681,9869,0,2447,53,
34103,681,9869,0,2447,55,
34185,681,9869,0,2447,59,
34130,681,9869,0,2447,54,
34181,681,9869,0,2447,54,
34346,681,9869,0,2447,61,
34149,681,9869,0,2447,54,
34196,681,9869,0,2447,57,
34106,681,9869,0,2447,57,
34144,681,9869,0,2447,53,
34080,681,9869,0,2447,52,
34215,681,9869,0,2447,51,
34080,681,9869,0,2447,52,
34265,681,9869,0,2447,57,
34172,681,9869,0,2447,57,
34142,681,9869,0,2447,52,
34207,681,9869,0,2447,57,
34148,681,9869,0,2447,52,
34101,681,9869,0,2447,56,
34146,681,9869,0,2447,57,
34147,681,9869,0,2447,57,
34122,681,9869,0,2447,55,
34068,681,9869,0,2447,54,
34204,681,9869,0,2447,51,
34098,681,9869,0,2447,57,
34154,681,9869,0,2447,58,
34099,681,9869,0,2447,61,
34150,681,9869,0,2447,59,
34094,681,9869,0,2447,55,
34119,681,9869,0,2447,54,
34122,681,9869,0,2447,55,
34108,681,9869,0,2447,57,
34112,681,9869,0,2447,56,
34115,681,9869,0,2447,54,
34109,681,9869,0,2447,52,
34192,681,9869,0,2447,55,
34141,681,9869,0,2447,54,
34151,681,9869,0,2447,62,
34106,681,9869,0,2447,61,
34064,681,9869,0,2447,60,
34177,681,9869,0,2447,56,
34187,681,9869,0,2447,57,
