PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
39160,5170,9869,0,4505,514,
37290,5184,9869,0,4510,524,
37378,5184,9869,0,4510,525,
37211,5184,9869,0,4510,524,
37952,5184,9869,0,4510,510,
37318,5170,9869,0,5968,771,
37100,5184,9869,0,4510,516,
37128,5179,9869,0,4508,524,
37136,5170,9869,0,4505,527,
37712,5184,9869,0,4510,517,
37502,5184,9869,0,4510,522,
37090,5184,9869,0,4510,525,
39717,5183,9869,0,4505,522,
37070,5179,9869,0,4508,512,
37092,5184,9869,0,4510,528,
36973,5184,9869,0,4510,526,
37191,5170,9869,0,4505,530,
37188,5184,9869,0,4510,517,
37330,5184,9869,0,4510,517,
37044,5170,9869,0,4505,522,
38340,5179,9869,0,4508,519,
37295,5184,9869,0,4510,527,
37126,5184,9869,0,4510,522,
37080,5170,9869,0,4505,506,
37422,5183,9869,0,4505,520,
37156,5184,9869,0,4510,530,
37020,5184,9869,0,4510,530,
37096,5184,9869,0,4510,526,
36905,5170,9869,0,4505,519,
37038,5184,9869,0,4510,535,
36988,5184,9869,0,4510,520,
37296,5170,9869,0,4505,509,
37217,5179,9869,0,4508,518,
37007,5184,9869,0,4510,531,
37116,5184,9869,0,4510,518,
37472,5184,9869,0,4510,521,
37282,5184,9869,0,4510,521,
36938,5170,9869,0,4505,521,
37305,5184,9869,0,4510,524,
37125,5184,9869,0,4510,525,
37022,5184,9869,0,4510,519,
36981,5184,9869,0,4510,525,
37650,5184,9869,0,4510,524,
37060,5184,9869,0,4510,521,
37193,5170,9869,0,4505,527,
37069,5184,9869,0,4510,522,
37024,5179,9869,0,4508,517,
36925,5179,9869,0,4508,523,
37521,5183,9869,0,4505,526,
37236,5184,9869,0,4510,517,
37121,5170,9869,0,4505,524,
37207,5184,9869,0,4510,519,
37012,5184,9869,0,4510,522,
52198,5184,9869,0,4510,534,
37074,5184,9869,0,4510,522,
37132,5184,9869,0,4510,523,
37046,5184,9869,0,4510,538,
36925,5170,9869,0,4505,518,
37134,5170,9869,0,4505,531,
36904,5170,9869,0,4505,510,
37033,5170,9869,0,4505,511,
37224,5179,9869,0,4508,527,
36832,5170,9869,0,4505,523,
37461,5184,9869,0,4510,518,
37012,5184,9869,0,4510,519,
37203,5184,9869,0,4510,523,
37050,5184,9869,0,4510,528,
37117,5184,9869,0,4510,524,
37191,5184,9869,0,4510,518,
37117,5184,9869,0,4510,521,
37290,5184,9869,0,4510,525,
37192,5184,9869,0,4510,521,
37115,5170,9869,0,4505,524,
36876,5184,9869,0,4510,522,
37085,5184,9869,0,4510,516,
37165,5170,9869,0,4505,516,
37148,5170,9869,0,4505,516,
37284,5184,9869,0,4510,533,
36974,5179,9869,0,4508,529,
37536,5184,9869,0,4510,519,
36978,5184,9869,0,4510,527,
37112,5179,9869,0,4508,522,
37250,5184,9869,0,4510,525,
37009,5184,9869,0,4510,513,
37014,5170,9869,0,4505,520,
37253,5184,9869,0,4510,513,
38402,5170,9869,0,4505,529,
37138,5179,9869,0,4508,527,
37193,5183,9869,0,4505,516,
36938,5170,9869,0,4505,513,
38339,5184,9869,0,4510,518,
37009,5184,9869,0,4510,526,
37163,5184,9869,0,4510,523,
37208,5184,9869,0,4510,518,
37110,5184,9869,0,4510,520,
37182,5184,9869,0,4510,527,
37137,5184,9869,0,4510,513,
37096,5184,9869,0,4510,526,
36946,5170,9869,0,4505,505,
37561,5184,9869,0,4510,525,
37487,5184,9869,0,4510,535,
37620,5184,9869,0,4510,522,
37255,5184,9869,0,4510,526,
37051,5170,9869,0,4505,517,
37183,5179,9869,0,4508,522,
37240,5184,9869,0,4510,521,
37276,5179,9869,0,4508,533,
37095,5184,9869,0,4510,527,
37361,5170,9869,0,4505,521,
37370,5179,9869,0,4508,524,
37232,5184,9869,0,4510,527,
37309,5184,9869,0,4510,521,
37349,5184,9869,0,4510,512,
37220,5170,9869,0,4505,519,
37280,5184,9869,0,4510,520,
37780,5184,9869,0,4510,533,
37123,5170,9869,0,4505,513,
37223,5184,9869,0,4510,527,
37216,5170,9869,0,4505,523,
37478,5184,9869,0,4510,519,
37150,5170,9869,0,4505,523,
37236,5184,9869,0,4510,513,
37528,5184,9869,0,4510,526,
37242,5184,9869,0,4510,523,
37390,5184,9869,0,4510,528,
37153,5184,9869,0,4510,519,
37255,5184,9869,0,4510,523,
37198,5184,9869,0,4510,527,
37176,5170,9869,0,4505,521,
37616,5184,9869,0,4510,515,
37062,5184,9869,0,4510,514,
37128,5184,9869,0,4510,520,
37339,5183,9869,0,4505,502,
37293,5170,9869,0,4505,515,
37139,5184,9869,0,4510,529,
37237,5170,9869,0,4505,516,
37086,5170,9869,0,4505,506,
37766,5184,9869,0,4510,521,
37440,5170,9869,0,4505,524,
36881,5170,9869,0,4505,508,
37170,5170,9869,0,4505,512,
37270,5184,9869,0,4510,523,
36927,5170,9869,0,4505,520,
37242,5170,9869,0,4505,522,
37193,5184,9869,0,4510,524,
37153,5184,9869,0,4510,529,
36964,5170,9869,0,4505,523,
37123,5184,9869,0,4510,528,
37060,5184,9869,0,4510,534,
37080,5170,9869,0,4505,519,
37097,5170,9869,0,4505,531,
37228,5184,9869,0,4510,519,
37221,5184,9869,0,4510,525,
37146,5184,9869,0,4510,525,
37173,5184,9869,0,4510,530,
37124,5184,9869,0,4510,508,
37420,5184,9869,0,4510,527,
37300,5184,9869,0,4510,522,
37270,5184,9869,0,4510,524,
37372,5184,9869,0,4510,524,
37254,5184,9869,0,4510,533,
37104,5184,9869,0,4510,518,
37229,5184,9869,0,4510,526,
37431,5184,9869,0,4510,514,
37199,5179,9869,0,4508,520,
37180,5184,9869,0,4510,522,
37295,5170,9869,0,4505,524,
37498,5170,9869,0,4505,530,
37201,5184,9869,0,4510,517,
37118,5184,9869,0,4510,517,
37238,5184,9869,0,4510,535,
37040,5170,9869,0,4505,514,
37286,5184,9869,0,4510,521,
37225,5179,9869,0,4508,510,
37180,5179,9869,0,4508,511,
37349,5184,9869,0,4510,534,
37090,5184,9869,0,4510,526,
37120,5184,9869,0,4510,520,
37152,5184,9869,0,4510,520,
37455,5184,9869,0,4510,519,
37762,5179,9869,0,4508,526,
37229,5170,9869,0,4505,527,
37236,5184,9869,0,4510,519,
37275,5170,9869,0,4505,522,
37477,5184,9869,0,4510,521,
37542,5170,9869,0,4505,518,
37234,5184,9869,0,4510,539,
37150,5170,9869,0,4505,516,
37143,5184,9869,0,4510,516,
37015,5184,9869,0,4510,522,
38363,5184,9869,0,4510,528,
37342,5170,9869,0,4505,527,
37189,5184,9869,0,4510,521,
37242,5179,9869,0,4508,528,
37114,5184,9869,0,4510,521,
37132,5170,9869,0,4505,523,
37269,5170,9869,0,4505,525,
37795,5179,9869,0,4508,518,
37324,5184,9869,0,4510,518,
38629,5184,9869,0,4510,517,
37262,5184,9869,0,4510,531,
37130,5170,9869,0,4505,517,
37567,5183,9869,0,4505,523,
37157,5184,9869,0,4510,524,
37228,5179,9869,0,4508,525,
36826,5170,9869,0,4505,515,
37275,5184,9869,0,4510,523,
37186,5184,9869,0,4510,523,
37213,5184,9869,0,4510,517,
37065,5184,9869,0,4510,519,
36994,5170,9869,0,4505,515,
37025,5170,9869,0,4505,505,
37167,5184,9869,0,4510,514,
37471,5184,9869,0,4510,530,
37108,5170,9869,0,4505,524,
37095,5184,9869,0,4510,526,
37125,5179,9869,0,4508,516,
37364,5184,9869,0,4510,521,
37175,5184,9869,0,4510,520,
37140,5170,9869,0,4505,512,
37719,5179,9869,0,4508,518,
37138,5179,9869,0,4508,531,
37388,5184,9869,0,4510,508,
37110,5184,9869,0,4510,532,
37233,5184,9869,0,4510,522,
37256,5170,9869,0,4505,523,
36908,5170,9869,0,4505,519,
37111,5184,9869,0,4510,529,
