PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
48970,1973,9869,0,2677,403,
42516,1973,9869,0,2677,377,
44427,1973,9869,0,2677,372,
45457,1973,9869,0,2677,369,
41070,1973,9869,0,2677,380,
45612,1973,9869,0,2677,362,
44741,1973,9869,0,2677,382,
40962,1973,9869,0,2677,367,
41170,1973,9869,0,2677,381,
43235,1973,9869,0,2677,374,
43780,1973,9869,0,2677,367,
46775,1973,9869,0,2677,365,
47062,1973,9869,0,2677,362,
41074,1973,9869,0,2677,373,
44295,1973,9869,0,2677,357,
47589,1973,9869,0,2677,373,
43135,1973,9869,0,2677,372,
40851,2000,9869,0,2681,380,
41249,1973,9869,0,2677,368,
42323,1973,9869,0,2677,376,
43007,1973,9869,0,2677,380,
43299,1973,9869,0,2677,363,
47010,1973,9869,0,2677,361,
44766,1973,9869,0,2677,365,
45119,1973,9869,0,2677,376,
46234,1973,9869,0,2677,360,
41644,1973,9869,0,2677,373,
41715,1973,9869,0,2677,363,
43277,1973,9869,0,2677,376,
43122,1973,9869,0,2677,370,
42707,1973,9869,0,2677,371,
41339,1973,9869,0,2677,368,
40273,1973,9869,0,2677,364,
44152,1973,9869,0,2677,366,
44660,1973,9869,0,2677,362,
47214,1973,9869,0,2677,372,
42682,1973,9869,0,2677,363,
46916,1973,9869,0,2677,373,
41025,1973,9869,0,2677,364,
43758,1973,9869,0,2677,380,
44424,1973,9869,0,2677,366,
41872,1973,9869,0,2677,364,
42445,1973,9869,0,2677,374,
46412,1973,9869,0,2677,361,
45086,1973,9869,0,2677,370,
41033,2000,9869,0,2681,375,
47220,1973,9869,0,2677,377,
41255,1973,9869,0,2677,365,
45801,1973,9869,0,2677,376,
40457,1973,9869,0,2677,383,
42065,1973,9869,0,2677,379,
39473,1973,9869,0,2677,381,
43917,1973,9869,0,2677,369,
44405,1973,9869,0,2677,373,
43778,1973,9869,0,2677,367,
47727,1973,9869,0,2677,373,
42638,1973,9869,0,2677,364,
41137,2000,9869,0,2681,370,
39648,1973,9869,0,2677,360,
39527,1973,9869,0,2677,384,
39918,1973,9869,0,2677,380,
40654,1973,9869,0,2677,382,
44398,1973,9869,0,2677,374,
40929,1973,9869,0,2677,359,
47419,2000,9869,0,2681,379,
45682,1973,9869,0,2677,368,
43857,1973,9869,0,2677,371,
41853,2000,9869,0,2681,360,
41589,1973,9869,0,2677,366,
39249,1973,9869,0,2677,368,
39927,1973,9869,0,2677,377,
41660,1973,9869,0,2677,377,
43617,1973,9869,0,2677,375,
42155,1973,9869,0,2677,374,
45616,1973,9869,0,2677,361,
47702,1973,9869,0,2677,368,
45324,1973,9869,0,2677,361,
39895,1973,9869,0,2677,369,
40717,1973,9869,0,2677,363,
40517,1973,9869,0,2677,369,
40519,2000,9869,0,2681,373,
39226,1973,9869,0,2677,383,
37842,1973,9869,0,2677,375,
43940,1973,9869,0,2677,386,
43382,1973,9869,0,2677,372,
41306,1973,9869,0,2677,379,
46980,1973,9869,0,2677,369,
44910,1973,9869,0,2677,369,
38805,1973,9869,0,2677,371,
41030,1973,9869,0,2677,365,
42786,1973,9869,0,2677,374,
41713,1973,9869,0,2677,373,
43642,2000,9869,0,2681,392,
40970,1973,9869,0,2677,376,
42247,2000,9869,0,2681,380,
42412,1973,9869,0,2677,373,
47176,1973,9869,0,2677,364,
44369,1973,9869,0,2677,371,
48599,1973,9869,0,2677,367,
41327,2000,9869,0,2681,373,
40096,1973,9869,0,2677,362,
42196,1973,9869,0,2677,374,
41209,1973,9869,0,2677,371,
44432,1973,9869,0,2677,381,
41152,1973,9869,0,2677,367,
43071,1973,9869,0,2677,388,
46782,1973,9869,0,2677,367,
45379,1973,9869,0,2677,370,
44359,1973,9869,0,2677,370,
42161,1973,9869,0,2677,375,
41974,1973,9869,0,2677,373,
41021,1973,9869,0,2677,354,
43418,2000,9869,0,2681,374,
44717,1973,9869,0,2677,365,
42136,1973,9869,0,2677,385,
43085,1973,9869,0,2677,374,
40950,1973,9869,0,2677,375,
45981,1973,9869,0,2677,370,
47633,1973,9869,0,2677,360,
47082,1973,9869,0,2677,368,
40501,1973,9869,0,2677,367,
44490,1973,9869,0,2677,366,
41213,1973,9869,0,2677,361,
41527,1973,9869,0,2677,373,
41071,1973,9869,0,2677,365,
40738,1973,9869,0,2677,387,
41243,1973,9869,0,2677,373,
41898,1973,9869,0,2677,368,
47520,1973,9869,0,2677,367,
44127,1973,9869,0,2677,362,
47212,1973,9869,0,2677,370,
42335,1973,9869,0,2677,372,
