PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
49171,961,17438,1,4602,268,
34328,960,9869,0,2475,122,
34194,960,9869,0,2475,120,
34342,960,9869,0,2475,120,
35004,960,9869,0,2475,123,
34224,960,9869,0,2475,127,
34159,960,9869,0,2475,128,
34331,960,9869,0,2475,127,
34098,960,9869,0,2475,130,
34554,960,9869,0,2475,131,
34226,960,9869,0,2475,126,
34155,960,9869,0,2475,128,
34170,960,9869,0,2475,127,
34210,960,9869,0,2475,124,
34820,960,9869,0,2475,130,
34251,960,9869,0,2475,123,
34288,960,9869,0,2475,122,
34377,960,9869,0,2475,118,
34156,960,9869,0,2475,126,
34279,960,9869,0,2475,121,
34273,960,9869,0,2475,125,
34311,960,9869,0,2475,126,
34191,960,9869,0,2475,114,
34292,960,9869,0,2475,126,
34269,960,9869,0,2475,125,
34137,960,9869,0,2475,118,
34275,960,9869,0,2475,120,
34093,960,9869,0,2475,118,
34254,960,9869,0,2475,120,
34088,960,9869,0,2475,124,
34110,960,9869,0,2475,122,
33968,960,9869,0,2475,122,
34095,960,9869,0,2475,119,
34023,960,9869,0,2475,117,
34066,960,9869,0,2475,118,
34120,960,9869,0,2475,124,
34151,960,9869,0,2475,125,
34185,960,9869,0,2475,123,
34125,960,9869,0,2475,122,
34060,960,9869,0,2475,121,
34162,960,9869,0,2475,125,
34185,960,9869,0,2475,132,
34190,960,9869,0,2475,123,
34160,960,9869,0,2475,120,
34211,960,9869,0,2475,124,
34125,960,9869,0,2475,120,
34260,960,9869,0,2475,128,
34383,960,9869,0,2475,122,
34270,960,9869,0,2475,125,
34234,960,9869,0,2475,122,
34274,960,9869,0,2475,121,
34232,960,9869,0,2475,123,
34215,960,9869,0,2475,133,
34361,960,9869,0,2475,128,
34242,960,9869,0,2475,120,
35097,960,9869,0,2475,128,
34348,960,9869,0,2475,122,
34443,960,9869,0,2475,118,
34475,960,9869,0,2475,125,
34393,960,9869,0,2475,132,
34299,960,9869,0,2475,121,
34394,960,9869,0,2475,129,
34336,960,9869,0,2475,125,
34430,960,9869,0,2475,122,
34513,954,9869,0,2474,123,
34419,954,9869,0,2474,120,
34328,954,9869,0,2474,123,
34455,954,9869,0,2474,129,
34361,954,9869,0,2474,122,
34409,954,9869,0,2474,116,
34318,954,9869,0,2474,120,
34418,954,9869,0,2474,119,
34332,954,9869,0,2474,116,
34228,954,9869,0,2474,116,
34377,954,9869,0,2474,122,
34248,954,9869,0,2474,128,
34189,954,9869,0,2474,124,
34333,954,9869,0,2474,116,
34231,954,9869,0,2474,121,
34355,954,9869,0,2474,129,
34340,954,9869,0,2474,130,
35005,954,9869,0,2474,130,
34360,954,9869,0,2474,122,
34427,954,9869,0,2474,119,
34348,954,9869,0,2474,122,
34314,954,9869,0,2474,120,
34369,954,9869,0,2474,128,
34315,954,9869,0,2474,124,
34420,954,9869,0,2474,122,
34356,954,9869,0,2474,123,
34292,954,9869,0,2474,122,
34390,954,9869,0,2474,122,
34270,954,9869,0,2474,121,
34244,954,9869,0,2474,126,
34367,954,9869,0,2474,127,
34561,954,9869,0,2474,125,
34355,954,9869,0,2474,131,
34354,954,9869,0,2474,124,
34612,954,9869,0,2474,123,
34335,954,9869,0,2474,122,
34364,954,9869,0,2474,126,
34528,954,9869,0,2474,128,
34384,954,9869,0,2474,123,
34411,954,9869,0,2474,123,
34378,954,9869,0,2474,120,
34394,954,9869,0,2474,127,
34448,954,9869,0,2474,118,
34348,954,9869,0,2474,122,
34454,954,9869,0,2474,121,
34325,954,9869,0,2474,122,
34468,954,9869,0,2474,126,
34365,954,9869,0,2474,126,
34341,954,9869,0,2474,116,
34271,954,9869,0,2474,117,
34409,954,9869,0,2474,124,
35005,954,9869,0,2474,121,
34276,954,9869,0,2474,124,
34289,954,9869,0,2474,118,
34358,954,9869,0,2474,129,
34350,954,9869,0,2474,127,
34367,954,9869,0,2474,126,
34283,954,9869,0,2474,117,
34353,954,9869,0,2474,123,
34337,954,9869,0,2474,120,
34327,954,9869,0,2474,117,
34381,954,9869,0,2474,124,
34442,954,9869,0,2474,119,
34328,954,9869,0,2474,126,
34318,954,9869,0,2474,120,
34480,954,9869,0,2474,124,
34404,954,9869,0,2474,128,
34327,954,9869,0,2474,123,
35020,954,9869,0,2474,132,
34325,954,9869,0,2474,123,
34205,954,9869,0,2474,128,
34271,954,9869,0,2474,123,
34323,954,9869,0,2474,125,
34451,954,9869,0,2474,123,
34311,954,9869,0,2474,130,
34527,954,9869,0,2474,124,
36602,954,9869,0,2474,123,
34367,954,9869,0,2474,121,
34529,954,9869,0,2474,127,
34693,954,9869,0,2474,117,
34579,954,9869,0,2474,125,
34651,954,9869,0,2474,122,
34443,954,9869,0,2474,125,
34400,954,9869,0,2474,128,
34365,954,9869,0,2474,124,
34542,954,9869,0,2474,121,
34316,954,9869,0,2474,125,
