PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
42957128,185794870,0,16040,127,187,99,38606513,0,0,0,
36787624,168830466,0,15923,121,78,123,47178249,0,0,0,
34905267,148127217,0,18012,98,93,118,44307268,0,0,0,
37412492,159157073,0,18694,51,60,112,46020836,0,0,0,
38291159,162695913,0,23048,51,83,114,50136158,0,0,0,
45629483,183398855,0,19817,59,14,107,51101699,0,0,0,
42266330,173439705,0,17047,62,37,84,51561015,0,0,0,
41938155,172459439,0,15875,59,102,40,51497935,0,0,0,
41162021,171088499,0,17559,60,135,40,50923715,0,0,0,
40695181,169841698,0,17812,59,111,40,50610476,0,0,0,
38233841,164520043,0,19423,60,112,40,48832867,0,0,0,
37799393,163442921,0,22449,72,175,51,48551597,0,0,0,
38220496,164382301,0,21984,60,98,41,48904980,0,0,0,
38291417,164462576,0,21511,60,51,41,48864013,0,0,0,
38274487,164319129,0,20747,60,19,41,48891115,0,0,0,
38196988,163944473,0,20003,60,53,41,48823396,0,0,0,
38331560,164527927,0,19846,60,44,66,48855691,0,0,0,
39657125,168282823,0,17702,62,29,67,48808849,0,0,0,
40993239,172182779,0,14643,61,62,112,48861333,0,0,0,
42424908,176078002,0,17832,86,83,114,48625932,0,0,0,
44096020,181108942,0,17632,62,44,112,48632841,0,0,0,
46178180,187152377,0,17937,62,23,119,48483695,0,0,0,
48226295,192761895,0,17107,62,0,109,48545372,0,0,0,
39886895,169221116,0,23220,51,57,112,48218532,0,0,0,
39886800,169572999,0,17801,52,25,111,46441856,0,0,0,
39887068,169492330,0,18572,51,21,111,44686876,0,0,0,
39726756,169031751,0,20690,50,53,112,42985514,0,0,0,
39887554,168824291,0,23563,75,38,116,41956252,0,0,0,
49728630,197373572,0,19999,112,21,113,41964398,0,0,0,
49767469,197135660,0,19498,112,18,114,41809996,0,0,0,
49686025,197123827,0,19279,113,44,113,41810886,0,0,0,
49606562,197119023,0,23817,113,22,115,41679927,0,0,0,
49683840,197246422,0,24681,114,24,114,41796055,0,0,0,
49686610,197424411,0,22816,114,22,112,41841028,0,0,0,
39715881,169221390,0,17817,116,27,118,50207413,0,0,0,
39764874,169295907,3,17628,295,272,297,50207977,0,3,0,
39721445,169045220,0,17380,116,55,116,50053103,0,0,0,
39758969,169332383,0,15807,121,25,120,50165702,0,0,0,
39883553,169554773,0,18512,117,37,117,50344429,0,0,0,
39801983,165054418,0,16624,125,54,125,50284270,0,0,0,
39802544,163524823,0,17951,120,31,119,50254304,0,0,0,
39802391,163719545,0,16857,120,78,120,50283325,0,0,0,
39802421,163648580,0,15394,121,23,119,50191961,0,0,0,
39841681,163579340,0,16803,121,48,119,50233751,0,0,0,
38738853,163315860,0,14887,117,36,80,50326924,0,0,0,
37856988,163272261,0,18429,118,60,40,50330585,0,0,0,
37869284,163584357,0,18766,120,17,42,50334203,0,0,0,
37673991,162992498,0,14580,120,62,42,50359956,0,0,0,
37582549,163025702,0,14579,118,65,42,50374299,0,0,0,
37656743,163174349,0,13721,93,30,41,49663298,0,0,0,
37686682,163191181,0,15552,64,36,53,48596514,0,0,0,
37650684,162847927,0,17764,61,25,40,48522178,0,0,0,
37735322,163285524,0,17026,63,68,40,48606031,0,0,0,
37701221,163194280,0,16431,61,24,41,48447138,0,0,0,
38662157,165661776,0,15333,62,30,66,48574389,0,0,0,
40550966,171112787,0,16483,81,80,113,48601439,0,0,0,
42595701,176747122,0,20850,61,33,110,48492191,0,0,0,
44603721,182762638,0,17572,61,44,111,48398520,0,0,0,
46592191,188168624,0,16986,61,0,111,48607476,0,0,0,
48171560,192581990,0,17070,61,46,108,48764503,0,0,0,
39764574,168623705,0,18448,57,94,115,48708359,0,0,0,
39644258,168415963,0,17459,50,147,112,47516183,0,0,0,
39806231,169013980,0,22219,51,33,112,46198862,0,0,0,
39856501,169257879,0,22305,52,65,114,44552034,0,0,0,
39886831,169262692,0,24322,54,50,113,42968588,0,0,0,
39845933,169181065,0,23669,70,2,111,41966110,0,0,0,
49604828,197095318,0,22510,112,44,115,41819713,0,0,0,
49816644,197255828,0,23460,116,31,116,41940444,0,0,0,
49850003,197849496,0,22880,113,40,115,41873461,0,0,0,
49606024,197177724,0,23556,115,20,116,41797880,0,0,0,
49726895,197121765,0,25342,113,51,115,41868028,0,0,0,
49730078,197454250,3,22014,291,72,122,41971582,0,3,0,
39841524,169638694,0,17498,122,20,122,50213831,0,0,0,
39802900,169536318,0,15598,119,35,115,50181799,0,0,0,
39761814,169432827,0,16965,118,42,117,50283640,0,0,0,
39806089,169621428,0,16996,115,44,115,50282355,0,0,0,
39805048,166515917,0,15488,114,47,114,50270159,0,0,0,
39841792,163534997,0,17001,118,9,119,50311362,0,0,0,
39881458,163090445,0,15278,118,92,118,50393963,0,0,0,
39883317,163637328,0,16384,117,54,120,50375494,0,0,0,
39882082,163404964,0,16920,118,32,115,50311434,0,0,0,
38734459,163280832,0,14277,116,74,80,50331771,0,0,0,
37747101,163511743,0,18517,121,33,42,50261377,0,0,0,
37842703,163526778,0,19193,120,62,42,50380273,0,0,0,
37814877,163593884,0,16364,131,96,50,50368817,0,0,0,
37808796,163435928,0,14010,117,61,40,50294091,0,0,0,
37735802,163417972,0,17993,90,7,40,49759223,0,0,0,
37772242,163437813,0,19181,67,60,47,48679383,0,0,0,
37635342,162879723,0,21742,60,83,40,48602176,0,0,0,
37880917,163477811,0,22099,69,165,43,48774847,0,0,0,
37862996,163387232,0,20860,61,35,40,48675604,0,0,0,
37810890,163213916,0,19783,62,16,67,48557325,0,0,0,
39609801,168397862,0,18774,88,72,72,48630191,0,0,0,
41373836,173338796,0,15745,60,31,111,48724148,0,0,0,
42888656,177356343,0,19257,63,44,112,48621536,0,0,0,
44653190,182601229,0,22013,62,42,111,48558930,0,0,0,
46577114,188307302,0,19652,62,34,108,48442347,0,0,0,
48585953,193998522,0,20213,64,96,108,48543390,0,0,0,
39804040,169022986,0,23103,52,25,111,47956155,0,0,0,
39855160,169248667,0,22413,53,39,114,46273824,0,0,0,
39748497,168783033,0,21747,55,58,114,44656563,0,0,0,
39886727,169537626,0,24265,54,31,113,43033679,0,0,0,
39684998,168767624,0,23511,69,36,110,41741658,0,0,0,
49685541,196843919,0,24913,112,42,113,41809224,0,0,0,
49606356,197117761,0,22800,114,42,115,41732984,0,0,0,
49643166,196930848,0,21545,115,22,114,41739622,0,0,0,
49566809,196639819,0,23486,116,57,115,41724247,0,0,0,
49603872,196951122,0,19754,114,44,114,41732746,0,0,0,
49688821,197247357,0,20005,113,42,113,41788867,0,0,0,
49728202,197281210,0,20323,114,21,112,41815536,0,0,0,
39801839,169019386,0,16602,117,29,117,50141564,0,0,0,
39718220,169087616,0,15283,117,35,115,50147319,0,0,0,
39702266,168882743,0,17249,120,48,117,50137198,0,0,0,
39720499,169264421,0,16475,118,19,117,50244002,0,0,0,
39724103,168863229,0,14664,113,48,112,50229005,0,0,0,
37802002,163309682,0,15276,113,28,80,50276519,0,0,0,
37826809,163613640,0,20350,119,38,42,50202702,0,0,0,
37880254,163736139,0,18451,118,0,40,50214551,0,0,0,
38109244,163988630,3,15708,291,79,41,50151695,0,3,0,
37838210,163347773,0,17667,129,10,43,50366108,0,0,0,
37754361,163201272,0,16930,96,31,42,49656980,0,0,0,
38099921,164115879,0,20136,63,20,40,48707325,0,0,0,
38219963,164325033,0,22184,63,51,41,48820398,0,0,0,
38147542,163961116,0,21846,60,24,40,48827883,0,0,0,
37706586,163042160,0,20911,64,13,41,48605251,0,0,0,
