PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
37537403,162763968,0,21487,123,118,49,42076158,0,0,0,
37341256,162700869,0,22351,118,181,44,50500513,0,0,0,
37299624,162649806,0,20371,119,69,42,50527211,0,0,0,
37256102,162605085,0,17943,91,39,40,49301087,0,0,0,
37269921,162539222,0,22561,60,20,40,48294675,0,0,0,
37341641,162618677,0,23644,63,253,46,48331772,0,0,0,
37423676,162759386,0,23207,60,227,69,48368127,0,0,0,
38417657,165662523,0,22573,111,159,124,48328401,0,0,0,
40821006,172452666,0,21457,60,227,120,48327517,0,0,0,
43223269,179281292,0,23761,60,117,109,48317530,0,0,0,
45659825,186164558,0,27651,60,67,187,48319470,0,0,0,
48067126,192911847,0,25350,67,162,112,48348512,0,0,0,
39890342,169965562,0,25326,60,95,110,47866697,0,0,0,
39885506,169997078,0,24103,51,24,109,45785626,0,0,0,
39888825,169954499,0,26547,52,39,109,43706563,0,0,0,
39885786,169948513,0,27679,70,7,108,42105893,0,0,0,
49850637,198216056,0,26385,111,25,111,42100546,0,0,0,
49846420,198202882,0,27299,111,15,122,42082012,0,0,0,
49848709,198175157,0,25835,111,50,113,42086405,0,0,0,
49850780,198148679,0,28289,109,43,110,42091214,0,0,0,
39882550,169962311,0,23584,114,54,115,50494584,0,0,0,
39883249,170014038,0,22194,114,36,113,50495986,0,0,0,
39881809,170086493,0,20598,114,30,113,50471399,0,0,0,
39881728,169781579,0,19740,110,13,111,50476164,0,0,0,
37357310,162789623,0,20555,142,85,106,50477748,0,0,0,
37290897,162617889,0,21317,117,8,40,50497121,0,0,0,
37298870,162667693,0,20430,117,31,40,50526788,0,0,0,
37291819,162680501,0,18533,116,38,40,50526787,0,0,0,
37287090,162624964,0,20193,89,19,42,48547791,0,0,0,
37290886,162601659,0,25596,61,25,40,48312139,0,0,0,
37293339,162535013,0,23249,60,28,40,48303839,0,0,0,
37306438,162536279,0,23020,59,47,41,48314229,0,0,0,
39478868,168668627,0,25464,60,41,68,48326923,0,0,0,
41907218,175388842,0,25949,72,141,121,48360203,0,0,0,
44271459,182272701,0,25793,60,34,109,48306264,0,0,0,
46730876,189217114,0,25142,62,48,111,48330388,0,0,0,
49138563,196037791,3,25958,326,234,380,48356290,0,3,0,
39885628,169911989,0,27221,55,213,116,46992323,0,0,0,
39887127,169941241,0,25391,51,146,111,44948948,0,0,0,
39887334,169990270,0,27277,52,10,112,42862145,0,0,0,
39888794,169965922,0,23927,69,34,107,42108827,0,0,0,
49848054,198231478,0,26844,111,18,112,42109117,0,0,0,
49846498,198180950,0,27631,110,23,113,42099603,0,0,0,
49848951,198228546,0,27261,111,20,112,42106897,0,0,0,
49847739,198208912,0,25670,108,31,110,42097658,0,0,0,
39885180,170035539,0,21338,113,84,113,50503558,0,0,0,
39884447,170062962,0,20075,112,69,114,50475165,0,0,0,
39883983,170134486,0,20370,112,20,112,50486240,0,0,0,
39882202,166418468,0,19797,125,70,125,50478388,0,0,0,
39883425,162593718,0,20026,117,14,118,50491866,0,0,0,
39884406,162625534,0,18020,116,69,115,50480736,0,0,0,
39883479,162636468,0,20106,117,24,117,50476136,0,0,0,
38717735,162637160,0,19239,113,27,78,50473431,0,0,0,
37291578,162619984,0,19412,117,59,41,50502336,0,0,0,
37293232,162664302,0,19829,117,75,41,50510855,0,0,0,
37287922,162630101,0,22056,115,57,41,50526546,0,0,0,
37306574,162642663,0,22158,89,52,40,49701219,0,0,0,
37285173,162587878,0,22745,59,69,40,48293173,0,0,0,
37294539,162560611,0,24427,59,77,40,48302404,0,0,0,
37312627,162547140,0,23516,76,115,42,48340971,0,0,0,
38075732,164766805,0,23645,63,3,67,48294674,0,0,0,
40558573,171774982,0,22374,61,65,108,48306078,0,0,0,
43021085,178754018,0,24919,61,16,108,48305385,0,0,0,
45487444,185730112,0,26161,61,32,107,48309290,0,0,0,
47947201,192716591,0,23772,59,42,107,48307137,0,0,0,
39887451,169964422,0,26698,54,27,110,47924358,0,0,0,
39887509,169998736,0,25968,51,27,110,45845913,0,0,0,
39887294,169951521,0,25031,51,35,110,43780385,0,0,0,
39887386,169867962,0,27140,76,99,114,42079576,0,0,0,
49850643,198185068,0,26300,115,237,118,42100049,0,0,0,
49848259,198130016,0,29139,111,132,111,42094161,0,0,0,
49845814,198156456,0,30221,114,22,116,42083847,0,0,0,
49845280,197996292,3,31177,337,101,148,42055306,0,3,0,
49797336,198043654,0,26448,136,30,119,42103142,0,0,0,
39883494,170047864,0,21684,114,38,114,50500944,0,0,0,
39882984,170093343,0,22850,113,25,113,50482883,0,0,0,
39881793,170137021,0,22304,113,51,114,50490171,0,0,0,
39884327,164030891,0,19391,113,27,113,50485334,0,0,0,
39879868,162743108,0,20563,114,26,120,50448887,0,0,0,
39882808,162695501,0,18538,115,52,124,50452690,0,0,0,
39882995,162570907,0,17934,117,39,119,50484485,0,0,0,
37906624,162587119,0,17305,111,2,78,50489591,0,0,0,
37288329,162620675,0,21753,116,39,40,50505673,0,0,0,
37282531,162644620,0,21314,115,10,40,50520157,0,0,0,
37276427,162624233,0,22185,115,37,40,50533081,0,0,0,
37276857,162619895,0,22096,91,21,41,48971496,0,0,0,
37278443,162583548,0,20994,61,31,42,48294409,0,0,0,
37276295,162546773,0,23537,60,52,40,48295812,0,0,0,
37282174,162482095,0,24633,60,12,40,48301351,0,0,0,
39024198,167406498,0,24490,60,41,66,48309343,0,0,0,
41479019,174410350,0,22328,61,57,118,48304836,0,0,0,
43939022,181358647,0,23865,70,111,118,48314865,0,0,0,
46397481,188352825,0,23446,60,6,109,48303280,0,0,0,
48874477,195358052,0,23240,60,28,104,48301999,0,0,0,
39887910,169951772,0,23265,131,232,210,47123384,0,0,0,
39887749,169919985,0,27303,52,232,111,45083713,0,0,0,
39888152,169922270,0,26927,54,24,111,43038954,0,0,0,
39886412,169933759,0,26915,68,22,108,42109909,0,0,0,
49851666,198051884,0,27460,125,53,125,42102979,0,0,0,
49848444,198209289,0,25140,112,19,112,42098499,0,0,0,
49848590,198206390,0,28629,114,98,237,42081212,0,0,0,
49845400,198169936,0,26773,108,17,109,42088198,0,0,0,
39884341,170018157,0,25408,113,41,114,50493045,0,0,0,
39881807,170060471,0,23051,111,30,112,50485607,0,0,0,
39883160,170052965,0,19043,113,44,113,50474636,0,0,0,
39877647,167745690,0,17679,111,50,114,50465148,0,0,0,
39861118,162651226,0,19464,119,39,115,50473544,0,0,0,
39883133,162704642,0,20960,116,24,116,50461044,0,0,0,
39881943,162674077,0,17162,115,22,116,50465314,0,0,0,
39344556,162684953,0,17857,113,20,91,50439385,0,0,0,
37290421,162620447,0,22348,116,28,40,50494560,0,0,0,
37291339,162669180,0,20710,115,32,40,50506388,0,0,0,
37272134,162616371,0,20173,117,40,41,50530407,0,0,0,
37269779,162651087,0,20526,91,31,41,50198374,0,0,0,
37286744,162610223,0,22471,62,53,41,48300991,0,0,0,
37280983,162566201,0,25742,59,6,40,48287785,0,0,0,
37272006,162504303,0,21846,59,45,40,48290429,0,0,0,
37569579,163329716,0,21257,62,19,65,48283403,0,0,0,
40065509,170365352,0,23935,61,21,108,48316602,0,0,0,
42527920,177377412,0,23971,62,27,108,48301682,0,0,0,
44997095,184306940,3,25382,270,25,323,48338763,0,3,0,
47410330,191154825,0,24052,59,32,107,48310299,0,0,0,
39885407,170015421,0,24007,51,69,110,48293857,0,0,0,
39889339,170057921,0,25264,50,44,110,46231011,0,0,0,
39889821,170011487,0,24529,72,77,128,44152179,0,0,0,
39887274,170010001,0,24409,70,17,107,42120127,0,0,0,
49856347,198247129,0,27074,111,37,111,42103849,0,0,0,
39883369,170066136,0,21901,115,79,116,50490361,0,0,0,
39882410,170058464,0,20696,115,44,113,50477099,0,0,0,
39881883,170119571,0,20064,114,35,115,50478591,0,0,0,
39880371,163376348,0,20903,110,56,114,50472072,0,0,0,
39882992,162733271,0,18507,115,106,124,50452014,0,0,0,
39882099,162634202,0,16930,116,61,115,50475609,0,0,0,
39883338,162657414,0,18045,116,55,115,50471739,0,0,0,
37743916,162635268,0,20918,112,0,78,50480169,0,0,0,
37287786,162650545,0,20461,116,38,40,50495489,0,0,0,
37311705,162697289,0,21208,116,11,40,50507289,0,0,0,
37310579,162696858,0,19890,114,34,40,50530287,0,0,0,
37303216,162662876,0,22546,89,17,40,48899716,0,0,0,
37296345,162586265,0,22630,60,47,40,48303558,0,0,0,
37301022,162604718,0,20570,59,52,40,48308441,0,0,0,
37282887,162467746,0,22823,61,21,40,48311683,0,0,0,
