PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
116138580,324923988,13,2178406,369,12168,28,41612001,0,13,0,
105282130,324494435,11,2174851,52,1485,58,41607146,0,11,0,
105282970,312013307,10,2160074,67,1420,63,41613630,0,10,0,
105282729,311997087,10,2165182,56,978,54,44207505,0,10,0,
114963501,322197813,12,2169498,54,1040,59,44368912,0,12,0,
116334443,324495387,11,2148379,22,877,59,44316739,0,11,0,
116337164,324451667,12,2179910,30,374,53,44319022,0,12,0,
116399108,324484257,11,2186846,53,535,15,42752779,0,11,0,
110838807,324506229,11,2173229,59,1149,26,41612599,0,11,0,
105283656,319838633,12,2165320,63,762,64,41615753,0,12,0,
105286750,312036668,10,2158633,50,1045,46,42422971,0,10,0,
107587366,314363132,10,2157048,45,988,48,44316985,0,10,0,
116365882,324467114,11,2167795,20,1036,56,44318380,0,11,0,
116359982,324498671,11,2159221,32,186,51,44322654,0,11,0,
116429120,324646578,12,2171981,69,1030,26,44344935,0,12,0,
116301096,324359803,11,2166664,50,1033,16,41613572,0,11,0,
106164763,324494217,10,2159280,55,760,33,41606357,0,10,0,
105284716,314645597,11,2166877,52,925,51,41609042,0,11,0,
105281448,311953716,11,2163751,51,1115,48,43529416,0,11,0,
112273124,319460168,11,2152880,52,931,61,44326418,0,11,0,
116380915,324488785,12,2160362,22,952,58,44327279,0,12,0,
116359119,324485952,9,2171444,29,576,32,44327886,0,9,0,
116347446,324466304,12,2161316,60,517,17,43406878,0,12,0,
113611157,324585094,12,2159711,54,1020,27,41613990,0,12,0,
105287562,322639438,10,2175910,50,974,48,41599385,0,10,0,
