PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
183169396,437926474,1,34,127,1,0,
183140104,438002375,0,25,70,0,0,
183174823,437932803,0,90,274,0,0,
183199801,438103962,0,24,81,0,0,
183205832,438102695,0,24,76,0,0,
183218936,438024257,0,28,186,0,0,
183179243,438006536,0,28,105,0,0,
183203420,438104675,0,24,93,0,0,
183157665,437930903,0,24,131,0,0,
183166728,438012021,0,23,91,0,0,
183149523,438002594,0,24,88,0,0,
183147633,438009881,0,24,89,0,0,
183225367,438105915,0,24,141,0,0,
183187130,438021081,0,24,101,0,0,
194905443,448005052,1,3969,48074,1,0,
183151528,437928804,0,33,140,0,0,
183175199,438018596,0,32,100,0,0,
183263807,438103702,0,24,221,0,0,
183204233,438017975,0,24,200,0,0,
183425505,438099780,0,24,133,0,0,
183191971,438011434,0,24,96,0,0,
183192471,438016354,0,24,120,0,0,
183230889,438101605,0,24,95,0,0,
183071975,437833966,0,23,68,0,0,
183205446,438102805,0,24,97,0,0,
183181509,438016619,0,24,109,0,0,
183205142,438104835,0,24,94,0,0,
183172226,438015788,0,24,77,0,0,
183205818,438014433,0,33,156,0,0,
183185573,438020526,0,24,79,0,0,
183185469,438011523,0,24,73,0,0,
183220371,438105385,0,24,103,0,0,
183332240,438017650,0,24,93,0,0,
183202864,438104945,0,24,87,0,0,
183180954,438004296,0,24,164,0,0,
183168830,437927607,0,24,152,0,0,
183199076,438013568,0,24,122,0,0,
183201541,438016979,1,28,153,1,0,
183165839,438015496,0,24,114,0,0,
183135282,437923596,0,24,103,0,0,
183315553,438104979,0,24,107,0,0,
183204065,438016816,0,24,138,0,0,
183198669,438103784,0,24,79,0,0,
183215150,438104151,0,24,100,0,0,
183196677,438098780,0,24,93,0,0,
183179719,438014586,0,24,108,0,0,
183186671,438020915,0,28,106,0,0,
183175285,438016332,0,24,82,0,0,
183174214,438012499,0,23,114,0,0,
183571945,438019529,0,25,94,0,0,
184734742,438012067,0,24,78,0,0,
184733982,437920543,0,34,194,0,0,
184827213,438109389,0,100,211,0,0,
184787187,438107019,1,32,156,1,0,
184795376,438102033,0,27,148,0,0,
184715061,437914198,0,24,82,0,0,
184693166,438015653,0,24,104,0,0,
184709246,437925209,0,24,124,0,0,
184692109,438002666,0,24,70,0,0,
184723977,438010930,0,24,93,0,0,
184734050,438014416,0,24,98,0,0,
184721036,438028766,0,34,153,0,0,
184661538,437926311,0,24,89,0,0,
184876070,438020505,0,24,107,0,0,
184761071,438102126,0,24,115,0,0,
184696265,438014739,0,24,102,0,0,
184725994,438015378,0,24,111,0,0,
184701742,438015798,0,24,105,0,0,
184678115,437922923,0,24,85,0,0,
184752821,438016289,0,24,103,0,0,
184655770,437840421,0,24,151,0,0,
184731018,438015450,0,24,86,0,0,
184785429,438103355,0,76,136,0,0,
184819674,438110877,0,34,200,0,0,
184740688,438013606,0,24,99,0,0,
184928818,438157039,0,1870,187,0,0,
184689049,438003211,0,24,75,0,0,
184749061,438022803,0,33,179,0,0,
184710234,438022233,0,24,87,0,0,
184752324,438103730,0,24,129,0,0,
184761486,438106118,0,24,163,0,0,
184647858,437928779,0,28,108,0,0,
184768970,438194812,0,26,73,0,0,
184661100,437915053,0,24,116,0,0,
184783522,438099821,0,24,66,0,0,
184738502,438012310,0,24,103,0,0,
184698427,438005600,0,31,90,0,0,
184728014,438015561,0,24,148,0,0,
184684927,438016391,0,24,68,0,0,
184735463,438104166,0,24,86,0,0,
184698329,437924703,0,24,126,0,0,
184686110,437926164,0,24,127,0,0,
184753997,438102627,0,24,95,0,0,
184686621,437933642,0,24,127,0,0,
184659365,437931973,0,24,64,0,0,
184719645,438016597,0,24,109,0,0,
184729813,437929195,0,77,157,0,0,
184817326,438105316,0,29,173,0,0,
184875400,438093870,0,24,231,0,0,
184723222,437931257,0,24,203,0,0,
184730586,438014872,0,24,139,0,0,
184718469,438015322,0,24,113,0,0,
184748143,437941304,0,35,161,0,0,
184739470,438101641,0,24,104,0,0,
184731690,438017526,0,52,162,0,0,
184723071,438015909,0,24,118,0,0,
184698347,437932111,1,31,121,1,0,
184723026,438017225,0,25,111,0,0,
185043001,438181682,0,24,102,0,0,
184808339,438111652,0,24,166,0,0,
184788376,438110719,0,83,107,0,0,
184772356,438024374,0,37,196,0,0,
184748925,438023008,0,24,135,0,0,
184717409,438014215,0,24,92,0,0,
184751866,438096064,0,24,77,0,0,
184775837,438010554,0,26,197,0,0,
184833624,438192250,0,24,165,0,0,
184736528,438014751,0,24,118,0,0,
184724230,438011623,0,24,65,0,0,
184721944,438010388,0,24,155,0,0,
184727152,438011122,0,24,98,0,0,
184703973,438013765,0,24,67,0,0,
184788716,438192586,0,24,100,0,0,
184760627,438104053,0,24,116,0,0,
184719359,438010859,0,24,74,0,0,
184696213,437926558,0,24,118,0,0,
184680865,437934338,0,24,108,0,0,
184781165,438193529,0,24,88,0,0,
184863731,438016379,0,24,82,0,0,
184761268,438098854,0,24,84,0,0,
184672457,437925707,0,24,85,0,0,
184791664,438194052,0,24,108,0,0,
184717932,438017075,0,24,113,0,0,
184714712,438016081,0,24,133,0,0,
184767679,438103418,0,24,118,0,0,
184939239,438243056,0,1736,128,0,0,
184739712,438020668,0,41,120,0,0,
184659651,437913866,0,24,92,0,0,
184777105,438010891,0,24,124,0,0,
184715819,438013799,0,24,88,0,0,
184671373,437926174,0,24,74,0,0,
184798217,438118353,0,24,131,0,0,
184794276,438191349,0,25,109,0,0,
184788292,438109077,0,24,94,0,0,
184676356,438091710,0,24,88,0,0,
184714369,438105087,0,24,108,0,0,
184708769,438104240,0,24,78,0,0,
184733990,438022085,0,25,137,0,0,
184939969,438094081,0,26,120,0,0,
184732705,438011734,0,24,127,0,0,
184709051,438016737,0,24,91,0,0,
184715428,438004148,0,25,115,0,0,
184687144,438014771,0,24,63,0,0,
184749163,438096244,0,24,105,0,0,
184708051,438015964,0,24,128,0,0,
184770465,438105225,0,26,107,0,0,
184790585,438102045,0,24,137,0,0,
184707891,438015697,0,24,116,0,0,
184776191,438118488,0,24,129,0,0,
184699452,438018988,1,31,112,1,0,
184699205,438015296,0,24,94,0,0,
184689147,438016637,0,24,117,0,0,
184710069,438013268,0,24,90,0,0,
184750111,438104329,0,24,111,0,0,
184729990,438018403,0,24,109,0,0,
184755416,438105243,0,24,78,0,0,
184712555,438013098,0,24,91,0,0,
184771253,438109624,0,25,157,0,0,
184686235,438002633,0,24,62,0,0,
184773147,438193522,0,24,93,0,0,
184755287,438035086,0,25,183,0,0,
184719112,438006217,0,24,106,0,0,
184752364,438020860,0,48,133,0,0,
184707492,438021599,0,24,108,0,0,
184748163,438015529,0,24,125,0,0,
184779832,438103726,0,28,103,0,0,
184738575,438103620,0,24,89,0,0,
