PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
231353,433068,10266,0,10,95,0,
37798,430333,11327,0,9,108,7,
226614,315,11327,0,9,112,9,
225830,435918,8156,0,9,122,4,
224724,432767,11405,0,4,116,11,
225034,435940,11405,0,9,7,2,
225123,433142,11405,0,9,97,0,
227036,433125,11405,0,9,104,0,
35984,430327,11327,0,9,99,8,
224349,315,11327,0,9,114,7,
226160,430197,8156,0,9,125,8,
225555,430321,11405,0,4,122,8,
226601,433052,11405,0,9,7,6,
227372,430359,11405,0,9,100,0,
226377,430359,11405,0,9,101,0,
35986,430330,11327,0,9,100,3,
228169,315,11327,0,9,115,12,
225101,433174,8156,0,9,125,8,
224869,430346,11405,0,4,117,8,
225975,433142,11405,0,9,7,10,
224027,430342,11405,0,9,100,0,
52434,430342,15901,0,10,272,1,
35972,433121,11327,0,9,96,2,
223163,315,11327,0,9,105,3,
225148,433113,8156,0,9,120,7,
223908,433151,11405,0,4,112,3,
225201,430351,11405,0,9,8,12,
225400,435930,11405,0,9,98,0,
48783,430367,11327,0,9,97,6,
36206,430355,11327,0,9,95,5,
225586,315,11327,0,9,102,6,
226780,433084,8156,0,9,127,11,
223805,433113,11405,0,4,114,3,
225184,432791,11405,0,9,7,7,
221334,424728,11405,0,9,101,0,
36060,430331,11327,0,9,102,3,
35912,433149,11327,0,9,95,4,
224146,315,11327,0,9,111,10,
223642,430339,8156,0,9,124,4,
227117,427558,11405,0,4,111,14,
223474,430185,11405,0,9,7,4,
222544,430340,11405,0,9,99,0,
35950,430357,11327,0,9,96,3,
35891,433152,11327,0,9,101,3,
221214,315,11327,0,9,106,4,
222848,430367,8156,0,9,121,3,
224925,430328,11405,0,4,107,10,
223770,432866,11405,0,9,7,3,
221865,427552,11405,0,9,102,0,
35931,430358,11327,0,9,100,5,
35878,424695,11327,0,9,94,7,
222582,315,11327,0,9,102,3,
224893,430359,8156,0,9,120,12,
224966,433133,11405,0,4,118,7,
223028,427524,11405,0,9,7,7,
223359,429970,11405,0,9,97,0,
35918,430324,11327,0,9,97,2,
36772,430117,11327,0,9,95,5,
222488,315,11327,0,9,112,2,
229673,435842,8156,0,9,131,10,
224170,433135,11405,0,4,117,2,
220881,424549,11405,0,9,7,4,
222633,427484,11405,0,9,101,0,
35917,427605,11327,0,9,104,8,
35823,427567,11327,0,9,91,7,
224557,315,11327,0,9,113,8,
226071,433138,8156,0,9,112,8,
224571,430252,11405,0,4,120,8,
223248,430340,11405,0,9,9,3,
222716,424639,11405,0,9,96,0,
35934,430296,11327,0,9,102,3,
35862,433117,11327,0,9,99,4,
225844,315,11327,0,9,106,12,
223847,430282,8156,0,9,120,5,
224327,433125,11405,0,4,109,4,
221548,424700,11405,0,9,8,3,
224160,433122,11405,0,9,90,0,
35958,432997,11327,0,9,106,10,
35913,433120,11327,0,9,96,2,
224087,315,11327,0,9,104,8,
223028,427580,8156,0,9,116,8,
221086,427188,11405,0,4,115,3,
221458,427546,11405,0,9,7,4,
223124,430289,11405,0,9,102,0,
35852,433149,11327,0,9,103,3,
53026,427579,15451,0,9,274,10,
35909,430121,11327,0,9,101,3,
223722,315,11327,0,9,104,8,
225743,435933,8156,0,9,114,3,
223410,430282,11405,0,4,114,4,
223508,427227,11405,0,9,7,8,
225444,435868,11405,0,9,99,0,
35975,433127,11327,0,9,95,15,
36213,435924,11327,0,9,100,2,
222780,315,11327,0,9,108,5,
225953,432759,8156,0,9,118,14,
223291,430360,11405,0,4,120,6,
224131,433123,11405,0,9,7,3,
229730,432980,11405,0,9,101,0,
36220,430343,11327,0,9,94,3,
35828,435567,11327,0,9,96,4,
225152,315,11327,0,9,108,7,
223024,430303,8156,0,9,121,2,
224215,433066,11405,0,4,117,5,
222677,430370,11405,0,9,7,4,
225136,430312,11405,0,9,101,0,
36133,430328,11327,0,9,102,6,
35786,430232,11327,0,9,100,8,
221364,315,11327,0,9,109,3,
223900,433166,8156,0,9,116,3,
222843,427586,11405,0,4,112,5,
225764,430323,11405,0,9,7,8,
226181,435864,11405,0,9,112,0,
35938,430124,11327,0,9,98,6,
35871,430337,11327,0,9,100,3,
223607,315,11327,0,9,106,2,
222468,427517,8156,0,9,118,3,
223500,430292,11405,0,4,112,4,
225531,430205,11405,0,9,8,14,
222281,424857,11405,0,9,99,0,
35912,430374,11327,0,9,98,3,
35875,433165,11327,0,9,101,5,
226283,315,11327,0,9,111,11,
225052,433135,8156,0,9,117,4,
226138,433111,11405,0,4,115,7,
225494,433122,11405,0,9,7,8,
221821,427577,11405,0,9,93,0,
36244,430312,11327,0,9,100,7,
35962,435924,11327,0,9,95,5,
222227,315,11327,0,9,104,3,
222838,430077,8156,0,9,119,2,
222351,427481,11405,0,4,116,3,
222788,430360,11405,0,9,8,4,
222406,430379,11405,0,9,108,0,
35907,433137,11327,0,9,101,7,
151056,171724,15898,0,10,295,12,
223066,315,11327,0,9,128,3,
225273,430341,8156,0,9,124,9,
223954,430389,11405,0,4,114,8,
222197,427619,11405,0,9,8,3,
223557,430366,11405,0,9,103,0,
35943,433158,11327,0,9,102,9,
222106,315,11327,0,9,112,6,
222858,315,11327,0,9,117,7,
224652,430321,8156,0,9,126,10,
222691,427501,11405,0,4,114,4,
221412,429977,11405,0,9,7,3,
222818,430312,11405,0,9,99,0,
35877,433089,11327,0,9,104,9,
223904,315,11327,0,9,103,7,
224721,315,11327,0,9,129,7,
222808,432721,8156,0,9,112,2,
223129,430257,11405,0,4,109,4,
224499,433146,11405,0,9,7,4,
225627,433132,11405,0,9,103,0,
36238,430255,11327,0,9,99,11,
221596,315,11327,0,9,114,3,
224653,315,11327,0,9,121,9,
223488,430383,8156,0,9,123,4,
223532,430262,11405,0,4,114,3,
226114,433140,11405,0,9,9,7,
222251,427296,11405,0,9,94,0,
37048,430368,11327,0,9,104,3,
224663,315,11327,0,9,106,8,
224775,315,11327,0,9,135,7,
225249,433150,8156,0,9,116,7,
222593,430393,11405,0,4,122,4,
222560,430377,11405,0,9,7,2,
225407,433028,11405,0,9,99,0,
35960,432743,11327,0,9,102,6,
222573,315,11327,0,9,109,6,
224216,315,11327,0,9,129,5,
225959,435949,8156,0,9,114,5,
221879,429970,11405,0,4,111,4,
223889,430308,11405,0,9,8,8,
223698,430340,11405,0,9,103,0,
36031,433130,11327,0,9,102,7,
223892,315,11327,0,9,110,7,
222801,315,11327,0,9,130,6,
224880,433090,8156,0,9,114,3,
224045,430330,11405,0,4,118,2,
222005,427597,11405,0,9,8,4,
223127,430332,11405,0,9,98,0,
36117,435945,11327,0,9,102,7,
223938,315,11327,0,9,108,5,
237424,97773,12277,0,10,314,9,
223989,430341,8156,0,9,118,5,
225722,432931,11405,0,4,118,3,
222350,432742,11405,0,9,8,2,
226502,435906,11405,0,9,99,0,
35946,430246,11327,0,9,100,2,
225057,315,11327,0,9,115,13,
227924,432944,8156,0,9,120,9,
225774,433071,8156,0,9,119,7,
222727,430362,11405,0,4,117,3,
221646,424620,11405,0,9,8,6,
224397,430337,11405,0,9,99,0,
36006,430378,11327,0,9,97,3,
223661,315,11327,0,9,111,7,
223808,430359,8156,0,9,118,8,
224691,433149,8156,0,9,118,7,
225535,432856,11405,0,4,115,3,
226077,435933,11405,0,9,7,7,
225254,433087,11405,0,9,102,0,
35976,435802,11327,0,9,95,3,
226493,315,11327,0,9,105,4,
224080,432745,8156,0,9,120,8,
221793,424788,8156,0,9,124,8,
225888,430359,11405,0,4,113,12,
223778,430337,11405,0,9,7,6,
222140,432745,11405,0,9,97,0,
38325,429963,11327,0,9,103,13,
223967,315,11327,0,9,108,6,
224771,427460,8156,0,9,123,9,
237580,430353,11855,0,5,301,20,
224377,430149,11405,0,4,103,7,
223187,430371,11405,0,9,9,4,
223356,430142,11405,0,9,100,0,
35980,435903,11327,0,9,99,4,
222618,315,11327,0,9,104,2,
223922,433121,8156,0,9,129,2,
222860,430330,11405,0,4,124,3,
224383,430239,11405,0,4,104,7,
223143,427448,11405,0,9,8,4,
222524,424811,11405,0,9,102,0,
36019,427552,11327,0,9,106,9,
223598,315,11327,0,9,115,8,
225276,433137,8156,0,9,121,7,
224577,430386,11405,0,4,114,8,
224187,433119,11405,0,4,109,4,
224564,435567,11405,0,9,7,4,
222925,427528,11405,0,9,100,0,
35956,429970,11327,0,9,102,7,
227557,315,11327,0,9,109,13,
224004,433167,8156,0,9,122,3,
227040,433070,11405,0,4,118,9,
225102,435936,11405,0,4,98,4,
222531,430343,11405,0,9,7,4,
223567,430367,11405,0,9,100,0,
36015,427479,11327,0,9,100,8,
223820,315,11327,0,9,112,5,
223932,430371,8156,0,9,125,8,
223493,430305,11405,0,4,114,4,
217857,419354,11405,0,4,101,2,
225335,433110,11405,0,9,7,8,
225003,430302,11405,0,9,101,0,
35931,430373,11327,0,9,103,8,
223932,315,11327,0,9,101,2,
223833,430387,8156,0,9,125,8,
223515,430336,11405,0,4,119,5,
221696,429975,11405,0,4,101,5,
224001,430261,11405,0,9,8,6,
221977,427339,11405,0,9,102,0,
35949,433112,11327,0,9,105,13,
223956,315,11327,0,9,104,6,
222585,427603,8156,0,9,120,8,
223709,430113,11405,0,4,120,4,
228539,435909,11405,0,4,103,11,
223490,424804,11405,0,9,7,10,
225157,433112,11405,0,9,96,0,
35934,433160,11327,0,9,98,6,
225125,315,11327,0,9,101,9,
225253,433069,8156,0,9,117,7,
226501,433139,11405,0,4,118,13,
235881,430310,15916,0,9,187,10,
224237,433128,11405,0,9,7,3,
223933,430221,11405,0,9,102,0,
35958,433114,11327,0,9,94,12,
225540,315,11327,0,9,106,6,
223850,432745,8156,0,9,122,7,
225373,435957,11405,0,4,115,3,
225002,435936,11405,0,9,7,4,
224918,430333,11405,0,9,7,8,
222591,430353,11405,0,9,99,0,
35931,427537,11327,0,9,97,9,
224859,315,11327,0,9,109,5,
222984,430035,8156,0,9,118,3,
223652,421863,11405,0,4,113,13,
225038,433161,11405,0,9,7,7,
226445,433072,11405,0,9,8,11,
225129,430339,11405,0,9,94,0,
35959,430083,11327,0,9,105,3,
223322,315,11327,0,9,108,8,
224306,433132,8156,0,9,117,4,
225279,435930,11405,0,4,113,4,
221680,427595,11405,0,9,8,5,
221853,427594,11405,0,9,7,5,
224185,432771,11405,0,9,95,0,
35917,430383,11327,0,9,103,4,
224190,315,11327,0,9,110,3,
226866,433135,8156,0,9,121,12,
225784,432991,11405,0,4,117,3,
221301,427591,11405,0,9,8,2,
225111,433060,11405,0,9,7,7,
223404,430283,11405,0,9,97,0,
