PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
329892946,1383650540,4,13282,429,546,360,466648019,0,4,0,
336510223,1397791305,3,19761,507,1575,618,477064898,0,3,0,
341813966,1408334025,3,12147,314,324,469,478662369,0,3,0,
344143990,1410709537,2,10757,305,235,425,480598861,0,2,0,
342762414,1411842627,3,12938,306,272,419,478544575,0,3,0,
345325607,1419872610,3,19236,319,276,447,478022280,0,3,0,
348668058,1418649420,2,12460,318,269,453,482722051,0,2,0,
343427383,1414260606,3,12632,321,319,441,478017462,0,3,0,
346680211,1423901521,2,11195,313,334,423,478018991,0,2,0,
348743496,1428226648,3,13003,305,488,443,476972370,0,3,0,
338821470,1408919205,2,12288,318,429,433,474253263,0,2,0,
348785962,1436305181,3,19486,506,336,460,474320064,0,3,0,
338810454,1404441183,3,12379,368,273,433,483864387,0,3,0,
338214495,1383591822,2,11615,360,262,391,483490348,0,2,0,
334274339,1390321765,3,13002,367,325,375,481857871,0,3,0,
334941792,1391422794,2,12194,375,286,362,481588605,0,2,0,
334371796,1390473570,2,12277,337,297,346,479053554,0,2,0,
335234870,1391959907,3,13700,305,339,341,478045639,0,3,0,
334451172,1390606291,4,20236,455,425,385,477611827,0,4,0,
337850589,1402472174,0,12623,313,324,376,476471098,0,0,0,
343916941,1423269533,0,11045,312,371,418,474595005,0,0,0,
338784624,1408917915,0,12840,309,323,415,474228828,0,0,0,
348768435,1434479364,0,12601,352,260,431,473589957,0,0,0,
338808258,1402845992,0,11952,354,288,415,481788205,0,0,0,
338815098,1401276930,0,12145,354,236,413,481780242,0,0,0,
338819350,1390728660,0,10771,357,315,417,481788668,0,0,0,
338771426,1403127915,0,13568,357,399,422,477454056,0,0,0,
338809578,1395420142,2,19323,546,405,612,481788591,0,2,0,
338814385,1390019106,0,11998,361,321,431,481962572,0,0,0,
337168975,1390675464,0,12239,355,279,381,481806386,0,0,0,
334053608,1389843048,0,11789,359,368,342,481853969,0,0,0,
335037011,1391649957,0,12767,356,267,358,481505697,0,0,0,
333557747,1389242569,0,11707,334,352,400,477361415,0,0,0,
336195045,1393517969,0,12216,301,243,340,478536718,0,0,0,
336183533,1397927942,0,12506,302,322,368,476348151,0,0,0,
342602361,1413859997,0,11433,314,431,421,477322504,0,0,0,
347410323,1425884648,0,13030,305,324,409,477937755,0,0,0,
338821206,1402781111,0,11364,291,293,410,475214566,0,0,0,
338815146,1403762886,0,12201,308,445,410,472621607,0,0,0,
348767439,1424767874,2,12703,351,265,598,470292459,0,2,0,
348781660,1430859689,0,11304,353,326,420,472490479,0,0,0,
348741620,1430436323,0,12632,360,300,411,472409285,0,0,0,
338780312,1403466920,0,11624,353,255,414,482118494,0,0,0,
338751327,1401304043,0,13117,350,440,419,482373886,0,0,0,
338789753,1388476796,0,12760,358,333,419,482321597,0,0,0,
336028559,1387892473,0,11716,359,294,385,482439548,0,0,0,
341323654,1401746313,0,12282,359,242,347,478972427,0,0,0,
333028079,1388357578,0,10843,356,306,387,482381085,0,0,0,
334064788,1390157061,0,12368,338,248,350,481449428,0,0,0,
334407348,1390903539,0,12063,308,318,349,477542978,0,0,0,
333732816,1389638132,0,11852,309,334,349,477301494,0,0,0,
338345187,1401581492,0,12339,307,334,377,477516498,0,0,0,
342658953,1414399990,0,11141,303,390,433,477102866,0,0,0,
347728069,1425253325,0,12483,306,363,417,478332432,0,0,0,
338758932,1404217080,0,11926,297,290,420,475244289,0,0,0,
338814798,1405702155,2,18804,504,376,606,473212174,0,2,0,
348767774,1431832688,0,12831,365,330,451,472950510,0,0,0,
348746394,1430474135,0,11619,354,279,420,472282573,0,0,0,
338812125,1402310183,0,12831,362,345,426,481702414,0,0,0,
338813344,1392821322,0,11350,364,320,428,478315090,0,0,0,
338804801,1403493495,0,12661,360,448,436,483200611,0,0,0,
338815254,1388233676,0,12792,361,369,428,482381933,0,0,0,
335996897,1388626023,0,11241,356,340,399,482311982,0,0,0,
332127889,1387088028,0,12282,366,359,350,482844822,0,0,0,
333910380,1389992881,0,11551,352,640,476,477959285,0,0,0,
332849449,1389372797,0,13253,398,694,502,475968056,0,0,0,
339796661,1399127843,0,12095,303,246,398,480654299,0,0,0,
338670694,1404258888,0,11903,299,240,371,476790130,0,0,0,
344426734,1420994303,0,12510,303,400,415,476317697,0,0,0,
338807819,1405442654,0,11219,297,374,425,474302219,0,0,0,
