PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
34856,689,9869,0,2451,56,
34088,689,9869,0,2451,50,
34190,689,9869,0,2451,50,
34006,689,9869,0,2451,50,
34173,689,9869,0,2451,49,
34000,689,9869,0,2451,43,
34076,689,9869,0,2451,46,
34701,689,9869,0,2451,48,
34027,689,9869,0,2451,47,
33960,689,9869,0,2451,46,
34114,689,9869,0,2451,47,
34102,689,9869,0,2451,47,
33948,689,9869,0,2451,48,
33990,689,9869,0,2451,43,
33973,689,9869,0,2451,44,
33929,689,9869,0,2451,46,
33976,689,9869,0,2451,47,
34051,689,9869,0,2451,50,
33967,689,9869,0,2451,44,
33994,689,9869,0,2451,45,
34013,689,9869,0,2451,51,
33970,689,9869,0,2451,49,
34003,689,9869,0,2451,49,
34005,689,9869,0,2451,53,
34034,689,9869,0,2451,47,
33940,689,9869,0,2451,47,
33954,689,9869,0,2451,48,
34023,689,9869,0,2451,51,
33983,689,9869,0,2451,45,
34029,689,9869,0,2451,49,
34022,689,9869,0,2451,53,
33930,689,9869,0,2451,54,
33959,689,9869,0,2451,46,
33894,689,9869,0,2451,50,
33995,689,9869,0,2451,47,
33939,689,9869,0,2451,49,
33961,689,9869,0,2451,51,
34079,689,9869,0,2451,45,
34004,689,9869,0,2451,50,
33968,689,9869,0,2451,48,
33971,689,9869,0,2451,51,
33959,689,9869,0,2451,50,
34029,689,9869,0,2451,52,
33987,689,9869,0,2451,47,
34046,689,9869,0,2451,46,
33972,689,9869,0,2451,50,
33962,689,9869,0,2451,51,
33949,689,9869,0,2451,47,
33980,689,9869,0,2451,47,
34069,689,9869,0,2451,51,
33966,689,9869,0,2451,47,
33907,689,9869,0,2451,48,
33935,689,9869,0,2451,51,
34019,689,9869,0,2451,46,
33938,689,9869,0,2451,50,
33937,689,9869,0,2451,50,
34031,689,9869,0,2451,46,
34001,689,9869,0,2451,47,
33942,689,9869,0,2451,47,
34023,689,9869,0,2451,45,
33949,689,9869,0,2451,46,
33982,689,9869,0,2451,44,
34008,689,9869,0,2451,50,
34118,689,9869,0,2451,48,
34085,689,9869,0,2451,48,
34032,689,9869,0,2451,51,
33992,689,9869,0,2451,45,
34002,689,9869,0,2451,49,
34003,689,9869,0,2451,46,
34101,689,9869,0,2451,45,
34136,689,9869,0,2451,45,
34028,689,9869,0,2451,52,
34059,689,9869,0,2451,46,
34048,689,9869,0,2451,50,
34091,689,9869,0,2451,53,
34076,689,9869,0,2451,52,
46367,689,14501,0,2451,61,
34090,689,9869,0,2451,51,
34105,689,9869,0,2451,50,
34151,689,9869,0,2451,46,
34143,689,9869,0,2451,49,
34151,689,9869,0,2451,48,
34092,689,9869,0,2451,48,
34033,689,9869,0,2451,54,
34182,689,9869,0,2451,48,
34130,689,9869,0,2451,51,
34193,689,9869,0,2451,48,
34128,689,9869,0,2451,46,
34288,689,9869,0,2451,52,
34120,689,9869,0,2451,48,
34161,689,9869,0,2451,46,
34174,689,9869,0,2451,49,
34223,689,9869,0,2451,45,
34116,689,9869,0,2451,47,
34161,689,9869,0,2451,46,
34109,689,9869,0,2451,48,
34183,689,9869,0,2451,44,
34156,689,9869,0,2451,43,
34081,689,9869,0,2451,52,
50058,689,16732,0,2451,62,
34251,689,9869,0,2451,46,
34158,689,9869,0,2451,52,
34141,689,9869,0,2451,48,
34135,689,9869,0,2451,48,
34152,689,9869,0,2451,53,
34155,689,9869,0,2451,42,
34168,689,9869,0,2451,46,
34215,689,9869,0,2451,49,
34182,689,9869,0,2451,47,
34176,689,9869,0,2451,41,
34155,689,9869,0,2451,51,
34209,689,9869,0,2451,48,
34187,689,9869,0,2451,43,
34199,689,9869,0,2451,46,
34153,689,9869,0,2451,43,
34146,689,9869,0,2451,47,
34183,689,9869,0,2451,49,
34195,689,9869,0,2451,43,
34227,689,9869,0,2451,46,
34140,689,9869,0,2451,47,
34148,689,9869,0,2451,47,
34138,689,9869,0,2451,48,
34202,689,9869,0,2451,50,
34219,689,9869,0,2451,53,
34266,689,9869,0,2451,51,
34152,689,9869,0,2451,45,
34151,689,9869,0,2451,48,
34161,689,9869,0,2451,43,
34161,689,9869,0,2451,49,
34166,689,9869,0,2451,47,
34158,689,9869,0,2451,46,
34135,689,9869,0,2451,51,
34280,689,9869,0,2451,55,
34210,689,9869,0,2451,51,
34187,689,9869,0,2451,47,
34132,689,9869,0,2451,49,
34242,689,9869,0,2451,48,
34163,689,9869,0,2451,46,
34218,689,9869,0,2451,47,
34198,689,9869,0,2451,51,
34223,689,9869,0,2451,43,
34143,689,9869,0,2451,44,
34180,689,9869,0,2451,43,
34192,689,9869,0,2451,53,
34161,689,9869,0,2451,50,
34089,689,9869,0,2451,58,
34237,689,9869,0,2451,49,
34155,689,9869,0,2451,47,
34157,689,9869,0,2451,45,
34178,689,9869,0,2451,51,
36835,689,9869,0,2451,54,
34370,689,9869,0,2451,53,
34376,689,9869,0,2451,48,
49427,689,14265,0,2451,67,
34306,689,9869,0,2451,48,
34249,689,9869,0,2451,50,
34173,689,9869,0,2451,46,
34210,689,9869,0,2451,50,
34243,689,9869,0,2451,48,
34259,689,9869,0,2451,47,
34224,689,9869,0,2451,48,
34243,689,9869,0,2451,50,
34183,689,9869,0,2451,49,
34229,689,9869,0,2451,47,
34250,689,9869,0,2451,47,
34307,689,9869,0,2451,41,
34403,689,9869,0,2451,49,
34191,689,9869,0,2451,46,
34167,689,9869,0,2451,47,
34218,689,9869,0,2451,46,
34281,689,9869,0,2451,49,
34272,689,9869,0,2451,45,
34199,689,9869,0,2451,45,
34221,689,9869,0,2451,46,
34299,689,9869,0,2451,51,
34261,689,9869,0,2451,46,
34189,689,9869,0,2451,43,
34240,689,9869,0,2451,49,
34196,689,9869,0,2451,49,
34246,689,9869,0,2451,49,
34256,689,9869,0,2451,50,
34266,689,9869,0,2451,46,
34223,689,9869,0,2451,47,
34156,689,9869,0,2451,47,
34216,689,9869,0,2451,46,
34175,689,9869,0,2451,48,
34231,689,9869,0,2451,43,
34167,689,9869,0,2451,49,
34185,689,9869,0,2451,44,
34231,689,9869,0,2451,49,
34170,689,9869,0,2451,44,
34237,689,9869,0,2451,49,
34215,689,9869,0,2451,54,
34166,689,9869,0,2451,44,
35268,689,9869,0,2451,47,
34232,689,9869,0,2451,44,
34243,689,9869,0,2451,50,
34220,689,9869,0,2451,51,
34171,689,9869,0,2451,48,
34192,689,9869,0,2451,53,
34191,689,9869,0,2451,47,
34248,689,9869,0,2451,47,
34185,689,9869,0,2451,46,
34258,689,9869,0,2451,50,
34259,689,9869,0,2451,50,
34160,689,9869,0,2451,45,
34200,689,9869,0,2451,47,
34287,689,9869,0,2451,42,
34222,689,9869,0,2451,47,
34249,689,9869,0,2451,49,
34138,689,9869,0,2451,52,
34224,689,9869,0,2451,46,
34208,689,9869,0,2451,47,
34260,689,9869,0,2451,44,
34230,689,9869,0,2451,47,
34214,689,9869,0,2451,43,
34142,689,9869,0,2451,48,
34141,689,9869,0,2451,47,
34239,689,9869,0,2451,45,
34238,689,9869,0,2451,50,
34273,689,9869,0,2451,48,
34169,689,9869,0,2451,48,
34144,689,9869,0,2451,52,
42272,689,14072,0,3695,268,
34210,689,9869,0,2451,46,
34136,689,9869,0,2451,44,
34197,689,9869,0,2451,48,
34087,689,9869,0,2451,48,
34187,689,9869,0,2451,52,
34140,689,9869,0,2451,48,
34181,689,9869,0,2451,44,
34209,689,9869,0,2451,45,
34176,689,9869,0,2451,49,
34138,689,9869,0,2451,47,
34209,689,9869,0,2451,47,
34144,689,9869,0,2451,49,
34171,689,9869,0,2451,44,
34203,689,9869,0,2451,46,
34177,689,9869,0,2451,48,
34234,689,9869,0,2451,49,
34208,689,9869,0,2451,45,
34156,689,9869,0,2451,42,
34180,689,9869,0,2451,46,
34177,689,9869,0,2451,41,
34168,689,9869,0,2451,48,
34117,689,9869,0,2451,49,
34188,689,9869,0,2451,46,
34146,689,9869,0,2451,48,
34213,689,9869,0,2451,51,
34163,689,9869,0,2451,45,
34259,689,9869,0,2451,49,
34102,689,9869,0,2451,47,
34160,689,9869,0,2451,48,
34170,689,9869,0,2451,51,
34161,689,9869,0,2451,51,
34162,689,9869,0,2451,45,
34125,689,9869,0,2451,49,
34136,689,9869,0,2451,44,
34159,689,9869,0,2451,53,
34154,689,9869,0,2451,53,
34183,689,9869,0,2451,55,
34155,689,9869,0,2451,49,
