PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
39096,3354,9869,0,2973,132,
35509,3354,9869,0,2973,110,
35768,3354,9869,0,2973,108,
35486,3354,9869,0,2973,117,
35478,3354,9869,0,2973,108,
35475,3354,9869,0,2973,107,
35661,3354,9869,0,2973,111,
35461,3354,9869,0,2973,101,
35372,3354,9869,0,2973,108,
35418,3354,9869,0,2973,103,
35402,3354,9869,0,2973,113,
35362,3354,9869,0,2973,105,
35376,3354,9869,0,2973,112,
35377,3354,9869,0,2973,111,
35327,3354,9869,0,2973,103,
35496,3354,9869,0,2973,107,
35344,3354,9869,0,2973,101,
35535,3354,9869,0,2973,113,
35341,3354,9869,0,2973,100,
35307,3354,9869,0,2973,112,
35513,3354,9869,0,2973,116,
35385,3354,9869,0,2973,112,
35408,3354,9869,0,2973,110,
35431,3354,9869,0,2973,103,
35432,3354,9869,0,2973,113,
35429,3354,9869,0,2973,101,
35351,3354,9869,0,2973,111,
35443,3354,9869,0,2973,108,
35467,3354,9869,0,2973,103,
35443,3354,9869,0,2973,109,
35354,3354,9869,0,2973,107,
35440,3354,9869,0,2973,113,
35470,3354,9869,0,2973,103,
35372,3354,9869,0,2973,111,
35479,3354,9869,0,2973,109,
35381,3354,9869,0,2973,112,
35421,3354,9869,0,2973,111,
35381,3354,9869,0,2973,109,
35420,3354,9869,0,2973,113,
35476,3354,9869,0,2973,105,
35388,3354,9869,0,2973,105,
35319,3354,9869,0,2973,106,
35360,3354,9869,0,2973,116,
35353,3354,9869,0,2973,107,
35431,3354,9869,0,2973,108,
35381,3354,9869,0,2973,110,
35564,3354,9869,0,2973,104,
35394,3354,9869,0,2973,111,
35407,3354,9869,0,4343,355,
35468,3354,9869,0,2973,116,
35362,3354,9869,0,2973,101,
35457,3354,9869,0,2973,115,
35420,3354,9869,0,2973,103,
35342,3354,9869,0,2973,110,
35481,3354,9869,0,2973,105,
35426,3354,9869,0,2973,106,
35419,3354,9869,0,2973,113,
35503,3354,9869,0,2973,114,
35635,3354,9869,0,2973,108,
35455,3354,9869,0,2973,112,
35451,3354,9869,0,2973,110,
35437,3354,9869,0,2973,112,
35418,3354,9869,0,2973,108,
35441,3354,9869,0,2973,112,
35437,3354,9869,0,2973,103,
35534,3354,9869,0,2973,113,
35422,3354,9869,0,2973,105,
35395,3354,9869,0,2973,111,
35516,3354,9869,0,2973,115,
35366,3354,9869,0,2973,113,
36102,3354,9869,0,2973,109,
35609,3354,9869,0,2973,116,
35418,3354,9869,0,2973,111,
35480,3354,9869,0,2973,102,
35384,3354,9869,0,2973,116,
35423,3354,9869,0,2973,110,
35501,3354,9869,0,2973,110,
35357,3354,9869,0,2973,114,
35468,3354,9869,0,2973,108,
35440,3354,9869,0,2973,112,
35430,3354,9869,0,2973,102,
35453,3354,9869,0,2973,111,
35536,3354,9869,0,2973,108,
35425,3354,9869,0,2973,113,
35434,3354,9869,0,2973,110,
35426,3354,9869,0,2973,112,
35503,3354,9869,0,2973,110,
35406,3354,9869,0,2973,111,
35430,3354,9869,0,2973,110,
35384,3354,9869,0,2973,104,
35449,3354,9869,0,2973,110,
35354,3354,9869,0,2973,105,
35487,3354,9869,0,2973,102,
35449,3354,9869,0,2973,112,
35425,3354,9869,0,2973,103,
35419,3354,9869,0,2973,109,
35372,3354,9869,0,2973,106,
35481,3354,9869,0,2973,104,
35378,3354,9869,0,2973,109,
35402,3354,9869,0,2973,108,
35515,3354,9869,0,2973,107,
35571,3354,9869,0,2973,112,
35427,3354,9869,0,2973,109,
35445,3354,9869,0,2973,105,
35488,3354,9869,0,2973,106,
35434,3354,9869,0,2973,103,
35459,3354,9869,0,2973,107,
35391,3354,9869,0,2973,109,
35483,3354,9869,0,2973,105,
35423,3354,9869,0,2973,108,
35443,3354,9869,0,2973,105,
35437,3354,9869,0,2973,109,
50222,3354,9869,0,2973,108,
35423,3354,9869,0,2973,109,
35450,3354,9869,0,2973,113,
35453,3354,9869,0,2973,110,
35476,3354,9869,0,2973,115,
35385,3354,9869,0,2973,110,
35545,3354,9869,0,2973,108,
35469,3354,9869,0,2973,108,
35465,3354,9869,0,2973,109,
35488,3354,9869,0,2973,113,
35540,3354,9869,0,2973,116,
35454,3354,9869,0,2973,107,
35501,3354,9869,0,2973,109,
35453,3354,9869,0,2973,109,
35609,3354,9869,0,2973,113,
35447,3354,9869,0,2973,112,
35407,3354,9869,0,2973,104,
35389,3354,9869,0,2973,115,
35423,3354,9869,0,2973,108,
35465,3354,9869,0,2973,112,
35541,3354,9869,0,2973,104,
35389,3354,9869,0,2973,110,
35357,3354,9869,0,2973,114,
35419,3354,9869,0,2973,103,
35434,3354,9869,0,2973,112,
35592,3354,9869,0,2973,110,
35441,3354,9869,0,2973,113,
35508,3354,9869,0,2973,108,
35544,3354,9869,0,2973,114,
35429,3354,9869,0,2973,111,
35506,3354,9869,0,2973,102,
35401,3354,9869,0,2973,114,
35494,3354,9869,0,2973,105,
35551,3354,9869,0,2973,106,
35546,3354,9869,0,2973,110,
35462,3354,9869,0,2973,104,
35372,3354,9869,0,2973,115,
35453,3354,9869,0,2973,109,
35463,3354,9869,0,2973,112,
35505,3354,9869,0,2973,103,
35398,3354,9869,0,2973,108,
35487,3354,9869,0,2973,101,
35456,3354,9869,0,2973,112,
35366,3354,9869,0,2973,110,
35502,3354,9869,0,2973,111,
35421,3354,9869,0,2973,109,
35411,3354,9869,0,2973,105,
35442,3354,9869,0,2973,108,
35506,3354,9869,0,2973,105,
35571,3354,9869,0,2973,115,
35455,3354,9869,0,2973,106,
35378,3354,9869,0,2973,106,
35484,3354,9869,0,2973,114,
35494,3354,9869,0,2973,111,
35434,3354,9869,0,2973,107,
