PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
52318,2256,17436,1,5113,853,
38082,2255,9869,0,2987,744,
38324,2255,9869,0,2987,767,
38037,2255,9869,0,2987,758,
38360,2255,9869,0,2987,740,
38015,2255,9869,0,2987,778,
38033,2255,9869,0,2987,765,
37952,2255,9869,0,2987,765,
38836,2255,9869,0,2987,751,
37703,2255,9869,0,2987,765,
38602,2255,9869,0,2987,770,
39200,2255,9869,0,2987,757,
38516,2255,9869,0,2987,777,
37666,2255,9869,0,2987,777,
38924,2255,9869,0,2987,734,
38344,2255,9869,0,2987,745,
38398,2255,9869,0,2987,736,
37493,2255,9869,0,2987,772,
38102,2255,9869,0,2987,760,
39180,2255,9869,0,2987,731,
39108,2255,9869,0,2987,774,
37922,2255,9869,0,2987,768,
38322,2255,9869,0,2987,764,
38635,2255,9869,0,2987,750,
38373,2255,9869,0,2987,773,
38771,2255,9869,0,2987,747,
38697,2255,9869,0,2987,761,
38447,2255,9869,0,2987,750,
38665,2255,9869,0,2987,753,
37814,2255,9869,0,2987,765,
38675,2255,9869,0,2987,747,
38439,2255,9869,0,2987,764,
40668,2255,9869,0,2987,759,
38318,2255,9869,0,2987,765,
38385,2255,9869,0,2987,753,
38659,2255,9869,0,2987,755,
39353,2255,9869,0,2987,747,
38359,2255,9869,0,2987,746,
38472,2255,9869,0,2987,754,
38446,2255,9869,0,2987,782,
38493,2255,9869,0,2987,770,
38045,2255,9869,0,2987,775,
38963,2255,9869,0,2987,750,
38455,2255,9869,0,2987,784,
38858,2255,9869,0,2987,767,
38393,2255,9869,0,2987,753,
38689,2255,9869,0,2987,777,
38758,2255,9869,0,2987,744,
38580,2255,9869,0,2987,738,
38161,2255,9869,0,2987,775,
38504,2255,9869,0,2987,779,
38530,2255,9869,0,2987,765,
38508,2255,9869,0,2987,758,
37555,2255,9869,0,2987,786,
39239,2255,9869,0,2987,781,
39004,2255,9869,0,2987,765,
38464,2255,9869,0,2987,742,
37805,2255,9869,0,2987,786,
39050,2255,9869,0,2987,755,
38327,2255,9869,0,2987,753,
38868,2255,9869,0,2987,739,
38283,2255,9869,0,2987,756,
39060,2255,9869,0,2987,754,
38545,2255,9869,0,2987,752,
38375,2255,9869,0,2987,740,
37963,2255,9869,0,2987,750,
39253,2255,9869,0,2987,763,
39050,2255,9869,0,2987,747,
39107,2255,9869,0,2987,766,
37749,2255,9869,0,2987,780,
39645,2255,9869,0,2987,753,
38359,2255,9869,0,2987,746,
38196,2255,9869,0,2987,757,
38735,2255,9869,0,2987,763,
38364,2255,9869,0,2987,750,
39289,2255,9869,0,2987,743,
39213,2255,9869,0,2987,752,
39458,2255,9869,0,2987,752,
39603,2255,9869,0,2987,745,
38408,2255,9869,0,2987,761,
39293,2255,9869,0,2987,756,
38048,2255,9869,0,2987,743,
38403,2255,9869,0,2987,756,
38174,2255,9869,0,2987,758,
38373,2255,9869,0,2987,772,
38123,2255,9869,0,2987,774,
39283,2255,9869,0,2987,758,
38596,2255,9869,0,2987,755,
39128,2255,9869,0,2987,772,
37665,2255,9869,0,2987,781,
38687,2255,9869,0,2987,773,
39722,2255,9869,0,2987,756,
38690,2255,9869,0,2987,744,
39198,2255,9869,0,2987,736,
38820,2255,9869,0,2987,738,
39271,2255,9869,0,2987,771,
39005,2255,9869,0,2987,756,
38206,2255,9869,0,2987,762,
39034,2255,9869,0,2987,765,
38627,2255,9869,0,2987,757,
38399,2255,9869,0,2987,742,
38075,2255,9869,0,2987,751,
38499,2255,9869,0,2987,759,
38321,2255,9869,0,2987,765,
39362,2255,9869,0,2987,761,
37888,2255,9869,0,2987,777,
38649,2255,9869,0,2987,754,
38482,2255,9869,0,2987,758,
38155,2255,9869,0,2987,759,
37995,2255,9869,0,2987,765,
38668,2255,9869,0,2987,768,
38321,2255,9869,0,2987,764,
38754,2255,9869,0,2987,752,
37825,2255,9869,0,2987,747,
39255,2255,9869,0,2987,742,
38728,2255,9869,0,2987,757,
38670,2255,9869,0,2987,767,
38749,2255,9869,0,2987,786,
38509,2255,9869,0,2987,771,
38323,2255,9869,0,2987,745,
38569,2255,9869,0,2987,751,
38262,2255,9869,0,2987,760,
39111,2255,9869,0,2987,762,
38767,2255,9869,0,2987,761,
38711,2255,9869,0,2987,766,
37788,2255,9869,0,2987,760,
39972,2255,9869,0,2987,744,
39087,2255,9869,0,2987,751,
38336,2255,9869,0,2987,741,
37611,2255,9869,0,2987,739,
38719,2255,9869,0,2987,757,
38598,2255,9869,0,2987,758,
38999,2255,9869,0,2987,771,
37807,2255,9869,0,2987,776,
39110,2255,9869,0,2987,775,
39082,2255,9869,0,2987,756,
38729,2255,9869,0,2987,748,
38014,2255,9869,0,2987,768,
38722,2255,9869,0,2987,751,
38308,2255,9869,0,2987,760,
38718,2255,9869,0,2987,773,
38132,2255,9869,0,2987,781,
38670,2255,9869,0,2987,747,
38681,2255,9869,0,2987,773,
39879,2255,9869,0,2987,771,
38058,2255,9869,0,2987,771,
38720,2255,9869,0,2987,744,
39649,2255,9869,0,2987,728,
38849,2255,9869,0,2987,733,
37967,2255,9869,0,2987,771,
39359,2255,9869,0,2987,755,
38997,2255,9869,0,2987,782,
38556,2255,9869,0,2987,777,
38110,2255,9869,0,2987,763,
38939,2255,9869,0,2987,741,
38629,2255,9869,0,2987,765,
38697,2255,9869,0,2987,780,
38966,2255,9869,0,2987,761,
38956,2255,9869,0,2987,776,
38673,2255,9869,0,2987,757,
38494,2255,9869,0,2987,753,
38352,2267,9869,0,2987,768,
38799,2255,9869,0,2987,776,
38366,2255,9869,0,2987,749,
