PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
40041,6377,9869,0,3907,103,
37300,6310,9869,0,3914,94,
37008,6315,9869,0,3906,90,
37172,6302,9869,0,3913,94,
37132,6315,9869,0,3906,88,
38359,6301,9869,0,3912,96,
36992,6327,9869,0,3908,89,
36707,6303,9869,0,3912,105,
44734,6308,12313,1,4593,243,
37343,6304,9869,0,3913,96,
36882,6308,9869,0,3904,87,
36785,6353,9869,0,3917,97,
36738,6301,9869,0,3912,92,
37435,6226,9869,0,3912,97,
36907,6307,9869,0,3905,99,
36928,6307,9869,0,3913,97,
36744,6308,9869,0,3904,95,
37350,6346,9869,0,3917,96,
36923,6253,9869,0,3912,95,
36887,6315,9869,0,3906,105,
36758,6339,9869,0,3913,99,
37622,6352,9869,0,3918,108,
36901,6326,9869,0,3909,85,
36985,6310,9869,0,3914,99,
37318,6308,9869,0,3904,88,
37349,6234,9869,0,3907,97,
36933,6306,9869,0,3904,87,
36952,6308,9869,0,3912,100,
44043,6308,12313,1,4593,248,
36892,6346,9869,0,3917,105,
37106,6328,9869,0,3909,91,
37019,6346,9869,0,3917,95,
37027,6333,9869,0,3909,90,
36990,6304,9869,0,3913,97,
37171,6306,9869,0,3904,86,
37035,6339,9869,0,3913,99,
36908,6345,9869,0,3916,92,
37254,6337,9869,0,3913,98,
37194,6347,9869,0,3916,100,
37062,6336,9869,0,3912,101,
37641,6347,9869,0,3916,93,
37142,6337,9869,0,3913,91,
37128,6346,9869,0,3917,95,
37266,6325,9869,0,3908,96,
49648,6307,14514,0,5279,327,
37364,6315,9869,0,3906,97,
48103,6235,18687,1,6317,296,
36906,6171,9869,0,3905,91,
36945,6325,9869,0,3908,96,
37159,6347,9869,0,3916,100,
36902,6326,9869,0,3909,91,
37118,6239,9869,0,3909,97,
37330,6306,9869,0,3904,103,
37026,6339,9869,0,3913,97,
36965,6348,9869,0,3917,100,
37077,6326,9869,0,3909,97,
37001,6310,9869,0,3914,92,
36967,6312,9869,0,3905,97,
36968,6337,9869,0,3913,93,
36960,6216,9869,0,3904,95,
37015,6315,9869,0,3906,92,
36843,6337,9869,0,3913,93,
37471,6346,9869,0,3917,99,
37040,6328,9869,0,3909,100,
36890,6302,9869,0,3913,91,
36920,6343,9869,0,3917,98,
37254,6259,9869,0,3913,97,
37123,6170,9869,0,3904,90,
37265,6328,9869,0,3909,93,
36931,6345,9869,0,3916,92,
36892,6325,9869,0,3908,92,
36935,6234,9869,0,3907,95,
37209,6313,9869,0,3906,104,
36989,6337,9869,0,3913,101,
37550,6347,9869,0,3916,104,
36898,6339,9869,0,3913,100,
36766,6345,9869,0,3916,92,
37122,6337,9869,0,3913,98,
36837,6345,9869,0,3916,97,
36885,6362,9869,0,3916,92,
36929,6302,9869,0,3913,94,
36691,6172,9869,0,3904,86,
44173,6333,12313,1,4598,255,
37072,6347,9869,0,3916,98,
36796,6360,9869,0,3916,97,
37184,6301,9869,0,3912,96,
36997,6314,9869,0,3905,84,
37366,6339,9869,0,3913,95,
36944,6347,9869,0,3916,96,
36790,6328,9869,0,3909,97,
36828,6307,9869,0,3913,99,
37189,6309,9869,0,3905,92,
37423,6233,9869,0,3908,94,
36927,6170,9869,0,3904,88,
44087,6328,12313,1,4596,241,
36823,6347,9869,0,3916,98,
36935,6328,9869,0,3909,89,
36833,6232,9869,0,3907,81,
36881,6171,9869,0,3905,88,
36978,6254,9869,0,3913,93,
44313,6307,12313,1,4592,248,
37026,6343,9869,0,3914,98,
36952,6345,9869,0,3916,98,
67371,6335,19660,1,4598,251,
36750,6301,9869,0,3912,94,
36863,6342,9869,0,3916,105,
44258,6326,12313,1,4596,256,
36896,6345,9869,0,3916,95,
36744,6331,9869,0,3909,101,
37129,6307,9869,0,3913,90,
37038,6312,9869,0,3905,94,
37006,6339,9869,0,3913,99,
44083,6216,12313,1,4591,248,
36772,6253,9869,0,3912,96,
36784,6308,9869,0,3904,93,
37101,6337,9869,0,3913,95,
36817,6372,9869,0,3916,95,
36770,6346,9869,0,3917,87,
36621,6257,9869,0,3913,97,
37303,6171,9869,0,3905,89,
37004,6326,9869,0,3909,94,
37124,6347,9869,0,3916,103,
37084,6325,9869,0,3908,93,
37171,6309,9869,0,3913,91,
37030,6309,9869,0,3905,84,
37160,6337,9869,0,3913,99,
36736,6216,9869,0,3904,90,
44023,6309,12313,1,4592,253,
36849,6345,9869,0,3914,94,
37034,6345,9869,0,3916,98,
37325,6334,9869,0,3910,98,
36857,6232,9869,0,3907,90,
36747,6172,9869,0,3904,92,
36695,6252,9869,0,3913,94,
36772,6315,9869,0,3906,94,
37022,6338,9869,0,3912,96,
37160,6345,9869,0,3916,94,
36765,6333,9869,0,3909,99,
36816,6310,9869,0,3914,97,
36697,6308,9869,0,3904,95,
36786,6345,9869,0,3914,94,
37245,6348,9869,0,3917,97,
37181,6327,9869,0,3908,92,
37339,6309,9869,0,3913,97,
37371,6315,9869,0,3906,98,
36895,6339,9869,0,3913,99,
36977,6352,9869,0,3918,102,
37383,6332,9869,0,3910,89,
36931,6309,9869,0,3913,95,
37044,6341,9869,0,3917,105,
44131,6328,12313,1,4596,247,
36940,6348,9869,0,3917,103,
37307,6334,9869,0,3910,95,
36915,6301,9869,0,3912,84,
36971,6306,9869,0,3904,93,
36729,6233,9869,0,3908,92,
44231,6316,12313,1,4594,246,
36856,6338,9869,0,3912,101,
37132,6347,9869,0,3916,93,
36722,6336,9869,0,3912,97,
36910,6351,9869,0,3917,102,
36832,6337,9869,0,3913,100,
36773,6345,9869,0,3916,96,
37224,6328,9869,0,3909,92,
36915,6303,9869,0,3912,99,
47881,6316,18682,1,6314,296,
37012,6345,9869,0,3914,97,
36987,6348,9869,0,3917,96,
37260,6332,9869,0,3910,96,
36932,6308,9869,0,3914,99,
36931,6342,9869,0,3916,95,
36899,6328,9869,0,3909,93,
37122,6347,9869,0,3916,95,
36826,6331,9869,0,3909,103,
37305,6303,9869,0,3912,94,
36831,6309,9869,0,3905,87,
36890,6345,9869,0,3914,93,
37064,6214,9869,0,3904,99,
36849,6172,9869,0,3904,92,
37237,6253,9869,0,3912,101,
37182,6315,9869,0,3906,95,
36753,6339,9869,0,3913,94,
36990,6347,9869,0,3916,101,
36865,6344,9869,0,3913,89,
36848,6346,9869,0,3917,94,
37227,6338,9869,0,3912,100,
37000,6345,9869,0,3916,101,
37081,6334,9869,0,3910,94,
37012,6303,9869,0,3912,92,
37109,6313,9869,0,3906,90,
37240,6232,9869,0,3907,92,
36727,6173,9869,0,3905,89,
44555,6332,12313,1,4597,253,
36835,6348,9869,0,3917,91,
36862,6344,9869,0,3913,93,
36851,6354,9869,0,3918,99,
37310,6326,9869,0,3909,89,
37264,6239,9869,0,3909,94,
36980,6170,9869,0,3904,85,
37164,6251,9869,0,3912,94,
37364,6312,9869,0,3905,94,
37340,6342,9869,0,3913,96,
37477,6346,9869,0,3917,94,
36907,6325,9869,0,3908,95,
36932,6234,9869,0,3907,97,
36966,6171,9869,0,3905,94,
