PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
407523,621765,9869,0,147231,379,
397130,621756,9869,0,147231,352,
392220,621753,9869,0,147230,350,
393169,621759,9869,0,147230,343,
391652,621762,9869,0,147231,349,
390154,621756,9869,0,147231,356,
388964,621762,9869,0,147231,353,
388850,621762,9869,0,147231,348,
388864,621762,9869,0,147231,348,
385803,621753,9869,0,147231,354,
387807,621762,9869,0,147231,360,
389077,621762,9869,0,147231,352,
388641,621759,9869,0,147231,350,
387903,621768,9869,0,147230,353,
388301,621765,9869,0,147231,352,
389331,621756,9869,0,147230,347,
390029,621765,9869,0,147231,349,
389056,621756,9869,0,147231,351,
388536,621759,9869,0,147231,355,
388557,621762,9869,0,147231,347,
385855,621768,9869,0,147231,344,
387782,621771,9869,0,147231,350,
387994,621768,9869,0,147231,353,
385916,620152,9869,0,146833,344,
388194,621759,9869,0,147231,342,
389192,621765,9869,0,147231,347,
389803,621750,9869,0,147230,354,
388642,621762,9869,0,147231,339,
387691,621759,9869,0,147231,340,
387281,621753,9869,0,147230,348,
388111,621765,9869,0,147231,352,
387961,621762,9869,0,147230,341,
389132,621759,9869,0,147231,348,
387740,621765,9869,0,147231,349,
387462,621759,9869,0,147231,351,
389175,621759,9869,0,147231,339,
389394,621765,9869,0,147231,342,
388941,621759,9869,0,147231,340,
388325,621759,9869,0,147231,352,
388058,621756,9869,0,147231,344,
387611,621768,9869,0,147231,344,
388602,621759,9869,0,147230,349,
387927,621762,9869,0,147231,353,
387321,621750,9869,0,147230,344,
388846,621756,9869,0,147230,343,
389325,621759,9869,0,147231,347,
388300,621762,9869,0,147231,350,
390169,621765,9869,0,147231,335,
387853,621759,9869,0,147230,340,
386206,621762,9869,0,147231,343,
388971,621762,9869,0,147231,349,
388136,621762,9869,0,147231,341,
387874,621756,9869,0,147231,340,
389133,621756,9869,0,147230,352,
387817,621759,9869,0,147231,350,
388287,621768,9869,0,147231,341,
388357,621750,9869,0,147230,343,
387938,621759,9869,0,147231,343,
388408,621762,9869,0,147231,354,
387381,621756,9869,0,147231,341,
386295,621762,9869,0,147231,340,
400675,621754,14260,0,148532,613,
387532,621762,9869,0,147231,346,
389310,621762,9869,0,147231,345,
400338,621763,14270,0,148535,573,
387182,621762,9869,0,147231,347,
388088,621759,9869,0,147231,361,
387596,621765,9869,0,147231,338,
388215,621762,9869,0,147231,344,
386813,621762,9869,0,147231,347,
387806,621759,9869,0,147231,350,
388833,621768,9869,0,147231,344,
387476,621768,9869,0,147231,348,
388090,621762,9869,0,147231,349,
388225,621759,9869,0,147231,351,
388527,621759,9869,0,147231,344,
388225,621765,9869,0,147231,339,
387553,621762,9869,0,147230,344,
385307,620158,9869,0,146833,348,
386996,621768,9869,0,147231,342,
385538,621768,9869,0,147231,345,
386703,621762,9869,0,147231,344,
386970,621765,9869,0,147231,347,
386753,621753,9869,0,147230,346,
384671,620158,9869,0,146833,346,
386538,621771,9869,0,147231,344,
388312,621762,9869,0,147231,357,
387739,621762,9869,0,147231,347,
388191,621765,9869,0,147231,341,
388125,621762,9869,0,147231,346,
386671,621759,9869,0,147231,359,
388228,621759,9869,0,147231,341,
387418,621762,9869,0,147231,341,
387522,621756,9869,0,147230,352,
387933,621768,9869,0,147231,354,
387411,621771,9869,0,147231,344,
388330,621759,9869,0,147231,338,
388527,621765,9869,0,147230,345,
388813,621759,9869,0,147231,350,
388461,621765,9869,0,147231,350,
387344,621756,9869,0,147231,342,
386797,621759,9869,0,147231,347,
384607,621774,9869,0,147230,348,
389571,621756,9869,0,147231,344,
389144,621771,9869,0,147230,346,
389461,621759,9869,0,147231,352,
386896,621759,9869,0,147231,354,
387702,621759,9869,0,147231,349,
388777,621759,9869,0,147231,342,
387033,621750,9869,0,147230,344,
387147,621756,9869,0,147231,354,
387949,621762,9869,0,147231,349,
388135,621762,9869,0,147231,344,
388031,621762,9869,0,147231,352,
387148,621759,9869,0,147231,354,
388121,621762,9869,0,147230,347,
388268,621771,9869,0,147231,337,
388326,621768,9869,0,147231,336,
388412,621765,9869,0,147231,353,
389902,621762,9869,0,147231,350,
387804,621768,9869,0,147231,338,
387500,621768,9869,0,147231,352,
387132,621765,9869,0,147231,348,
387562,621759,9869,0,147231,352,
386519,621747,9869,0,147230,343,
387118,621765,9869,0,147231,348,
387349,621759,9869,0,147230,352,
384618,620152,9869,0,146833,350,
386639,621756,9869,0,147230,346,
387556,621762,9869,0,147231,346,
388287,621762,9869,0,147231,350,
394902,621762,9869,0,147231,344,
390307,621756,9869,0,147231,343,
390005,621765,9869,0,147231,347,
387109,621777,9869,0,147231,342,
388415,621771,9869,0,147231,347,
387898,621762,9869,0,147230,340,
388779,621756,9869,0,147230,345,
387726,621765,9869,0,147231,350,
388816,621768,9869,0,147231,343,
386230,621762,9869,0,147231,338,
384543,620158,9869,0,146833,337,
387566,621759,9869,0,147231,352,
387769,621765,9869,0,147230,347,
387072,621765,9869,0,147231,344,
388261,621759,9869,0,147231,345,
387564,621762,9869,0,147231,343,
389366,621762,9869,0,147231,337,
387576,621759,9869,0,147231,339,
387017,621762,9869,0,147231,345,
387271,621765,9869,0,147231,342,
385038,621756,9869,0,147231,346,
386384,621768,9869,0,147231,340,
387043,621768,9869,0,147231,347,
386303,621777,9869,0,147231,346,
386892,621762,9869,0,147231,350,
386598,621765,9869,0,147230,340,
385879,621759,9869,0,147231,345,
387146,621765,9869,0,147231,353,
387610,621759,9869,0,147231,347,
388398,621753,9869,0,147231,341,
387389,621762,9869,0,147231,341,
388392,621774,9869,0,147231,341,
388790,621756,9869,0,147230,346,
387745,621765,9869,0,147231,343,
387328,621759,9869,0,147231,347,
388176,621759,9869,0,147231,349,
386324,621756,9869,0,147231,341,
387465,621759,9869,0,147231,340,
386677,621759,9869,0,147230,349,
387100,621759,9869,0,147230,353,
387671,621762,9869,0,147231,348,
386486,621762,9869,0,147231,335,
384395,621768,9869,0,147230,344,
386069,621765,9869,0,147231,351,
385223,621762,9869,0,147231,349,
387471,621762,9869,0,147231,339,
386826,621759,9869,0,147230,339,
386803,621771,9869,0,147231,348,
387048,621768,9869,0,147231,345,
385941,621774,9869,0,147231,336,
387415,621756,9869,0,147230,347,
387685,621762,9869,0,147231,346,
387697,621765,9869,0,147231,347,
386338,621756,9869,0,147231,337,
384235,621762,9869,0,147231,344,
386124,621762,9869,0,147231,355,
