PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
40948,750,10276,0,10,54,0,
39037,477,11405,0,9,49,0,
38914,477,11405,0,9,48,0,
35539,477,11327,0,9,50,0,
35453,477,11327,0,9,53,0,
35478,477,11327,0,9,53,0,
38888,310,11327,0,9,59,0,
39093,310,11327,0,9,62,0,
38884,310,11327,0,9,62,0,
38908,310,11327,0,9,65,0,
38900,477,8156,0,9,67,0,
39059,477,8156,0,9,66,0,
38877,477,8156,0,9,61,0,
39041,477,11405,0,4,60,0,
38826,477,11405,0,4,43,0,
38838,477,11405,0,4,46,0,
38804,477,11405,0,4,45,0,
38849,477,11405,0,9,7,0,
38906,477,11405,0,9,7,0,
38816,477,11405,0,9,10,0,
38838,477,11405,0,9,7,0,
38815,477,11405,0,9,8,0,
38805,477,11405,0,9,8,0,
38800,477,11405,0,9,7,0,
39047,477,11405,0,9,46,0,
38921,477,11405,0,9,52,0,
38898,477,11405,0,9,43,0,
38818,477,11405,0,9,49,0,
35562,477,11327,0,9,50,0,
35417,477,11327,0,9,53,0,
35513,477,11327,0,9,50,0,
35500,477,11327,0,9,51,0,
38943,310,11327,0,9,53,0,
38977,310,11327,0,9,59,0,
39040,310,11327,0,9,59,0,
39080,310,11327,0,9,63,0,
39132,477,8156,0,9,63,0,
39097,477,8156,0,9,67,0,
39097,477,8156,0,9,67,0,
39074,477,8156,0,9,66,0,
39233,477,11405,0,4,65,0,
39067,477,11405,0,4,46,0,
39018,477,11405,0,4,43,0,
39032,477,11405,0,4,40,0,
39136,477,11405,0,9,7,0,
39116,477,11405,0,9,7,0,
39159,477,11405,0,9,7,0,
39129,477,11405,0,9,8,0,
50111,477,16182,0,9,10,0,
39113,477,11405,0,9,12,0,
39297,477,11405,0,9,9,0,
39262,477,11405,0,9,8,0,
39185,477,11405,0,9,7,0,
39181,477,11405,0,9,44,0,
39287,477,11405,0,9,45,0,
39157,477,11405,0,9,46,0,
39136,477,11405,0,9,45,0,
39211,477,11405,0,9,46,0,
35923,477,11327,0,9,50,0,
35763,477,11327,0,9,52,0,
35808,477,11327,0,9,49,0,
35688,477,11327,0,9,48,0,
35812,477,11327,0,9,53,0,
39228,310,11327,0,9,53,0,
39314,310,11327,0,9,64,0,
39270,310,11327,0,9,62,0,
39277,310,11327,0,9,60,0,
39291,310,11327,0,9,63,0,
39330,477,8156,0,9,57,0,
39257,477,8156,0,9,68,0,
39319,477,8156,0,9,66,0,
39274,477,8156,0,9,67,0,
39262,477,8156,0,9,62,0,
39309,477,11405,0,4,61,0,
39173,477,11405,0,4,44,0,
39240,477,11405,0,4,46,0,
39249,477,11405,0,4,45,0,
48765,477,15541,0,4,60,0,
39344,477,11405,0,4,47,0,
39253,477,11405,0,4,51,0,
39173,477,11405,0,4,43,0,
39181,477,11405,0,4,46,0,
39225,477,11405,0,9,6,0,
39185,477,11405,0,9,8,0,
39202,477,11405,0,9,8,0,
39175,477,11405,0,9,7,0,
39272,477,11405,0,9,7,0,
39228,477,11405,0,9,42,0,
39176,477,11405,0,9,46,0,
39121,477,11405,0,9,45,0,
39190,477,11405,0,9,47,0,
39188,477,11405,0,9,48,0,
35787,477,11327,0,9,48,0,
35769,477,11327,0,9,50,0,
35783,477,11327,0,9,56,0,
35805,477,11327,0,9,52,0,
35806,477,11327,0,9,49,0,
39219,310,11327,0,9,54,0,
39224,310,11327,0,9,63,0,
39312,310,11327,0,9,62,0,
39303,310,11327,0,9,62,0,
39335,310,11327,0,9,62,0,
39325,477,8156,0,9,61,0,
39363,477,8156,0,9,68,0,
39322,477,8156,0,9,64,0,
39386,477,8156,0,9,66,0,
39252,477,8156,0,9,68,0,
39315,477,11405,0,4,68,0,
39147,477,11405,0,4,42,0,
39235,477,11405,0,4,44,0,
39216,477,11405,0,4,47,0,
