PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
64084,18520,15258,0,13,8764,139714230318536,139714230368233,550,
60270,18157,15258,0,13,8710,139714230318536,139714230368233,550,
60306,18153,15258,0,13,8707,139714230318536,139714230368233,550,
59860,18161,15258,0,13,8708,139714230318536,139714230368233,550,
59876,18145,15258,0,13,8706,139714230318536,139714230368233,550,
60318,18152,15258,0,13,8708,139714230318536,139714230368233,550,
60420,18145,15258,0,13,8706,139714230318536,139714230368233,550,
60544,18142,15258,0,13,8705,139714230318536,139714230368233,550,
60730,18161,15258,0,13,8708,139714230318536,139714230368233,550,
60523,18152,15258,0,13,8706,139714230318536,139714230368233,550,
60694,18143,15258,0,13,8706,139714230318536,139714230368233,550,
60452,18154,15258,0,13,8708,139714230318536,139714230368233,550,
61007,18153,15258,0,13,8707,139714230318536,139714230368233,550,
60427,18147,15258,0,13,8706,139714230318536,139714230368233,550,
60114,18143,15258,0,13,8704,139714230318536,139714230368233,550,
60373,18146,15258,0,13,8705,139714230318536,139714230368233,550,
60781,18155,15258,0,13,8708,139714230318536,139714230368233,550,
60188,18157,15258,0,13,8708,139714230318536,139714230368233,550,
60617,18149,15258,0,13,8706,139714230318536,139714230368233,550,
60473,18153,15258,0,13,8707,139714230318536,139714230368233,550,
60728,18161,15258,0,13,8708,139714230318536,139714230368233,550,
60246,18146,15258,0,13,8706,139714230318536,139714230368233,550,
60579,18142,15258,0,13,8705,139714230318536,139714230368233,550,
60507,18155,15258,0,13,8707,139714230318536,139714230368233,550,
60339,18163,15258,0,13,8709,139714230318536,139714230368233,550,
60639,18150,15258,0,13,8708,139714230318536,139714230368233,550,
60858,18154,15258,0,13,8708,139714230318536,139714230368233,550,
60799,18150,15258,0,13,8706,139714230318536,139714230368233,550,
60315,18148,15258,0,13,8705,139714230318536,139714230368233,550,
60627,18147,15258,0,13,8707,139714230318536,139714230368233,550,
60355,18146,15258,0,13,8707,139714230318536,139714230368233,550,
60481,18147,15258,0,13,8704,139714230318536,139714230368233,550,
60635,18141,15258,0,13,8706,139714230318536,139714230368233,550,
60416,18152,15258,0,13,8706,139714230318536,139714230368233,550,
60517,18152,15258,0,13,8706,139714230318536,139714230368233,550,
60476,18153,15258,0,13,8707,139714230318536,139714230368233,550,
60657,18146,15258,0,13,8705,139714230318536,139714230368233,550,
60541,18146,15258,0,13,8705,139714230318536,139714230368233,550,
60564,18153,15258,0,13,8708,139714230318536,139714230368233,550,
60432,18148,15258,0,13,8707,139714230318536,139714230368233,550,
60713,18146,15258,0,13,8705,139714230318536,139714230368233,550,
60447,18149,15258,0,13,8705,139714230318536,139714230368233,550,
60359,18156,15258,0,13,8707,139714230318536,139714230368233,550,
60713,18159,15258,0,13,8710,139714230318536,139714230368233,550,
60661,18142,15258,0,13,8705,139714230318536,139714230368233,550,
60813,18143,15258,0,13,8706,139714230318536,139714230368233,550,
60392,18143,15258,0,13,8708,139714230318536,139714230368233,550,
60578,18150,15258,0,13,8706,139714230318536,139714230368233,550,
60429,18150,15258,0,13,8708,139714230318536,139714230368233,550,
60280,18146,15258,0,13,8705,139714230318536,139714230368233,550,
60819,18145,15258,0,13,8706,139714230318536,139714230368233,550,
60740,18159,15258,0,13,8708,139714230318536,139714230368233,550,
60533,18144,15258,0,13,8705,139714230318536,139714230368233,550,
60738,18152,15258,0,13,8708,139714230318536,139714230368233,550,
60421,18159,15258,0,13,8708,139714230318536,139714230368233,550,
60996,18142,15258,0,13,8705,139714230318536,139714230368233,550,
60780,18144,15258,0,13,8707,139714230318536,139714230368233,550,
60825,18158,15258,0,13,8707,139714230318536,139714230368233,550,
60710,18147,15258,0,13,8706,139714230318536,139714230368233,550,
61077,18146,15258,0,13,8707,139714230318536,139714230368233,550,
60549,18153,15258,0,13,8707,139714230318536,139714230368233,550,
60471,18153,15258,0,13,8708,139714230318536,139714230368233,550,
60613,18147,15258,0,13,8706,139714230318536,139714230368233,550,
60796,18154,15258,0,13,8708,139714230318536,139714230368233,550,
60234,18168,15258,0,13,8710,139714230318536,139714230368233,550,
60480,18141,15258,0,13,8706,139714230318536,139714230368233,550,
60567,18155,15258,0,13,8708,139714230318536,139714230368233,550,
60496,18143,15258,0,13,8706,139714230318536,139714230368233,550,
60663,18160,15258,0,13,8707,139714230318536,139714230368233,550,
60572,18147,15258,0,13,8706,139714230318536,139714230368233,550,
60427,18146,15258,0,13,8705,139714230318536,139714230368233,550,
60423,18157,15258,0,13,8708,139714230318536,139714230368233,550,
60698,18150,15258,0,13,8706,139714230318536,139714230368233,550,
60741,18149,15258,0,13,8707,139714230318536,139714230368233,550,
60584,18163,15258,0,13,8709,139714230318536,139714230368233,550,
60353,18153,15258,0,13,8707,139714230318536,139714230368233,550,
60431,18150,15258,0,13,8708,139714230318536,139714230368233,550,
60403,18152,15258,0,13,8708,139714230318536,139714230368233,550,
60438,18147,15258,0,13,8705,139714230318536,139714230368233,550,
60668,18159,15258,0,13,8708,139714230318536,139714230368233,550,
60479,18143,15258,0,13,8704,139714230318536,139714230368233,550,
60198,18150,15258,0,13,8707,139714230318536,139714230368233,550,
60135,18146,15258,0,13,8707,139714230318536,139714230368233,550,
60222,18144,15258,0,13,8707,139714230318536,139714230368233,550,
60736,18149,15258,0,13,8707,139714230318536,139714230368233,550,
59896,18139,15258,0,13,8704,139714230318536,139714230368233,550,
60480,18151,15258,0,13,8707,139714230318536,139714230368233,550,
