PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
885398,1579507,15249,0,13,195449,550,140540604544592,140540607277552,
884178,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878731,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
882960,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878135,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
882625,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
894416,1579507,19597,0,13,196724,550,140540604544592,140540607277552,
878380,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
883356,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
882941,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
877991,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
896752,1579508,20081,0,14,196875,550,140540604544592,140540607277552,
883488,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878429,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
883117,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
882849,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
882704,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878287,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
882780,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878280,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
882726,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
898992,1570702,20299,0,14,195703,550,140540604544592,140540607277552,
883090,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883147,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
879820,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
879141,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
874377,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
883590,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878463,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
877951,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
883316,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878329,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
883467,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883290,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
882422,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883062,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883141,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883299,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883188,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
902426,1579508,22088,0,14,197451,550,140540604544592,140540607277552,
878674,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
883253,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883463,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883981,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883552,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883484,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
883375,1579507,15258,0,13,195452,550,140540604544592,140540607277552,
878478,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
878614,1570701,15258,0,13,194216,550,140540604544592,140540607277552,
897615,1570702,21901,0,15,196001,550,140540604544592,140540607277552,
