PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
40837,1673,11405,0,9,63,0,
39865,1669,11405,0,9,76,0,
39457,1669,11405,0,9,73,0,
35494,1669,11327,0,9,78,0,
35547,2320,11327,0,9,102,0,
35417,1673,11327,0,9,75,0,
39769,310,11327,0,9,93,0,
39700,310,11327,0,9,94,0,
39604,310,11327,0,9,94,0,
39616,310,11327,0,9,86,0,
39582,1688,8156,0,9,78,0,
39573,1688,8156,0,9,80,0,
39683,1748,8156,0,9,85,0,
39529,1692,11405,0,4,66,0,
39378,1692,11405,0,4,69,0,
39453,1692,11405,0,4,65,0,
39439,1692,11405,0,4,69,0,
39435,1692,11405,0,9,3,0,
39436,1688,11405,0,9,4,0,
39415,1688,11405,0,9,6,0,
51778,1689,17148,0,11,217,0,
39442,1688,11405,0,9,4,0,
39395,1692,11405,0,9,5,0,
39565,1692,11405,0,9,5,0,
39481,1692,11405,0,9,67,0,
39303,1692,11405,0,9,70,0,
39419,1692,11405,0,9,67,0,
39411,1688,11405,0,9,68,0,
35504,1688,11327,0,9,75,0,
35473,1688,11327,0,9,74,0,
35482,1792,11327,0,9,72,0,
35537,1692,11327,0,9,77,0,
39624,310,11327,0,9,87,0,
39615,310,11327,0,9,92,0,
39596,310,11327,0,9,87,0,
39559,310,11327,0,9,93,0,
39778,1688,8156,0,9,87,0,
39603,1688,8156,0,9,88,0,
40016,1497,8156,0,9,95,0,
39678,1688,8156,0,9,88,0,
39722,1692,11405,0,4,70,0,
39710,1692,11405,0,4,64,0,
39609,1692,11405,0,4,69,0,
39602,1692,11405,0,4,67,0,
39699,1692,11405,0,9,2,0,
39782,1690,11405,0,9,3,0,
39808,1688,11405,0,9,5,0,
39693,1688,11405,0,9,4,0,
39735,1688,11405,0,9,2,0,
40957,2312,11405,0,9,4,0,
39781,1692,11405,0,9,3,0,
39698,1692,11405,0,9,4,0,
39719,1692,11405,0,9,7,0,
39781,1692,11405,0,9,66,0,
39749,1692,11405,0,9,65,0,
39627,1692,11405,0,9,70,0,
39896,1688,11405,0,9,69,0,
39834,1688,11405,0,9,66,0,
35771,1688,11327,0,9,66,0,
35818,2579,11327,0,9,94,0,
35807,1692,11327,0,9,70,0,
35789,1692,11327,0,9,68,0,
35827,1692,11327,0,9,73,0,
40036,310,11327,0,9,86,0,
40014,310,11327,0,9,92,0,
39922,310,11327,0,9,89,0,
39912,310,11327,0,9,89,0,
39956,310,11327,0,9,89,0,
40138,1683,8156,0,9,88,0,
39940,1692,8156,0,9,84,0,
39805,1692,8156,0,9,90,0,
39786,1692,8156,0,9,87,0,
39810,1692,8156,0,9,84,0,
39783,1692,11405,0,4,63,0,
39700,1692,11405,0,4,66,0,
39808,1688,11405,0,4,61,0,
39856,1688,11405,0,4,65,0,
39851,1688,11405,0,4,72,0,
41121,2353,11405,0,4,95,0,
39802,1692,11405,0,4,64,0,
39791,1692,11405,0,4,64,0,
39761,1692,11405,0,4,57,0,
39795,1692,11405,0,9,3,0,
39720,1692,11405,0,9,4,0,
39774,1692,11405,0,9,4,0,
39794,1688,11405,0,9,6,0,
39779,1688,11405,0,9,4,0,
39814,1688,11405,0,9,65,0,
39837,1692,11405,0,9,68,0,
39830,1692,11405,0,9,66,0,
39744,1692,11405,0,9,63,0,
39707,1692,11405,0,9,68,0,
35771,1692,11327,0,9,68,0,
35842,1690,11327,0,9,72,0,
35809,1688,11327,0,9,68,0,
35828,1688,11327,0,9,68,0,
35817,1688,11327,0,9,69,0,
40007,310,11327,0,9,93,0,
39937,310,11327,0,9,86,0,
39916,310,11327,0,9,85,0,
39842,310,11327,0,9,88,0,
39780,310,11327,0,9,88,0,
39888,1692,8156,0,9,85,0,
40048,1497,8156,0,9,91,0,
40135,1688,8156,0,9,82,0,
39923,1497,8156,0,9,86,0,
40976,2335,8156,0,9,109,0,
39861,1692,11405,0,4,67,0,
39886,1692,11405,0,4,70,0,
39802,1692,11405,0,4,67,0,
39725,1692,11405,0,4,71,0,
39775,1692,11405,0,4,68,0,
39886,1688,11405,0,9,3,0,
39718,1688,11405,0,9,7,0,
39862,1688,11405,0,9,4,0,
39800,1688,11405,0,9,6,0,
39853,1692,11405,0,9,8,0,
39932,1692,11405,0,9,6,0,
39774,1692,11405,0,9,4,0,
39787,1692,11405,0,9,5,0,
39747,1692,11405,0,9,5,0,
39826,1690,11405,0,9,68,0,
39747,1688,11405,0,9,65,0,
39756,1688,11405,0,9,68,0,
39720,1688,11405,0,9,66,0,
39791,1692,11405,0,9,68,0,
35851,1692,11327,0,9,62,0,
35792,1692,11327,0,9,67,0,
35829,1692,11327,0,9,69,0,
35825,1692,11327,0,9,76,0,
35835,1690,11327,0,9,74,0,
40080,310,11327,0,9,87,0,
39884,310,11327,0,9,90,0,
39909,310,11327,0,9,87,0,
40997,310,11327,0,9,118,0,
39891,310,11327,0,9,87,0,
40053,1692,8156,0,9,86,0,
39904,1692,8156,0,9,87,0,
39843,1692,8156,0,9,84,0,
39846,1692,8156,0,9,82,0,
39840,1688,8156,0,9,84,0,
39825,1688,11405,0,4,66,0,
39797,1688,11405,0,4,60,0,
39832,1688,11405,0,4,68,0,
39856,1692,11405,0,4,64,0,
39846,1692,11405,0,4,67,0,
39722,1692,11405,0,9,5,0,
40475,1692,11405,0,9,5,0,
39753,1692,11405,0,9,6,0,
39775,1688,11405,0,9,6,0,
39791,1688,11405,0,9,62,0,
39943,1688,11405,0,9,73,0,
39690,1688,11405,0,9,69,0,
39816,1604,11405,0,9,71,0,
39702,1692,11405,0,9,65,0,
35837,1692,11327,0,9,74,0,
35818,1692,11327,0,9,74,0,
35872,1692,11327,0,9,74,0,
35788,1688,11327,0,9,73,0,
35755,1688,11327,0,9,72,0,
40015,310,11327,0,9,93,0,
39867,310,11327,0,9,88,0,
40019,310,11327,0,9,90,0,
39989,310,11327,0,9,87,0,
