PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
219830,292071,15258,0,13,92489,550,139924066649680,139924069382640,
212600,292307,15258,0,13,92626,550,139924066649680,139924069382640,
209563,292287,15258,0,13,92624,550,139924066649680,139924069382640,
206317,292298,15258,0,13,92625,550,139924066649680,139924069382640,
205844,292309,15258,0,13,92626,550,139924066649680,139924069382640,
205336,292307,15258,0,13,92626,550,139924066649680,139924069382640,
215401,292308,19655,0,14,93919,550,139924066649680,139924069382640,
203321,292309,15258,0,13,92626,550,139924066649680,139924069382640,
201627,292290,15258,0,13,92624,550,139924066649680,139924069382640,
202237,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202983,292298,15258,0,13,92625,550,139924066649680,139924069382640,
201840,292071,15258,0,13,92489,550,139924066649680,139924069382640,
202008,292298,15258,0,13,92625,550,139924066649680,139924069382640,
202658,292290,15258,0,13,92624,550,139924066649680,139924069382640,
204567,292059,15258,0,13,92485,550,139924066649680,139924069382640,
203048,292307,15258,0,13,92626,550,139924066649680,139924069382640,
202792,292257,15258,0,13,92621,550,139924066649680,139924069382640,
202469,292296,15258,0,13,92625,550,139924066649680,139924069382640,
204130,292298,15258,0,13,92625,550,139924066649680,139924069382640,
202069,292296,15258,0,13,92625,550,139924066649680,139924069382640,
201862,292287,15258,0,13,92624,550,139924066649680,139924069382640,
202436,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202039,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202315,292301,15258,0,13,92625,550,139924066649680,139924069382640,
201712,292285,15258,0,13,92624,550,139924066649680,139924069382640,
201561,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202180,292309,15258,0,13,92626,550,139924066649680,139924069382640,
201438,292309,15258,0,13,92626,550,139924066649680,139924069382640,
201726,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202417,292298,15258,0,13,92625,550,139924066649680,139924069382640,
202023,292309,15258,0,13,92626,550,139924066649680,139924069382640,
201851,292309,15258,0,13,92626,550,139924066649680,139924069382640,
201872,292309,15258,0,13,92626,550,139924066649680,139924069382640,
201273,292050,15258,0,13,92484,550,139924066649680,139924069382640,
201453,292309,15258,0,13,92626,550,139924066649680,139924069382640,
200598,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202625,292290,15258,0,13,92624,550,139924066649680,139924069382640,
201509,292309,15258,0,13,92626,550,139924066649680,139924069382640,
203268,292298,15258,0,13,92625,550,139924066649680,139924069382640,
201826,292290,15258,0,13,92624,550,139924066649680,139924069382640,
202702,292309,15258,0,13,92626,550,139924066649680,139924069382640,
200476,292298,15258,0,13,92625,550,139924066649680,139924069382640,
202766,292287,15258,0,13,92624,550,139924066649680,139924069382640,
202723,292298,15258,0,13,92625,550,139924066649680,139924069382640,
202011,292307,15258,0,13,92626,550,139924066649680,139924069382640,
201733,292307,15258,0,13,92626,550,139924066649680,139924069382640,
202930,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202840,292309,15258,0,13,92626,550,139924066649680,139924069382640,
202905,292760,15258,0,13,92738,550,139924066649680,139924069382640,
201593,292307,15258,0,13,92626,550,139924066649680,139924069382640,
202076,292771,15258,0,13,92739,550,139924066649680,139924069382640,
202514,292285,15258,0,13,92624,550,139924066649680,139924069382640,
203610,292300,15258,0,13,92626,550,139924066649680,139924069382640,
205599,292298,15258,0,13,92625,550,139924066649680,139924069382640,
203913,292309,15258,0,13,92626,550,139924066649680,139924069382640,
204533,292309,15258,0,13,92626,550,139924066649680,139924069382640,
203198,292296,15258,0,13,92625,550,139924066649680,139924069382640,
203893,292307,15258,0,13,92626,550,139924066649680,139924069382640,
202954,292307,15258,0,13,92626,550,139924066649680,139924069382640,
201974,292307,15258,0,13,92626,550,139924066649680,139924069382640,
203902,292307,15258,0,13,92626,550,139924066649680,139924069382640,
202867,292298,15258,0,13,92625,550,139924066649680,139924069382640,
