PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
33106271,78291730,37459,4,15,3797,61,
33072592,81480954,40866,5,17,2112,26,
39675819,109509783,31646,5,19,3011,31,
46270597,96752259,39978,5,17,2944,36,
35530982,78300653,38610,5,13,3318,15,
33089700,78294521,38131,4,20,2606,15,
34386597,109551545,49778,5,14,2258,26,
46199037,109220385,39937,5,16,2953,22,
40884863,78307374,43170,5,19,3191,18,
33097432,78333548,33347,5,20,3277,18,
33091656,97746478,50585,5,17,2845,48,
46233111,109509556,34366,4,15,2258,48,
33823042,78361436,32653,5,13,3163,17,
33099558,78343826,40850,5,22,2593,17,
36051732,109509536,46020,5,14,2583,8,
46236554,105211646,36806,5,17,3059,24,
39063389,78280220,31901,4,13,2943,25,
33086099,91713171,39930,5,19,2292,12,
44004432,109509378,31573,5,17,3017,25,
46230769,86094169,41293,5,19,2899,28,
33094610,78278273,46806,5,13,3835,23,
33058429,79375814,39656,5,19,2385,11,
46184684,109547557,26495,4,15,2227,18,
41709511,78331762,40684,5,17,3161,45,
33106897,78410169,38884,5,23,3826,32,
33070731,97723958,44213,5,15,2885,17,
46247545,109553935,26833,5,20,2454,29,
33813467,78296167,30896,4,13,3020,39,
33106921,78351194,40592,5,19,2546,20,
36111089,109464409,55782,5,15,2362,30,
46292813,105176785,43604,5,16,2956,34,
39203931,78309679,38621,5,13,3319,21,
33054237,91595735,39521,4,16,2073,11,
43932561,109509774,33156,5,18,2647,23,
46259381,86678573,32636,5,16,2565,24,
33114938,78357161,45761,5,16,3608,35,
33098184,79038268,41173,5,22,2116,26,
46253504,109553593,33789,5,17,3302,17,
41889169,78320380,34853,4,16,3127,23,
33077607,78322240,42407,5,19,3022,12,
33099825,97506408,44291,5,14,2894,15,
46243434,109509605,33400,5,17,2726,27,
34067176,78304253,37757,5,13,3037,42,
33098742,78297118,37600,5,28,2803,42,
33863347,109503440,37814,4,14,2083,15,
46226387,79223831,32177,5,16,2615,38,
33098792,78299641,46016,5,25,3694,51,
33096846,86423720,39644,5,20,2161,14,
41756982,109553579,41213,5,82,3032,35,
46205031,91702858,29263,4,14,2477,16,
33113673,78302134,42761,5,28,3253,40,
33078274,105418800,46765,5,16,2773,16,
46217011,109509754,26984,5,16,2561,28,
43845662,78277095,36768,5,19,3133,16,
33096096,78354374,34925,5,23,3154,20,
39246491,109509092,45167,4,12,2571,41,
46255737,97796171,44576,5,18,2698,41,
36010333,78318294,35897,5,11,3105,41,
33119674,78326391,51069,5,20,2843,42,
33896689,109552456,40855,5,14,2643,41,
46227358,79184192,39336,4,15,2541,55,
33087451,78293514,40023,5,13,3541,38,
33099527,86338241,46964,5,18,2056,27,
41734414,109504924,32433,5,17,2750,36,
46250290,91938887,44094,5,20,2667,25,
33093619,78360881,33514,5,29,3385,23,
33086696,105032982,49106,4,16,2533,31,
46238803,109554112,26837,5,19,2207,14,
43920183,78343572,43106,5,20,3359,49,
33092302,78351115,33043,5,24,3235,9,
39190345,109505057,46409,5,15,2350,16,
46240583,97820198,33904,4,19,3061,16,
35999962,78273981,32390,5,19,3341,49,
33094842,78309387,40475,5,20,2644,19,
33910794,109554115,42370,5,18,2435,26,
46220359,79103285,32164,5,23,2355,11,
33074070,78317770,39652,5,18,3730,20,
33075029,86717294,40344,4,18,1891,31,
41858379,109553309,31548,5,19,2922,26,
46231722,91455813,32175,5,19,2366,41,
33051522,78266872,35947,5,20,3129,7,
33066361,105512763,52385,5,16,3204,48,
46229001,109508788,23896,4,17,2084,17,
43787578,78299165,46310,5,16,3056,12,
33086031,78294845,35631,5,19,3097,1,
39316914,109507361,45948,5,15,2535,11,
46245027,97561043,39849,5,16,2791,25,
35850555,78283175,38883,5,14,3530,32,
33069379,78311963,38549,4,19,2651,34,
34115950,109553229,46028,5,15,2402,26,
46227646,78751678,35327,5,16,2604,33,
33090089,78316702,43293,5,14,3583,10,
33089606,87017055,39770,5,19,2076,17,
42007757,109509728,46952,5,25,3129,32,
46226834,91251972,29383,4,15,2450,29,
33096295,78319767,42823,5,19,3030,16,
33087284,105582166,45762,5,17,3184,17,
46242345,109509074,36060,5,17,2923,26,
43808163,78359785,43978,5,18,2855,35,
33077219,78321037,34187,4,17,2900,16,
39352314,109509658,42366,5,16,2400,8,
46231625,97381063,40057,5,17,2689,29,
35854035,78310790,35287,5,12,3254,28,
33086562,78284559,37797,5,21,2907,33,
34033365,109508353,43629,4,17,2126,57,
46243310,79021092,35955,5,16,2594,16,
33093354,78299689,36917,5,15,3423,15,
33128110,85687603,49820,5,22,2204,54,
41426423,109508460,35606,5,17,2837,28,
46240352,92475047,34009,5,19,2459,23,
33092598,78313608,36508,4,18,2938,17,
33123215,104260259,60257,5,47,2788,151,
46230508,109509408,27492,5,16,2432,19,
44370573,78311214,40784,5,17,3299,38,
33114110,78336243,40687,5,20,3288,35,
38774761,109554097,40204,4,15,2389,30,
46272254,98930785,54294,5,22,2911,67,
36528179,78335090,32871,5,14,3188,57,
33097971,78278329,47496,5,19,2563,34,
33437363,109420687,39778,5,16,2791,24,
46257107,80161021,42355,5,17,2413,43,
33113440,78362943,37620,4,12,3390,26,
33011946,85682649,47071,5,17,2027,14,
41416037,109509504,33972,5,19,2725,31,
46291720,92505912,49383,5,17,2462,48,
33077877,78291620,33211,5,20,3065,10,
33125057,104412118,50623,4,16,2646,20,
46217738,109509854,26877,5,16,2218,9,
44376581,78316356,46243,5,16,3503,31,
33034295,78210533,33279,5,19,3011,11,
38762199,109554193,46381,5,15,2404,22,
46266265,98827934,37694,5,18,3167,21,
36446276,78314738,29389,4,13,3088,63,
33154396,78333958,49555,5,25,3142,37,
33259232,109509264,39786,5,17,2264,11,
46196540,80595716,32548,5,21,2318,15,
33116969,78371610,42532,5,14,3585,7,
33033141,85130905,37301,4,18,1929,15,
41229686,109503766,31364,5,19,2780,30,
46228424,93068591,35144,5,19,2421,27,
33055013,78270026,33211,5,18,3305,1,
33068166,103902307,45127,5,15,2991,20,
46240493,109509614,27671,5,22,2533,38,
44448278,78312628,43390,4,17,3094,27,
33067659,78297243,33211,5,19,3005,9,
38654370,109462500,46191,5,14,2283,7,
46224169,99118807,40152,5,18,2805,19,
36519134,78375251,38733,5,13,3416,14,
33074152,78305230,38247,4,22,2639,22,
33429255,109554124,48749,5,15,2291,23,
46211942,80293227,32386,5,15,2643,19,
33095087,78350719,43272,5,17,3482,21,
33068865,85424031,42543,5,20,2179,14,
41348081,109506710,41846,5,16,2780,13,
46202583,92733654,29369,4,14,2408,16,
33090784,78342088,42752,5,18,2956,2,
33091560,104058459,44408,5,14,2977,25,
46254810,109508721,33697,5,16,2749,17,
44484747,78510711,43765,5,21,3699,70,
33099697,78326969,42954,5,23,3869,35,
38588141,109509853,37846,4,14,2251,21,
46248907,99327655,38297,5,17,2779,44,
36603618,78318939,36281,5,13,3213,48,
33097121,78295151,38212,5,20,2833,44,
33334360,109507790,40906,5,16,2460,26,
46239727,80435582,34937,4,16,2552,29,
33088122,78280821,36877,5,24,3399,19,
33095768,78325249,40763,5,19,2422,28,
38072705,109509845,49680,5,20,2512,26,
46248995,100422070,36925,5,18,3003,12,
37051038,78283496,35753,4,13,2826,23,
33072057,78289723,40759,5,18,2957,14,
33074228,108990359,51176,5,14,2872,20,
46235419,109508888,26913,5,16,2649,18,
42359475,78289035,44013,5,19,3590,33,
33043365,78260294,33633,5,20,3042,8,
33087226,96800514,48002,4,15,2655,25,
46102686,109509124,31442,5,18,2724,34,
46247792,81502861,38778,5,16,2808,25,
33090346,78322352,36900,5,14,3477,13,
33066801,84221941,46189,5,19,2185,16,
40864848,109420619,33928,4,17,2933,20,
46272439,93826634,43289,5,17,2952,20,
34185571,78304370,32353,5,13,3213,13,
33101423,78338972,47262,5,21,2767,12,
35748223,109552855,48017,5,18,2871,49,
46247088,106000310,43602,5,19,3303,24,
39389238,78257938,29391,4,11,2835,26,
33014257,91039373,39776,5,19,2095,7,
43746677,109464566,31367,5,19,2655,26,
46188709,86921021,32360,5,17,2348,8,
33103159,78361469,42462,5,12,3667,3,
33059056,78948333,36832,4,18,2016,16,
46217597,109509671,26887,5,16,2243,7,
41870234,78341686,49872,5,18,3476,40,
33053428,78269826,33203,5,18,3145,4,
33088589,97702705,45413,5,17,2794,24,
46241118,109505256,29791,5,17,2484,24,
33919981,78297656,29599,4,11,2885,14,
33074778,78286915,47217,5,21,2464,15,
36057923,109553929,39706,5,15,2267,14,
46254493,105232808,43646,5,18,2994,35,
39177772,78350776,32322,5,20,3368,38,
33065999,91477532,50461,4,18,1712,38,
43881191,109506870,33930,5,20,2892,24,
46244589,86810385,38846,5,15,2706,11,
33063665,78301080,36838,5,16,3543,6,
