PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
92009,110108,10266,0,10,78,0,
37701,108646,11327,0,9,74,7,
87924,310,11327,0,9,86,7,
89118,110007,8156,0,9,93,5,
87674,108647,11405,0,4,98,5,
86286,108642,11405,0,9,7,2,
101654,110043,14333,1,12,7,6,
86643,108669,11405,0,9,82,0,
37010,108470,11327,0,9,86,1,
87355,310,11327,0,9,88,8,
87671,108646,8156,0,9,103,5,
87399,108632,11405,0,4,99,5,
86135,107283,11405,0,4,78,3,
95183,108478,14333,1,10,7,3,
85818,107278,11405,0,9,74,0,
36120,108673,11327,0,9,75,4,
87278,310,11327,0,9,91,6,
88609,108470,8156,0,9,102,7,
49201,108492,11327,0,9,98,5,
36143,108478,20643,1,10,291,11,
89118,108613,11405,0,4,104,6,
87037,108661,11405,0,9,7,4,
86879,110058,11405,0,9,88,0,
86025,310,11327,0,9,85,3,
87289,110060,8156,0,9,105,1,
86526,108470,8156,0,9,106,3,
36124,108672,14255,1,10,258,5,
86941,108612,11405,0,4,101,4,
86271,108502,11405,0,9,7,2,
85863,107269,11405,0,9,85,0,
86815,310,11327,0,9,84,3,
86896,310,11327,0,9,98,2,
96746,108650,8156,1,11,269,4,
36055,108581,11327,0,10,95,4,
87257,108651,11405,0,4,110,3,
86727,108558,11405,0,9,7,3,
87531,108665,11405,0,9,76,0,
86790,108646,11405,0,9,89,0,
88135,310,11327,0,10,97,8,
96813,108464,8156,1,11,265,6,
36163,107252,11327,0,9,94,7,
87205,108625,11405,0,4,100,5,
85938,107280,11405,0,9,7,5,
86912,108670,11405,0,9,7,3,
87756,110049,11405,0,9,79,0,
96742,310,14255,1,10,242,7,
87376,108683,8156,0,9,107,2,
36117,108484,11327,0,9,106,7,
87852,108680,11405,0,4,104,3,
86225,108667,11405,0,4,84,4,
87839,110019,11405,0,9,7,5,
87227,108570,11405,0,9,82,0,
95089,310,14255,1,10,242,4,
88692,108658,8156,0,9,101,8,
36112,111411,11327,0,9,96,7,
36160,108477,11327,0,9,101,4,
87301,108670,11405,0,4,97,5,
86994,108670,11405,0,9,11,8,
88066,108617,11405,0,9,82,0,
96877,310,14255,1,11,235,3,
87054,107278,8156,0,9,112,7,
36167,108661,11327,0,9,97,8,
36032,108631,11327,0,9,93,5,
87873,108643,11405,0,4,109,7,
87603,108529,11405,0,9,7,6,
85394,108463,11405,0,9,76,0,
104512,310,20771,1,10,342,21,
88116,108680,8156,0,9,102,7,
86405,108649,8156,0,9,109,2,
36198,108676,11327,0,9,94,4,
85860,108477,11405,0,4,100,3,
85260,107091,11405,0,9,7,2,
95073,108668,14333,1,10,238,0,
87924,310,11327,0,9,85,6,
87904,310,11327,0,9,110,7,
88110,108587,8156,0,9,101,5,
36133,107288,11327,0,9,88,2,
87355,108498,11405,0,4,100,8,
95693,108578,14333,1,10,7,4,
87140,108650,11405,0,9,78,0,
85739,107280,11405,0,9,82,0,
86511,310,11327,0,9,83,8,
87030,108659,8156,0,9,104,1,
36121,108470,11327,0,9,101,5,
86471,107080,11405,0,4,106,9,
100727,107073,20705,1,10,7,3,
87396,108652,11405,0,9,7,7,
87075,107232,11405,0,9,85,0,
86768,310,11327,0,9,89,4,
87758,108598,8156,0,9,112,7,
36258,108678,11327,0,9,95,2,
96096,108678,14333,1,4,273,6,
86261,108667,11405,0,4,82,4,
87565,108477,11405,0,9,7,8,
86642,107280,11405,0,9,86,0,
86682,310,11327,0,9,84,2,
88266,108604,8156,0,9,111,5,
36089,108632,11327,0,9,98,5,
47496,110037,18479,1,10,474,6,
36122,110064,11327,0,9,99,6,
87380,108615,11405,0,4,107,8,
88034,108638,11405,0,9,7,6,
87860,108662,11405,0,9,80,0,
85784,310,11327,0,9,89,3,
96709,109878,8156,1,10,258,8,
88379,108664,8156,0,9,100,7,
36115,108470,11327,0,9,102,4,
86594,108683,11405,0,4,102,2,
87454,109873,11405,0,9,7,8,
85646,107103,11405,0,9,76,0,
86328,310,11327,0,9,90,2,
96861,310,14255,1,12,266,3,
86275,107098,8156,0,9,101,2,
36117,109978,11327,0,10,104,9,
87143,108658,11405,0,4,112,6,
87270,108655,11405,0,9,7,5,
85525,108477,11405,0,9,76,0,
85057,105901,11405,0,9,81,0,
98184,310,14333,1,10,235,5,
88706,110034,8156,0,9,103,5,
36069,110046,11327,0,9,99,4,
88148,108654,11405,0,4,108,5,
87641,108673,11405,0,9,7,4,
86173,108677,11405,0,9,7,3,
95347,108675,14336,1,11,230,0,
87404,310,11327,0,9,80,2,
87358,108578,8156,0,9,102,6,
36079,107197,11327,0,9,98,3,
87658,107210,11405,0,4,106,5,
85640,108470,11405,0,4,89,3,
86793,108654,11405,0,9,7,3,
86036,108654,11405,0,9,85,0,
96195,310,14255,1,10,234,6,
87224,108643,8156,0,9,108,6,
36211,108470,11327,0,9,102,5,
36053,108665,11327,0,9,92,2,
97361,108559,14333,1,4,266,9,
87562,110038,11405,0,9,7,3,
87460,108542,11405,0,9,81,0,
87546,310,11327,0,9,80,8,
86937,108657,8156,0,10,108,5,
36140,110063,11327,0,9,104,5,
36118,107278,11327,0,9,96,5,
86306,108652,11405,0,4,111,1,
102729,108632,20705,1,10,8,7,
86838,108658,11405,0,9,83,0,
87736,310,11327,0,9,83,6,
87729,107215,8156,0,9,102,7,
86734,108685,8156,0,9,101,3,
36118,107258,11327,0,9,99,7,
88307,108660,11405,0,4,107,5,
95049,107238,14333,1,10,7,4,
88127,108660,11405,0,9,90,0,
87315,310,11327,0,9,90,6,
86265,310,11327,0,9,102,2,
87436,110048,8156,0,9,100,2,
36218,108676,11327,0,9,100,5,
96853,107193,14333,1,4,267,6,
86606,108679,11405,0,9,7,5,
88071,109999,11405,0,9,77,0,
87295,109987,11405,0,9,87,0,
86557,310,11327,0,9,75,6,
88695,108504,8156,0,9,102,5,
36160,108657,11327,0,9,88,8,
87075,108606,11405,0,4,109,7,
98124,110044,14333,1,10,7,5,
86724,108616,11405,0,9,6,4,
87637,108628,11405,0,9,88,0,
87445,310,11327,0,9,90,1,
87262,110060,8156,0,9,105,3,
36183,108642,14255,1,11,266,9,
87753,108641,11405,0,4,103,7,
87825,107137,11405,0,4,84,5,
86503,108625,11405,0,9,8,3,
87182,108607,11405,0,9,84,0,
87613,310,11327,0,9,91,8,
88359,109945,8156,0,9,108,4,
36210,108637,14258,1,10,253,3,
87735,110070,11405,0,4,105,6,
87507,108678,11405,0,4,91,3,
86439,108665,11405,0,9,7,2,
85332,107081,11405,0,9,87,0,
86881,310,11327,0,9,81,3,
97460,108548,8156,1,11,267,6,
36231,108663,11327,0,9,106,8,
36080,107261,11327,0,9,98,4,
89043,109983,11405,0,4,103,7,
85987,108470,11405,0,9,7,3,
87850,108593,11405,0,9,77,0,
86738,310,11327,0,9,85,5,
97129,108591,8156,1,11,278,7,
87271,108669,8156,0,9,107,6,
36172,108579,11327,0,9,97,4,
86898,108470,11405,0,4,111,4,
85584,107279,11405,0,9,7,2,
86685,108470,11405,0,9,80,0,
97193,310,14255,1,11,245,5,
86955,310,11327,0,9,105,5,
87306,108511,8156,0,9,89,7,
36138,108649,11327,0,9,94,5,
87259,108656,11405,0,4,112,5,
85776,108684,11405,0,9,8,3,
86154,108681,11405,0,9,89,0,
95762,108626,14333,1,10,240,0,
87811,310,11327,0,9,90,6,
87408,108686,8156,0,9,106,2,
36139,108641,11327,0,9,93,4,
85580,107280,11405,0,4,104,2,
85408,105923,11405,0,9,7,5,
87128,108673,11405,0,9,7,8,
96708,108580,14333,1,10,239,0,
86865,310,11327,0,9,84,3,
87688,108664,8156,0,9,106,7,
36177,108662,11327,0,9,93,4,
95150,108667,14333,1,4,261,3,
87242,108651,11405,0,9,7,5,
86622,108652,11405,0,9,7,4,
86205,108657,11405,0,9,86,0,
85991,310,11327,0,9,87,3,
87255,108632,8156,0,9,100,4,
36152,108653,11327,0,9,98,3,
88000,109865,11405,0,4,110,5,
87576,108648,11405,0,4,87,4,
96596,110050,14333,1,11,7,4,
85918,107081,11405,0,9,80,0,
86880,310,11327,0,9,84,7,
86942,108663,8156,0,9,109,3,
36221,108628,11327,0,9,91,3,
37082,108670,14255,1,10,255,5,
87049,109873,11405,0,4,110,4,
87461,110060,11405,0,9,8,6,
86307,108647,11405,0,9,80,0,
88422,310,11327,0,9,87,6,
87627,108477,8156,0,9,93,7,
87224,108658,8156,0,9,105,5,
36124,108644,11327,0,9,107,2,
86151,108669,11405,0,4,111,1,
102127,108605,14785,1,10,7,17,
87682,110078,11405,0,9,82,0,
87399,310,11327,0,9,88,3,
86090,310,11327,0,9,109,2,
96174,108478,8156,1,11,269,8,
36102,108656,11327,0,9,93,6,
88657,108664,11405,0,4,107,5,
85553,107291,11405,0,9,7,2,
87221,108614,11405,0,9,79,0,
86586,108646,11405,0,10,84,0,
85627,310,11327,0,9,82,1,
87138,108620,8156,0,9,109,1,
36157,108471,14255,1,10,261,5,
88207,108668,11405,0,4,108,8,
88307,108577,11405,0,9,7,7,
48014,108556,11327,0,9,72,2,
36021,109953,11327,0,9,97,5,
96862,108564,14333,1,10,265,0,
89940,310,11327,0,9,80,7,
87327,108484,8156,0,9,103,5,
87672,108674,11405,0,4,107,9,
87735,108672,11405,0,9,7,8,
85798,108675,11405,0,9,7,0,
35951,108627,11327,0,9,86,1,
87512,108624,11405,0,9,84,0,
98571,310,14704,1,10,256,9,
87955,108668,8156,0,9,98,7,
86985,108660,11405,0,4,105,5,
87004,108654,11405,0,4,82,5,
86000,108691,11405,0,9,8,3,
39553,108649,11327,0,9,76,7,
87498,108647,11405,0,9,76,0,
103354,310,20627,1,12,284,7,
88066,108571,8156,0,9,98,9,
86674,108663,8156,0,9,97,2,
86903,108491,11405,0,4,104,6,
87071,108615,11405,0,9,8,4,
36002,108597,11327,0,9,85,0,
96593,110038,14333,1,12,236,0,
88236,310,11327,0,9,84,5,
87019,105799,8156,0,9,99,6,
88850,108637,8156,0,9,100,9,
86186,108509,11405,0,4,105,2,
86172,108658,11405,0,9,7,2,
36048,108478,14255,1,10,227,5,
87782,108627,11405,0,9,80,0,
87149,310,11327,0,9,82,7,
85921,310,11327,0,9,106,2,
87677,108548,8156,0,9,101,3,
85864,108681,11405,0,4,107,2,
86544,108535,11405,0,9,7,2,
35992,110041,14255,1,13,239,3,
87803,108676,11405,0,9,81,0,
86669,108612,11405,0,9,93,0,
86696,310,11327,0,9,83,5,
87025,108670,8156,0,9,103,5,
86738,108651,11405,0,4,115,4,
88973,111377,11405,0,9,7,6,
35933,108671,14255,1,10,238,5,
35896,110078,11327,0,9,74,2,
86700,108670,11405,0,10,102,0,
86685,310,11327,0,9,87,3,
87809,107206,8156,0,9,94,6,
96884,108549,14333,1,4,267,6,
88798,110058,11405,0,9,8,9,
86844,108478,11405,0,9,8,4,
35976,108663,11327,0,9,83,8,
86602,108512,11405,0,9,84,0,
88985,310,11327,0,9,81,8,
88091,109856,8156,0,9,98,8,
95119,108672,14333,1,4,266,3,
110473,108685,22608,0,9,202,14,
86305,108663,11405,0,9,6,5,
36047,108630,11327,0,9,78,3,
87861,108513,11405,0,9,82,0,
87166,310,11327,0,9,76,5,
88665,108640,8156,0,9,106,9,
87611,108614,11405,0,4,103,5,
96578,108599,14336,1,4,228,5,
87095,108658,11405,0,9,7,6,
36028,108644,11327,0,9,75,9,
86445,108683,11405,0,9,86,0,
96533,310,14255,1,11,241,5,
88136,110066,8156,0,9,100,5,
87323,110057,8156,0,9,97,5,
87460,107220,11405,0,4,109,6,
86525,108675,11405,0,9,7,4,
35919,108650,11327,0,9,75,7,
88210,108673,11405,0,9,83,0,
87696,310,11327,0,9,76,6,
85799,310,11327,0,9,112,1,
112203,108626,8156,1,12,418,17,
87664,110031,11405,0,4,107,8,
88181,108494,11405,0,9,8,8,
36033,109897,11327,0,9,72,4,
87342,110075,11405,0,9,85,0,
