PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
16175,1395,12225,0,2969,23,
13304,771,12225,0,2783,6,
12967,765,12225,0,2781,7,
13084,761,12225,0,2780,6,
12962,771,12225,0,2783,6,
13191,756,12225,0,2778,7,
12869,756,12225,0,2778,5,
14063,762,12225,0,2778,9,
12936,756,12225,0,2778,7,
12941,765,12225,0,2781,5,
13152,762,12225,0,2778,6,
13414,769,12225,0,2779,6,
13124,771,12225,0,2783,7,
13093,765,12225,0,2781,5,
12917,756,12225,0,2778,5,
12993,765,12225,0,2781,5,
12936,765,12225,0,2781,5,
12958,765,12225,0,2781,6,
12994,756,12225,0,2778,6,
12990,756,12225,0,2778,6,
12999,771,12225,0,2783,8,
13006,761,12225,0,2780,5,
13133,765,12225,0,2781,8,
13084,756,12225,0,2778,5,
12951,756,12225,0,2778,6,
13061,771,12225,0,2783,7,
13209,769,12225,0,2779,6,
12966,765,12225,0,2781,6,
13072,771,12225,0,2783,6,
13018,771,12225,0,2783,6,
12955,761,12225,0,2780,7,
13012,771,12225,0,2783,5,
13049,771,12225,0,2783,8,
20886,932,18227,1,4415,214,
12866,765,12225,0,2781,7,
13185,769,12225,0,2779,8,
12952,771,12225,0,2783,5,
12988,771,12225,0,2783,6,
12961,771,12225,0,2783,6,
13006,756,12225,0,2778,6,
12905,756,12225,0,2778,6,
12889,765,12225,0,2781,5,
12958,765,12225,0,2781,5,
13017,771,12225,0,2783,6,
13055,756,12225,0,2778,7,
12942,771,12225,0,2783,5,
12886,756,12225,0,2778,6,
12977,771,12225,0,2783,4,
12912,771,12225,0,2783,5,
12969,756,12225,0,2778,5,
13034,771,12225,0,2783,8,
13036,762,12225,0,2778,9,
13025,761,12225,0,2780,5,
12984,771,12225,0,2783,5,
13000,761,12225,0,2780,8,
13087,771,12225,0,2783,8,
13076,762,12225,0,2778,10,
12924,771,12225,0,2783,6,
13007,771,12225,0,2783,7,
16608,772,15537,1,3649,139,
12911,771,12225,0,2783,6,
12917,771,12225,0,2783,7,
13086,765,12225,0,2781,5,
13061,765,12225,0,2781,4,
13085,756,12225,0,2778,7,
12968,765,12225,0,2781,6,
12933,771,12225,0,2783,7,
13048,771,12225,0,2783,5,
13058,756,12225,0,2778,4,
12964,756,12225,0,2778,5,
12987,771,12225,0,2783,5,
12973,765,12225,0,2781,5,
12995,771,12225,0,2783,8,
