PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
36868,1736,9869,0,2930,149,
36454,1736,9869,0,2930,155,
36081,1736,9869,0,2930,157,
36309,1736,9869,0,2930,158,
35927,1736,9869,0,2930,171,
36040,1736,9869,0,2930,161,
35948,1736,9869,0,2930,166,
35900,1736,9869,0,2930,162,
35837,1736,9869,0,2930,158,
35960,1736,9869,0,2930,159,
35868,1736,9869,0,2930,145,
36491,1736,9869,0,2930,152,
35796,1736,9869,0,2930,157,
35821,1736,9869,0,2930,171,
35841,1736,9869,0,2930,168,
35819,1736,9869,0,2930,167,
35809,1736,9869,0,2930,163,
35780,1736,9869,0,2930,167,
36155,1736,9869,0,2930,161,
35769,1736,9869,0,2930,158,
36001,1736,9869,0,2930,155,
35874,1736,9869,0,2930,160,
36253,1736,9869,0,2930,155,
36203,1736,9869,0,2930,158,
35855,1736,9869,0,2930,163,
35844,1736,9869,0,2930,165,
35812,1736,15898,0,4695,391,
35847,1736,9869,0,2930,160,
35878,1736,9869,0,2930,159,
36084,1736,9869,0,2930,167,
35893,1736,9869,0,2930,154,
35821,1736,9869,0,2930,154,
35911,1736,9869,0,2930,152,
36067,1736,9869,0,2930,163,
35944,1736,9869,0,2930,154,
35923,1736,9869,0,2930,169,
36098,1736,9869,0,2930,167,
35871,1736,9869,0,2930,170,
35907,1736,9869,0,2930,161,
35780,1736,9869,0,2930,161,
35921,1736,9869,0,2930,158,
36014,1736,9869,0,2930,156,
35801,1736,9869,0,2930,144,
36032,1736,9869,0,2930,153,
35870,1736,9869,0,2930,158,
36887,1736,9869,0,2930,156,
35905,1736,9869,0,2930,166,
35835,1736,9869,0,2930,164,
35794,1736,9869,0,2930,164,
35735,1736,9869,0,2930,158,
35912,1736,9869,0,2930,160,
36163,1736,9869,0,2930,161,
36045,1736,9869,0,2930,157,
35941,1736,9869,0,2930,154,
35979,1745,9869,0,2933,157,
36332,1736,9869,0,2930,157,
36064,1736,9869,0,2930,168,
36012,1736,9869,0,2930,159,
35830,1736,9869,0,2930,167,
35892,1736,9869,0,2930,163,
35824,1736,9869,0,2930,162,
35774,1736,9869,0,2930,166,
36175,1736,9869,0,2930,157,
36066,1736,9869,0,2930,154,
35862,1736,9869,0,2930,147,
35801,1736,9869,0,2930,155,
36265,1736,9869,0,2930,157,
36342,1736,9869,0,2930,164,
35836,1736,9869,0,2930,158,
35903,1736,9869,0,2930,169,
35712,1736,9869,0,2930,163,
35997,1736,9869,0,2930,164,
35926,1736,9869,0,2930,161,
35825,1736,9869,0,2930,157,
35966,1736,9869,0,2930,149,
36383,1736,9869,0,2930,149,
35868,1736,9869,0,2930,153,
35886,1736,9869,0,2930,152,
35786,1736,9869,0,2930,169,
35791,1736,9869,0,2930,164,
35844,1736,9869,0,2930,165,
36034,1736,9869,0,2930,163,
35922,1736,9869,0,2930,155,
35818,1736,9869,0,2930,170,
35959,1736,9869,0,2930,156,
36066,1736,9869,0,2930,149,
36016,1736,9869,0,2930,155,
35971,1736,9869,0,2930,157,
35936,1736,9869,0,2930,158,
35922,1736,9869,0,2930,164,
35770,1736,9869,0,2930,164,
35865,1736,9869,0,2930,161,
35840,1736,9869,0,2930,158,
35822,1736,9869,0,2930,163,
35896,1736,9869,0,2930,163,
35827,1736,9869,0,2930,160,
36142,1736,9869,0,2930,157,
35972,1736,9869,0,2930,155,
35876,1736,9869,0,2930,147,
35853,1736,9869,0,2930,169,
35806,1736,9869,0,2930,164,
35858,1736,9869,0,2930,174,
35831,1736,9869,0,2930,166,
35921,1736,9869,0,2930,162,
35782,1736,9869,0,2930,159,
35709,1736,9869,0,2930,153,
36065,1736,9869,0,2930,153,
36017,1736,9869,0,2930,153,
35957,1736,9869,0,2930,158,
35896,1736,9869,0,2930,158,
35851,1736,9869,0,2930,172,
35939,1736,9869,0,2930,166,
36006,1736,9869,0,2930,166,
35813,1736,9869,0,2930,164,
35743,1736,9869,0,2930,164,
35861,1736,9869,0,2930,167,
35809,1736,9869,0,2930,153,
35993,1736,9869,0,2930,147,
36074,1736,9869,0,2930,150,
36027,1736,9869,0,2930,149,
35918,1736,9869,0,2930,161,
35787,1736,9869,0,2930,165,
35820,1736,9869,0,2930,165,
36055,1736,9869,0,2930,168,
35944,1736,9869,0,2930,162,
35762,1736,9869,0,2930,160,
35909,1736,9869,0,2930,156,
36134,1736,9869,0,2930,161,
35949,1736,9869,0,2930,152,
36022,1736,9869,0,2930,163,
36102,1736,9869,0,2930,157,
36095,1736,9869,0,2930,162,
35893,1736,9869,0,2930,163,
35926,1736,9869,0,2930,163,
35817,1736,9869,0,2930,156,
35931,1736,9869,0,2930,157,
35897,1736,9869,0,2930,162,
35986,1736,9869,0,2930,156,
35888,1736,9869,0,2930,150,
37079,1736,9869,0,2930,153,
36294,1736,9869,0,2930,157,
35818,1736,9869,0,2930,154,
35937,1736,9869,0,2930,169,
35781,1736,9869,0,2930,165,
35882,1736,9869,0,2930,163,
35813,1736,9869,0,2930,160,
35787,1736,9869,0,2930,162,
35815,1736,9869,0,2930,156,
35911,1736,9869,0,2930,155,
35980,1736,9869,0,2930,145,
36013,1736,9869,0,2930,147,
35825,1736,9869,0,2930,162,
36017,1736,9869,0,2930,154,
35956,1736,9869,0,2930,163,
36003,1736,9869,0,2930,164,
35943,1736,9869,0,2930,172,
35918,1736,9869,0,2930,157,
35954,1736,9869,0,2930,166,
35873,1736,9869,0,2930,165,
35852,1736,9869,0,2930,156,
35894,1736,9869,0,2930,150,
35903,1736,9869,0,2930,155,
35980,1736,9869,0,2930,158,
36027,1736,9869,0,2930,163,
35799,1736,9869,0,2930,163,
35821,1736,9869,0,2930,163,
35874,1736,9869,0,2930,169,
35947,1736,9869,0,2930,159,
35837,1736,9869,0,2930,158,
35801,1736,9869,0,2930,159,
35904,1736,9869,0,2930,153,
35826,1736,9869,0,2930,151,
35903,1736,9869,0,2930,154,
36019,1736,9869,0,2930,164,
35739,1736,9869,0,2930,165,
35821,1736,9869,0,2930,166,
35771,1736,9869,0,2930,168,
35763,1736,9869,0,2930,163,
35978,1736,9869,0,2930,164,
35910,1736,9869,0,2930,167,
35839,1736,9869,0,2930,155,
36010,1736,9869,0,2930,143,
35965,1736,9869,0,2930,156,
35842,1736,9869,0,2930,158,
35923,1736,9869,0,2930,172,
35753,1736,9869,0,2930,174,
35760,1736,9869,0,2930,161,
35880,1736,9869,0,2930,163,
35738,1736,9869,0,2930,163,
35762,1736,9869,0,2930,163,
35865,1736,9869,0,2930,157,
36198,1736,9869,0,2930,162,
