PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
15488,2575,12117,0,3453,175,
14106,2042,12117,0,3277,123,
13525,1967,12117,0,3277,122,
13297,2066,12117,0,3280,126,
13110,1978,12117,0,3276,116,
13081,1993,12117,0,3278,124,
13049,2030,12117,0,3279,124,
13189,1954,12117,0,3276,114,
12767,1945,12117,0,3272,115,
12793,1945,12117,0,3272,122,
12622,1945,12117,0,3272,116,
13125,1944,12117,0,3272,117,
12457,1945,12117,0,3272,121,
12908,1944,12117,0,3272,124,
12580,1945,12117,0,3272,119,
12685,1945,12117,0,3272,120,
12812,1945,12117,0,3272,119,
12547,1944,12117,0,3272,120,
12972,1945,12117,0,3272,120,
12734,1944,12117,0,3272,116,
20407,1945,12117,0,3272,127,
12671,1945,12117,0,3272,117,
12613,1944,12117,0,3272,122,
12878,1944,12117,0,3272,120,
12625,1944,12117,0,3272,122,
13010,1945,12117,0,3272,116,
12635,1945,12117,0,3272,120,
12669,1944,12117,0,3272,120,
12598,1945,12117,0,3272,116,
12891,1945,12117,0,3272,120,
12511,1945,12117,0,3272,119,
12636,1944,12117,0,3272,121,
12712,1944,12117,0,3272,123,
12614,1944,12117,0,3272,122,
12697,1944,12117,0,3272,127,
13006,1944,12117,0,3272,123,
12992,1944,12117,0,3272,121,
13052,1945,12117,0,3272,120,
14733,1945,12117,0,3272,120,
13398,1945,12117,0,3272,117,
13043,1945,12117,0,3272,120,
12812,1944,12117,0,3272,120,
12858,1944,12117,0,3272,116,
13021,1945,12117,0,3272,124,
13200,1944,12117,0,3272,124,
12941,1944,12117,0,3272,122,
13311,1945,12117,0,3272,115,
13838,1944,12117,0,3272,117,
12969,1945,12117,0,3272,123,
23811,1944,19064,0,5193,135,
13189,1945,12117,0,3272,121,
13930,1945,12117,0,3272,119,
13411,1944,12117,0,3272,122,
12872,1945,12117,0,3272,123,
13384,1945,12117,0,3272,122,
13556,1944,12117,0,3272,121,
13249,1944,12117,0,3272,116,
13217,1945,12117,0,3272,119,
13322,1944,12117,0,3272,121,
13184,1945,12117,0,3272,120,
13485,1945,12117,0,3272,122,
13620,1945,12117,0,3272,123,
13205,1944,12117,0,3272,122,
13697,1944,12117,0,3272,124,
12953,1945,12117,0,3272,120,
13479,1945,12117,0,3272,120,
13350,1944,12117,0,3272,123,
14125,1945,12117,0,3272,120,
13509,1945,12117,0,3272,125,
13713,1944,12117,0,3272,126,
13135,1944,12117,0,3272,125,
14240,1945,12117,0,3272,121,
13951,1945,12117,0,3272,124,
12967,1945,12117,0,3272,117,
14919,1944,12117,0,3272,124,
13667,1945,12117,0,3272,117,
25294,1944,19371,0,5310,138,
14782,1945,12117,0,3272,121,
13485,1945,12117,0,3272,118,
13164,1945,12117,0,3272,127,
13559,1944,12117,0,3272,118,
13629,1945,12117,0,3272,120,
13779,1944,12117,0,3272,124,
13239,1945,12117,0,3272,123,
13187,1944,12117,0,3272,124,
13659,1945,12117,0,3272,123,
13874,1944,12117,0,3272,123,
13466,1945,12117,0,3272,124,
13800,1944,12117,0,3272,119,
13577,1944,12117,0,3272,123,
13413,1945,12117,0,3272,124,
13317,1944,12117,0,3272,122,
13449,1944,12117,0,3272,121,
14501,1944,12117,0,3272,122,
13403,1944,12117,0,3272,122,
13233,1944,12117,0,3272,120,
13124,1944,12117,0,3272,119,
13127,1944,12117,0,3272,125,
13354,1945,12117,0,3272,122,
13213,1945,12117,0,3272,122,
12979,1944,12117,0,3272,121,
12600,1945,12117,0,3272,121,
12893,1945,12117,0,3272,117,
12964,1944,12117,0,3272,115,
13099,1944,12117,0,3272,120,
12955,1945,12117,0,3272,120,
12962,1944,12117,0,3272,117,
13311,1945,12117,0,3272,126,
13014,1944,12117,0,3272,124,
13329,1945,12117,0,3272,116,
12730,1945,12117,0,3272,117,
13622,1945,12117,0,3272,122,
14282,1945,12117,0,3272,120,
13207,1944,12117,0,3272,123,
13353,1944,12117,0,3272,122,
13330,1944,12117,0,3272,122,
13744,1944,12117,0,3272,122,
13829,1945,12117,0,3272,123,
13613,1944,12117,0,3272,118,
13016,1945,12117,0,3272,121,
13053,1944,12117,0,3272,120,
12739,1945,12117,0,3272,122,
12877,1945,12117,0,3272,121,
13187,1945,12117,0,3272,121,
13205,1945,12117,0,3272,118,
13049,1944,12117,0,3272,116,
13260,1944,12117,0,3272,117,
14016,1944,12117,0,3272,125,
14572,1944,12117,0,3272,118,
13803,1945,12117,0,3272,125,
13478,1944,12117,0,3272,121,
13532,1944,12117,0,3272,128,
13125,1945,12117,0,3272,124,
13331,1944,12117,0,3272,121,
13249,1945,12117,0,3272,114,
14388,1944,12117,0,3272,130,
13565,1945,12117,0,3272,125,
14887,1944,12117,0,3272,118,
14646,1945,12117,0,3272,129,
13216,1945,12117,0,3272,116,
13281,1944,12117,0,3272,116,
14329,1944,12117,0,3272,126,
13567,1944,12117,0,3272,123,
13100,1945,12117,0,3272,125,
13840,1945,12117,0,3272,118,
14005,1945,12117,0,3272,124,
13461,1944,12117,0,3272,121,
13042,1945,12117,0,3272,123,
13281,1945,12117,0,3272,124,
13676,1944,12117,0,3272,125,
12857,1945,12117,0,3272,123,
12980,1945,12117,0,3272,119,
13206,1944,12117,0,3272,120,
13349,1945,12117,0,3272,121,
13257,1944,12117,0,3272,124,
13200,1944,12117,0,3272,124,
13480,1945,12117,0,3272,122,
13247,1945,12117,0,3272,122,
12885,1945,12117,0,3272,118,
12824,1944,12117,0,3272,123,
13493,1944,12117,0,3272,121,
13524,1945,12117,0,3272,122,
12744,1945,12117,0,3272,122,
12866,1944,12117,0,3272,125,
12719,1945,12117,0,3272,120,
13253,1945,12117,0,3272,117,
13276,1945,12117,0,3272,119,
13038,1944,12117,0,3272,118,
13020,1944,12117,0,3272,118,
14603,1945,12117,0,3272,122,
12746,1945,12117,0,3272,122,
13003,1945,12117,0,3272,113,
12762,1945,12117,0,3272,119,
12975,1945,12117,0,3272,121,
13098,1945,12117,0,3272,121,
13064,1945,12117,0,3272,119,
12930,1944,12117,0,3272,119,
13771,1945,12117,0,3272,124,
12912,1945,12117,0,3272,116,
14201,1945,12117,0,3272,119,
13710,1945,12117,0,3272,114,
12984,1944,12117,0,3272,115,
12906,1944,12117,0,3272,122,
13185,1944,12117,0,3272,119,
12906,1945,12117,0,3272,119,
12894,1945,12117,0,3272,116,
13061,1944,12117,0,3272,124,
13123,1945,12117,0,3272,118,
12828,1945,12117,0,3272,121,
12733,1944,12117,0,3272,118,
12967,1945,12117,0,3272,116,
13587,1945,12117,0,3272,117,
