PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
27293,529,9869,0,140337593887848,14,
25742,529,9869,0,140337593887848,10,
25694,673,9869,0,140337593887848,8,
25432,673,9869,0,140337593887848,9,
25388,673,9869,0,140337593887848,8,
25353,673,9869,0,140337593887848,7,
25418,673,9869,0,140337593887848,9,
25418,673,9869,0,140337593887848,9,
25729,778,9869,0,140337593887848,14,
25458,778,9869,0,140337593887848,17,
25517,778,9869,0,140337593887848,15,
25524,778,9869,0,140337593887848,22,
25529,778,9869,0,140337593887848,18,
25421,778,9869,0,140337593887848,18,
25417,529,9869,0,140337593887848,14,
25570,708,9869,0,140337593887848,15,
25320,529,9869,0,140337593887848,14,
25409,791,9869,0,140337593887848,17,
25406,529,9869,0,140337593887848,9,
25449,791,9869,0,140337593887848,11,
25371,529,9869,0,140337593887848,8,
25472,791,9869,0,140337593887848,17,
25345,529,9869,0,140337593887848,8,
25450,791,9869,0,140337593887848,13,
25391,529,9869,0,140337593887848,9,
25515,791,9869,0,140337593887848,17,
25386,533,9869,0,140337593887848,10,
25277,529,9869,0,140337593887848,7,
25758,800,9869,0,140337593887848,15,
25483,791,9869,0,140337593887848,17,
25221,529,9869,0,140337593887848,10,
25398,791,9869,0,140337593887848,18,
25216,529,9869,0,140337593887848,11,
25329,529,9869,0,140337593887848,9,
25454,791,9869,0,140337593887848,17,
25356,529,9869,0,140337593887848,11,
25381,791,9869,0,140337593887848,12,
25336,529,9869,0,140337593887848,9,
25569,800,9869,0,140337593887848,15,
25419,708,9869,0,140337593887848,13,
25356,529,9869,0,140337593887848,11,
25465,791,9869,0,140337593887848,15,
25346,529,9869,0,140337593887848,10,
25370,791,9869,0,140337593887848,15,
25272,529,9869,0,140337593887848,11,
25476,791,9869,0,140337593887848,20,
25236,533,9869,0,140337593887848,9,
25228,529,9869,0,140337593887848,13,
25259,529,9869,0,140337593887848,9,
25591,608,9869,0,140337593887848,19,
25337,529,9869,0,140337593887848,9,
25512,791,9869,0,140337593887848,13,
25223,529,9869,0,140337593887848,9,
25263,529,9869,0,140337593887848,7,
25567,791,9869,0,140337593887848,20,
25468,791,9869,0,140337593887848,19,
25286,529,9869,0,140337593887848,5,
25568,791,9869,0,140337593887848,18,
25225,529,9869,0,140337593887848,6,
25571,791,9869,0,140337593887848,16,
25352,529,9869,0,140337593887848,10,
42113,792,15641,0,140337593887848,46,
25278,529,9869,0,140337593887848,11,
25542,791,9869,0,140337593887848,23,
25269,529,9869,0,140337593887848,13,
25407,791,9869,0,140337593887848,17,
25249,529,9869,0,140337593887848,9,
25463,791,9869,0,140337593887848,16,
25213,529,9869,0,140337593887848,13,
25498,791,9869,0,140337593887848,15,
25301,529,9869,0,140337593887848,11,
25379,791,9869,0,140337593887848,15,
25297,529,9869,0,140337593887848,11,
25303,529,9869,0,140337593887848,8,
25610,708,9869,0,140337593887848,18,
25471,791,9869,0,140337593887848,13,
25175,529,9869,0,140337593887848,10,
25351,529,9869,0,140337593887848,10,
25240,529,9869,0,140337593887848,10,
25475,791,9869,0,140337593887848,12,
25255,529,9869,0,140337593887848,13,
25424,791,9869,0,140337593887848,25,
25294,529,9869,0,140337593887848,9,
25525,791,9869,0,140337593887848,18,
25433,791,9869,0,140337593887848,22,
25341,529,9869,0,140337593887848,8,
25509,708,9869,0,140337593887848,14,
25274,529,9869,0,140337593887848,7,
25427,791,9869,0,140337593887848,17,
25290,529,9869,0,140337593887848,11,
25481,791,9869,0,140337593887848,14,
25286,529,9869,0,140337593887848,9,
25567,708,9869,0,140337593887848,19,
25185,529,9869,0,140337593887848,12,
25481,791,9869,0,140337593887848,19,
25229,529,9869,0,140337593887848,9,
25418,791,9869,0,140337593887848,17,
25293,529,9869,0,140337593887848,11,
25433,791,9869,0,140337593887848,16,
25279,529,9869,0,140337593887848,6,
25543,791,9869,0,140337593887848,18,
25301,529,9869,0,140337593887848,15,
25427,791,9869,0,140337593887848,14,
25334,529,9869,0,140337593887848,8,
25464,791,9869,0,140337593887848,15,
26158,529,9869,0,140337593887848,14,
25497,791,9869,0,140337593887848,20,
25374,529,9869,0,140337593887848,9,
25540,791,9869,0,140337593887848,22,
25272,529,9869,0,140337593887848,11,
25452,791,9869,0,140337593887848,14,
25492,791,9869,0,140337593887848,20,
25377,529,9869,0,140337593887848,12,
25263,529,9869,0,140337593887848,9,
25508,791,9869,0,140337593887848,16,
25424,529,9869,0,140337593887848,7,
25445,791,9869,0,140337593887848,20,
25517,791,9869,0,140337593887848,15,
25371,529,9869,0,140337593887848,8,
25535,791,9869,0,140337593887848,15,
25419,529,9869,0,140337593887848,9,
25410,791,9869,0,140337593887848,15,
25250,529,9869,0,140337593887848,7,
25544,791,9869,0,140337593887848,22,
25265,529,9869,0,140337593887848,11,
25420,791,9869,0,140337593887848,18,
25289,529,9869,0,140337593887848,12,
25325,529,9869,0,140337593887848,17,
34626,791,9869,0,140337593887848,128,
25528,529,9869,0,140337593887848,11,
25402,791,9869,0,140337593887848,14,
25268,529,9869,0,140337593887848,8,
25476,791,9869,0,140337593887848,16,
25108,529,9869,0,140337593887848,8,
25507,791,9869,0,140337593887848,13,
25252,529,9869,0,140337593887848,8,
25471,791,9869,0,140337593887848,14,
25236,529,9869,0,140337593887848,10,
25529,791,9869,0,140337593887848,18,
25275,529,9869,0,140337593887848,11,
25556,791,9869,0,140337593887848,26,
25229,529,9869,0,140337593887848,11,
25627,791,9869,0,140337593887848,19,
25319,529,9869,0,140337593887848,8,
25564,791,9869,0,140337593887848,15,
25636,791,9869,0,140337593887848,16,
25362,529,9869,0,140337593887848,7,
25490,791,9869,0,140337593887848,15,
25322,529,9869,0,140337593887848,11,
