PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
40906,1171,9866,0,139686652796008,56,
28653,1183,9869,0,139686652796008,34,
28032,1191,9869,0,139686652796008,44,
27946,1205,9869,0,139686652796008,42,
27901,1177,9869,0,139686652796008,33,
27752,1209,9869,0,139686652796008,38,
26164,1161,9869,0,139686652796008,47,
26684,1185,9869,0,139686652796008,41,
28041,1175,9869,0,139686652796008,37,
28001,1191,9869,0,139686652796008,38,
28359,1219,9869,0,139686652796008,37,
27684,1173,9869,0,139686652796008,43,
27541,1177,9869,0,139686652796008,36,
27393,1173,9869,0,139686652796008,39,
27392,1161,9869,0,139686652796008,44,
27640,1195,9869,0,139686652796008,36,
28520,1215,9869,0,139686652796008,44,
27747,1203,9869,0,139686652796008,39,
27735,1211,9869,0,139686652796008,37,
27592,1185,9869,0,139686652796008,39,
27524,1191,9869,0,139686652796008,36,
27987,1175,9869,0,139686652796008,42,
28036,1193,9869,0,139686652796008,37,
27821,1179,9869,0,139686652796008,50,
27346,1189,9869,0,139686652796008,36,
27534,1181,9869,0,139686652796008,39,
28906,1213,9869,0,139686652796008,35,
27414,1191,9869,0,139686652796008,42,
27457,1181,9869,0,139686652796008,34,
28663,1209,9869,0,139686652796008,40,
27796,1179,9869,0,139686652796008,42,
27847,1187,9869,0,139686652796008,46,
27477,1175,9869,0,139686652796008,36,
27716,1175,9869,0,139686652796008,42,
28102,1175,9869,0,139686652796008,37,
28193,1199,9869,0,139686652796008,38,
28294,1193,9869,0,139686652796008,38,
27604,1185,9869,0,139686652796008,42,
27701,1179,9869,0,139686652796008,41,
27775,1191,9869,0,139686652796008,49,
27610,1197,9869,0,139686652796008,41,
27615,1183,9869,0,139686652796008,45,
28009,1167,9869,0,139686652796008,38,
27614,1169,9869,0,139686652796008,45,
27181,1167,9869,0,139686652796008,43,
27777,1169,9869,0,139686652796008,46,
27709,1181,9869,0,139686652796008,42,
27689,1169,9869,0,139686652796008,37,
28255,1181,9869,0,139686652796008,44,
27649,1173,9869,0,139686652796008,36,
27816,1193,9869,0,139686652796008,41,
27662,1201,9869,0,139686652796008,38,
28045,1195,9869,0,139686652796008,39,
27816,1201,9869,0,139686652796008,40,
27359,1183,9869,0,139686652796008,39,
28014,1191,9869,0,139686652796008,44,
27462,1199,9869,0,139686652796008,37,
27890,1191,9869,0,139686652796008,39,
27512,1181,9869,0,139686652796008,36,
27491,1213,9869,0,139686652796008,35,
27543,1167,9869,0,139686652796008,36,
27749,1195,9869,0,139686652796008,37,
27448,1165,9869,0,139686652796008,38,
27845,1199,9869,0,139686652796008,40,
27496,1185,9869,0,139686652796008,39,
27422,1193,9869,0,139686652796008,37,
27450,1175,9869,0,139686652796008,40,
27364,1195,9869,0,139686652796008,37,
27590,1177,9869,0,139686652796008,38,
27013,1159,9869,0,139686652796008,39,
27789,1187,9869,0,139686652796008,43,
27914,1195,9869,0,139686652796008,36,
27689,1183,9869,0,139686652796008,35,
27764,1189,9869,0,139686652796008,38,
27442,1187,9869,0,139686652796008,43,
27691,1179,9869,0,139686652796008,44,
27368,1173,9869,0,139686652796008,36,
27900,1171,9869,0,139686652796008,38,
27965,1193,9869,0,139686652796008,39,
27423,1189,9869,0,139686652796008,41,
27914,1175,9869,0,139686652796008,35,
27298,1183,9869,0,139686652796008,44,
27774,1181,9869,0,139686652796008,34,
27410,1197,9869,0,139686652796008,47,
27823,1169,9869,0,139686652796008,34,
27667,1193,9869,0,139686652796008,39,
27627,1173,9869,0,139686652796008,35,
27555,1203,9869,0,139686652796008,50,
27508,1177,9869,0,139686652796008,36,
27490,1181,9869,0,139686652796008,42,
27418,1177,9869,0,139686652796008,36,
27348,1179,9869,0,139686652796008,42,
27111,1179,9869,0,139686652796008,37,
28164,1179,9869,0,139686652796008,35,
28022,1185,9869,0,139686652796008,39,
26392,1189,9869,0,139686652796008,44,
26142,1183,9869,0,139686652796008,38,
27784,1191,9869,0,139686652796008,41,
26143,1191,9869,0,139686652796008,40,
26028,1165,9869,0,139686652796008,44,
27563,1177,9869,0,139686652796008,36,
27745,1187,9869,0,139686652796008,38,
28059,1171,9869,0,139686652796008,46,
27614,1187,9869,0,139686652796008,47,
28045,1183,9869,0,139686652796008,38,
27481,1181,9869,0,139686652796008,47,
28311,1205,9869,0,139686652796008,38,
27754,1199,9869,0,139686652796008,46,
27545,1171,9869,0,139686652796008,45,
27666,1193,9869,0,139686652796008,43,
50700,1181,20460,0,139686652796008,69,
27815,1189,9869,0,139686652796008,46,
27725,1175,9869,0,139686652796008,40,
28903,1195,9869,0,139686652796008,41,
27482,1177,9869,0,139686652796008,45,
28157,1181,9869,0,139686652796008,43,
27801,1183,9869,0,139686652796008,39,
27684,1191,9869,0,139686652796008,34,
27364,1153,9869,0,139686652796008,47,
27742,1181,9869,0,139686652796008,43,
27764,1189,9869,0,139686652796008,44,
27468,1187,9869,0,139686652796008,40,
27763,1213,9869,0,139686652796008,40,
27539,1197,9869,0,139686652796008,41,
28148,1175,9869,0,139686652796008,40,
27363,1183,9869,0,139686652796008,45,
27208,1177,9869,0,139686652796008,36,
27775,1183,9869,0,139686652796008,38,
27795,1205,9869,0,139686652796008,40,
27707,1181,9869,0,139686652796008,38,
27894,1171,9869,0,139686652796008,40,
52177,1171,9869,0,139686652796008,51,
28302,1197,9869,0,139686652796008,40,
27353,1185,9869,0,139686652796008,35,
27828,1195,9869,0,139686652796008,43,
28033,1189,9869,0,139686652796008,45,
27604,1181,9869,0,139686652796008,46,
28124,1165,9869,0,139686652796008,40,
28201,1185,9869,0,139686652796008,44,
27825,1195,9869,0,139686652796008,44,
27574,1195,9869,0,139686652796008,39,
27571,1179,9869,0,139686652796008,41,
27545,1197,9869,0,139686652796008,38,
28013,1165,9869,0,139686652796008,42,
27832,1179,9869,0,139686652796008,36,
27572,1181,9869,0,139686652796008,47,
27466,1169,9869,0,139686652796008,41,
27279,1165,9869,0,139686652796008,39,
28331,1181,9869,0,139686652796008,39,
27183,1191,9869,0,139686652796008,40,
