PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
55409,3366,9869,0,3087,736,
52655,3366,9869,0,3087,722,
51667,3366,9869,0,3087,729,
50864,3366,9869,0,3087,728,
46945,3366,9869,0,3087,728,
49294,3366,9869,0,3087,721,
52440,3366,9869,0,3087,719,
47874,3366,9869,0,3087,742,
49647,3366,9869,0,3087,741,
45143,3397,9869,0,3092,742,
49069,3366,9869,0,3087,714,
48449,3366,9869,0,4980,999,
50224,3366,9869,0,3087,732,
52416,3366,9869,0,3087,736,
50766,3366,9869,0,3087,722,
55042,3366,9869,0,3087,715,
49416,3366,9869,0,3087,710,
46592,3366,9869,0,3087,724,
50393,3366,9869,0,3087,742,
46706,3366,9869,0,3087,724,
49975,3366,9869,0,3087,720,
45884,3366,9869,0,3087,737,
50498,3366,9869,0,3087,736,
45107,3366,9869,0,3087,725,
46370,3366,9869,0,3087,740,
53065,3366,9869,0,3087,723,
48276,3366,9869,0,3087,706,
51541,3366,9869,0,3087,719,
51280,3366,9869,0,3087,735,
47601,3366,9869,0,3087,728,
48937,3366,9869,0,3087,730,
47224,3366,9869,0,3087,724,
54216,3366,9869,0,3087,720,
53919,3397,9869,0,3092,724,
48366,3366,9869,0,3087,739,
49107,3366,9869,0,3087,732,
48293,3366,9869,0,3087,723,
48546,3366,9869,0,3087,736,
45961,3366,9869,0,3087,732,
49332,3366,9869,0,3087,745,
50383,3366,9869,0,3087,729,
46664,3366,9869,0,3087,715,
53037,3366,9869,0,3087,724,
46397,3366,9869,0,3087,746,
49310,3366,9869,0,3087,721,
51456,3397,9869,0,3092,740,
52142,3366,9869,0,3087,724,
49228,3366,9869,0,3087,716,
50130,3366,9869,0,3087,729,
45621,3366,9869,0,3087,727,
48046,3397,9869,0,3092,743,
49057,3366,9869,0,3087,741,
46164,3366,9869,0,3087,729,
48099,3397,9869,0,3092,735,
53034,3366,9869,0,3087,735,
48845,3366,9869,0,3087,732,
50172,3366,9869,0,3087,737,
50826,3366,9869,0,3087,739,
47139,3366,9869,0,3087,713,
55037,3366,9869,0,3087,727,
48658,3366,9869,0,3087,729,
52178,3366,9869,0,3087,740,
50325,3366,9869,0,3087,730,
47245,3366,9869,0,3087,726,
51915,3366,9869,0,3087,720,
51637,3366,9869,0,3087,749,
51747,3366,9869,0,3087,747,
49522,3366,9869,0,3087,732,
47205,3397,9869,0,3092,729,
46364,3366,9869,0,3087,743,
46973,3397,9869,0,3092,723,
49250,3366,9869,0,3087,741,
47613,3397,9869,0,3092,734,
49648,3397,9869,0,3092,721,
48588,3366,9869,0,3087,730,
49208,3366,9869,0,3087,721,
51315,3366,9869,0,3087,727,
51727,3366,9869,0,3087,733,
50009,3366,9869,0,3087,726,
50362,3366,9869,0,3087,725,
50950,3366,9869,0,3087,729,
51229,3366,9869,0,3087,723,
49180,3397,9869,0,3092,738,
46053,3366,9869,0,3087,750,
50683,3366,9869,0,3087,728,
51599,3366,9869,0,3087,733,
46067,3366,9869,0,3087,721,
50133,3366,9869,0,3087,727,
51053,3366,9869,0,3087,727,
48239,3366,9869,0,3087,745,
56093,3366,9869,0,3087,711,
53105,3366,9869,0,3087,727,
52484,3366,9869,0,3087,729,
48033,3366,9869,0,3087,724,
54216,3366,9869,0,3087,726,
47617,3366,9869,0,3087,727,
51662,3397,9869,0,3092,729,
51088,3366,9869,0,3087,731,
54315,3366,9869,0,3087,740,
52680,3366,9869,0,3087,725,
46764,3366,9869,0,3087,729,
48724,3366,9869,0,3087,739,
48257,3366,9869,0,3087,723,
47087,3366,9869,0,3087,736,
48192,3366,9869,0,3087,740,
48200,3366,9869,0,3087,711,
48606,3366,9869,0,3087,729,
61962,3366,17743,0,3087,725,
48251,3366,9869,0,3087,735,
52464,3409,9869,0,3095,732,
50852,3366,9869,0,3087,709,
53935,3366,9869,0,3087,721,
48101,3366,9869,0,3087,730,
48835,3366,9869,0,3087,725,
48268,3366,9869,0,3087,739,
46714,3366,9869,0,3087,732,
49644,3366,9869,0,3087,730,
45830,3366,9869,0,3087,736,
48796,3366,9869,0,3087,725,
46997,3366,9869,0,3087,733,
48917,3366,9869,0,3087,739,
46165,3366,9869,0,3087,718,
46855,3366,9869,0,3087,714,
48812,3366,9869,0,3087,726,
64432,3367,14022,0,3087,722,
49826,3366,9869,0,3087,724,
49996,3366,9869,0,3087,728,
55673,3366,9869,0,3087,727,
50705,3366,9869,0,3087,734,
52726,3366,9869,0,3087,763,
54773,3397,9869,0,3092,756,
48549,3366,9869,0,3087,736,
49750,3366,9869,0,3087,732,
47954,3366,9869,0,3087,744,
47771,3409,9869,0,3095,747,
49569,3366,9869,0,3087,738,
51161,3366,9869,0,3087,735,
50787,3366,9869,0,3087,710,
47763,3366,9869,0,3087,737,
50514,3366,9869,0,3087,729,
46592,3366,9869,0,3087,751,
50252,3397,9869,0,3092,737,
52064,3366,9869,0,3087,721,
50554,3366,9869,0,3087,741,
49546,3366,9869,0,3087,745,
48756,3366,9869,0,3087,741,
48753,3366,9869,0,3087,736,
51224,3366,9869,0,3087,735,
50082,3366,9869,0,3087,746,
48555,3366,9869,0,3087,734,
49293,3366,9869,0,3087,733,
47469,3366,9869,0,3087,706,
48565,3397,9869,0,3092,733,
47649,3366,9869,0,3087,722,
46301,3366,9869,0,3087,709,
53621,3366,9869,0,3087,732,
50183,3366,9869,0,3087,735,
50804,3366,9869,0,3087,736,
49861,3366,9869,0,3087,726,
48466,3366,9869,0,3087,715,
51260,3366,9869,0,3087,726,
53483,3378,9869,0,3087,763,
50467,3378,9869,0,3087,751,
53032,3366,9869,0,3087,745,
51260,3366,9869,0,3087,747,
44714,3366,9869,0,3087,718,
48838,3366,9869,0,3087,738,
47743,3366,9869,0,3087,735,
52005,3366,9869,0,3087,731,
51679,3366,9869,0,3087,734,
50117,3366,9869,0,3087,739,
48474,3366,9869,0,3087,717,
48996,3366,9869,0,3087,722,
50058,3366,9869,0,3087,727,
47711,3366,9869,0,3087,712,
50116,3366,9869,0,3087,715,
49421,3366,9869,0,3087,730,
47972,3366,9869,0,3087,733,
