PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
44786,3269,9869,0,2953,735,
39722,3269,9869,0,2953,705,
39377,3269,9869,0,2953,719,
38300,3269,9869,0,2953,706,
38665,3269,9869,0,2953,724,
39005,3269,9869,0,2953,712,
39082,3269,9869,0,2953,719,
37958,3269,9869,0,2953,712,
37547,3269,9869,0,2953,729,
39015,3269,9869,0,2953,722,
39367,3269,9869,0,2953,711,
39244,3269,9869,0,2953,720,
38349,3269,9869,0,2953,726,
38958,3269,9869,0,2953,722,
51603,3269,9869,0,2953,714,
38801,3269,9869,0,2953,724,
38206,3269,9869,0,2953,714,
38465,3269,9869,0,2953,708,
38540,3269,9869,0,2953,720,
39007,3269,9869,0,2953,712,
38985,3269,9869,0,2953,714,
39504,3269,9869,0,2953,717,
39548,3269,9869,0,2953,721,
38561,3269,9869,0,2953,725,
39376,3269,9869,0,2953,710,
38844,3269,9869,0,2953,710,
39402,3269,9869,0,2953,714,
38832,3269,9869,0,2953,704,
37722,3269,9869,0,2953,738,
38634,3269,9869,0,2953,716,
38726,3269,9869,0,2953,717,
39232,3275,9869,0,2954,718,
38001,3275,9869,0,2954,716,
39059,3275,9869,0,2954,718,
39415,3275,9869,0,2954,719,
38614,3275,9869,0,2954,735,
38647,3275,9869,0,2954,713,
39155,3275,9869,0,2954,715,
39055,3275,9869,0,2954,705,
38553,3275,9869,0,2954,713,
37757,3275,9869,0,2954,726,
38797,3275,9869,0,2954,710,
39034,3275,9869,0,2954,728,
39347,3275,9869,0,2954,721,
38074,3275,9869,0,2954,713,
38843,3275,9869,0,2954,729,
38591,3275,9869,0,2954,732,
38543,3275,9869,0,2954,715,
38175,3275,9869,0,2954,719,
39061,3275,9869,0,2954,707,
38789,3275,9869,0,2954,715,
38624,3275,9869,0,2954,719,
37926,3275,9869,0,2954,729,
39749,3275,9869,0,2954,725,
39121,3275,9869,0,2954,722,
39834,3275,9869,0,2954,719,
38350,3275,9869,0,2954,713,
38854,3275,9869,0,2954,725,
39379,3275,9869,0,2954,718,
39745,3275,9869,0,2954,724,
38074,3275,9869,0,2954,713,
38676,3275,9869,0,2954,716,
38601,3275,9869,0,2954,719,
38949,3275,9869,0,2954,704,
38095,3275,9869,0,2954,724,
39595,3275,9869,0,2954,729,
39013,3275,9869,0,2954,716,
39453,3275,9869,0,2954,727,
38208,3275,9869,0,2954,719,
38563,3275,9869,0,2954,717,
39008,3275,9869,0,2954,715,
38539,3275,9869,0,2954,710,
38708,3275,9869,0,2954,708,
38779,3275,9869,0,2954,719,
40432,3275,9869,0,2954,717,
40102,3275,9869,0,2954,715,
38074,3275,9869,0,2954,725,
39574,3275,9869,0,2954,719,
38991,3287,9869,0,2954,714,
39544,3287,9869,0,2954,730,
37808,3275,9869,0,2954,706,
40043,3275,9869,0,2954,718,
38663,3275,9869,0,2954,708,
39813,3275,9869,0,2954,706,
38367,3275,9869,0,2954,711,
38636,3275,9869,0,2954,713,
38385,3275,9869,0,2954,705,
40383,3275,9869,0,2954,718,
38147,3275,9869,0,2954,719,
39193,3275,9869,0,2954,725,
38661,3275,9869,0,2954,736,
38787,3275,9869,0,2954,726,
37853,3275,9869,0,2954,731,
38747,3275,9869,0,2954,713,
39057,3275,9869,0,2954,705,
38640,3275,9869,0,2954,722,
37690,3275,9869,0,2954,720,
38824,3275,9869,0,2954,715,
38882,3275,9869,0,2954,732,
39019,3275,9869,0,2954,727,
37850,3275,9869,0,2954,716,
38571,3275,9869,0,2954,732,
39381,3275,9869,0,2954,715,
38578,3275,9869,0,2954,711,
38321,3275,9869,0,2954,720,
38424,3275,9869,0,2954,711,
38709,3275,9869,0,2954,711,
39086,3275,9869,0,2954,712,
38390,3275,9869,0,2954,733,
39230,3275,9869,0,2954,708,
39061,3275,9869,0,2954,717,
38867,3275,9869,0,2954,726,
37865,3275,9869,0,2954,715,
39124,3275,9869,0,2954,736,
38625,3275,9869,0,2954,700,
39326,3275,9869,0,2954,714,
37893,3275,9869,0,2954,721,
38673,3275,9869,0,2954,721,
38463,3275,9869,0,2954,710,
38756,3275,9869,0,2954,717,
38041,3275,9869,0,2954,723,
39172,3275,9869,0,2954,725,
39200,3275,9869,0,2954,721,
39022,3275,9869,0,2954,719,
37808,3275,9869,0,2954,711,
39247,3275,9869,0,2954,715,
38559,3275,9869,0,2954,707,
38692,3275,9869,0,2954,715,
38328,3275,9869,0,2954,711,
38562,3275,9869,0,2954,711,
38745,3275,9869,0,2954,712,
38919,3275,9869,0,2954,719,
37755,3275,9869,0,2954,712,
38902,3275,9869,0,2954,706,
38803,3275,9869,0,2954,714,
39032,3275,9869,0,2954,731,
37682,3275,9869,0,2954,724,
38906,3275,9869,0,2954,721,
38719,3275,9869,0,2954,703,
38841,3275,9869,0,2954,714,
38855,3275,9869,0,2954,700,
38818,3275,9869,0,2954,717,
38864,3275,9869,0,2954,704,
39244,3275,9869,0,2954,710,
38125,3275,9869,0,2954,716,
39224,3275,9869,0,2954,722,
39355,3275,9869,0,2954,734,
38650,3275,9869,0,2954,713,
37733,3275,9869,0,2954,722,
39141,3275,9869,0,2954,711,
39066,3275,9869,0,2954,716,
38655,3275,9869,0,2954,713,
38056,3275,9869,0,2954,718,
39012,3275,9869,0,2954,709,
38830,3275,9869,0,2954,714,
38803,3275,9869,0,2954,719,
38536,3275,9869,0,2954,736,
38726,3275,9869,0,2954,723,
38527,3275,9869,0,2954,712,
38695,3275,9869,0,2954,710,
38523,3275,9869,0,2954,720,
38537,3275,9869,0,2954,722,
38506,3275,9869,0,2954,709,
38906,3275,9869,0,2954,711,
37910,3275,9869,0,2954,723,
39395,3275,9869,0,2954,705,
39049,3275,9869,0,2954,717,
39316,3275,9869,0,2954,730,
38088,3275,9869,0,2954,716,
38539,3275,9869,0,2954,715,
38923,3275,9869,0,2954,712,
38578,3275,9869,0,2954,712,
38496,3275,9869,0,2954,728,
39121,3275,9869,0,2954,722,
38670,3275,9869,0,2954,731,
38817,3275,9869,0,2954,723,
38183,3275,9869,0,2954,726,
39324,3275,9869,0,2954,722,
38856,3275,9869,0,2954,709,
39447,3275,9869,0,2954,714,
37969,3275,9869,0,2954,736,
38738,3275,9869,0,2954,708,
39331,3275,9869,0,2954,728,
39047,3275,9869,0,2954,722,
38522,3275,9869,0,2954,709,
38693,3275,9869,0,2954,714,
39185,3275,9869,0,2954,714,
38565,3275,9869,0,2954,720,
37946,3275,9869,0,2954,715,
38865,3275,9869,0,2954,723,
39066,3275,9869,0,2954,710,
38593,3275,9869,0,2954,716,
38892,3275,9869,0,2954,715,
38992,3275,9869,0,2954,728,
39049,3275,9869,0,2954,712,
39151,3275,9869,0,2954,709,
37814,3275,9869,0,2954,719,
38882,3275,9869,0,2954,713,
38920,3275,9869,0,2954,720,
39337,3275,9869,0,2954,703,
38510,3275,9869,0,2954,736,
38755,3275,9869,0,2954,729,
38512,3275,9869,0,2954,725,
38579,3275,9869,0,2954,712,
38089,3275,9869,0,2954,725,
39282,3275,9869,0,2954,707,
39037,3275,9869,0,2954,721,
39203,3275,9869,0,2954,722,
37885,3275,9869,0,2954,725,
39101,3275,9869,0,2954,715,
38999,3275,9869,0,2954,723,
39298,3275,9869,0,2954,725,
37827,3275,9869,0,2954,716,
38847,3275,9869,0,2954,736,
38921,3275,9869,0,2954,717,
39364,3275,9869,0,2954,717,
37929,3275,9869,0,2954,718,
39691,3275,9869,0,2954,716,
38590,3275,9869,0,2954,710,
38667,3275,9869,0,2954,706,
37612,3275,9869,0,2954,711,
39032,3275,9869,0,2954,713,
38854,3275,9869,0,2954,714,
39028,3275,9869,0,2954,719,
37798,3275,9869,0,2954,736,
38548,3275,9869,0,2954,717,
38860,3275,9869,0,2954,713,
38415,3275,9869,0,2954,706,
37731,3275,9869,0,2954,721,
39025,3275,9869,0,2954,711,
38563,3275,9869,0,2954,710,
39164,3275,9869,0,2954,711,
37849,3275,9869,0,2954,733,
39421,3275,9869,0,2954,717,
38568,3275,9869,0,2954,712,
38754,3275,9869,0,2954,717,
38143,3275,9869,0,2954,723,
38697,3275,9869,0,2954,715,
38935,3275,9869,0,2954,711,
38728,3275,9869,0,2954,723,
37826,3275,9869,0,2954,733,
38695,3275,9869,0,2954,709,
53845,3275,14159,0,2954,733,
38982,3275,9869,0,2954,710,
38070,3275,9869,0,2954,713,
38593,3275,9869,0,2954,723,
40459,3275,9869,0,2954,719,
38753,3275,9869,0,2954,711,
37725,3275,9869,0,2954,705,
38742,3275,9869,0,2954,723,
38750,3275,9869,0,2954,716,
38564,3275,9869,0,2954,710,
37854,3275,9869,0,2954,727,
38643,3275,9869,0,2954,709,
39041,3275,9869,0,2954,699,
38732,3275,9869,0,2954,702,
37978,3275,9869,0,2954,721,
38697,3275,9869,0,2954,717,
38615,3275,9869,0,2954,726,
39320,3275,9869,0,2954,708,
37881,3275,9869,0,2954,717,
38682,3275,9869,0,2954,717,
38865,3275,9869,0,2954,724,
39385,3275,9869,0,2954,713,
38454,3275,9869,0,2954,716,
39274,3275,9869,0,2954,717,
43708,3275,9869,0,2954,726,
39920,3275,9869,0,2954,718,
37927,3275,9869,0,2954,719,
39712,3275,9869,0,2954,720,
39138,3275,9869,0,2954,703,
38783,3275,9869,0,2954,715,
51658,3275,9869,0,2954,839,
49503,3275,9869,0,2954,925,
51215,3275,9869,0,2954,830,
48795,3275,9869,0,2954,799,
39126,3275,9869,0,2954,723,
39031,3275,9869,0,2954,717,
40067,3275,9869,0,2954,714,
39407,3275,9869,0,2954,728,
37789,3275,9869,0,2954,708,
39756,3275,9869,0,2954,707,
38829,3275,9869,0,2954,718,
39303,3275,9869,0,2954,715,
38220,3275,9869,0,2954,717,
38995,3275,9869,0,2954,710,
39001,3275,9869,0,2954,715,
39096,3275,9869,0,2954,721,
37920,3275,9869,0,2954,714,
39862,3275,9869,0,2954,715,
39778,3275,9869,0,2954,717,
39850,3275,9869,0,2954,722,
38084,3275,9869,0,2954,717,
38709,3275,9869,0,2954,705,
38548,3275,9869,0,2954,718,
38550,3275,9869,0,2954,725,
37834,3275,9869,0,2954,717,
38825,3275,9869,0,2954,722,
39078,3275,9869,0,2954,714,
39711,3275,9869,0,2954,713,
37921,3275,9869,0,2954,721,
39088,3275,9869,0,2954,722,
38815,3275,9869,0,2954,728,
38904,3275,9869,0,2954,705,
37403,3275,9869,0,2954,707,
38561,3275,9869,0,2954,712,
39400,3275,9869,0,2954,707,
38627,3275,9869,0,2954,711,
37735,3275,9869,0,2954,715,
38937,3275,9869,0,2954,717,
39177,3275,9869,0,2954,730,
38808,3275,9869,0,2954,731,
38247,3275,9869,0,2954,722,
38733,3275,9869,0,2954,726,
38615,3275,9869,0,2954,711,
38415,3275,9869,0,2954,711,
37865,3275,9869,0,2954,722,
38672,3275,9869,0,2954,719,
38511,3275,9869,0,2954,723,
38532,3275,9869,0,2954,716,
38180,3275,9869,0,2954,718,
38860,3275,9869,0,2954,736,
38771,3275,9869,0,2954,723,
38595,3275,9869,0,2954,720,
38442,3275,9869,0,2954,717,
38417,3275,9869,0,2954,722,
38636,3275,9869,0,2954,725,
38644,3275,9869,0,2954,721,
38053,3275,9869,0,2954,712,
38712,3275,9869,0,2954,719,
38716,3275,9869,0,2954,709,
38844,3275,9869,0,2954,707,
37750,3275,9869,0,2954,713,
39224,3275,9869,0,2954,732,
39179,3275,9869,0,2954,725,
39037,3275,9869,0,2954,718,
38316,3275,9869,0,2954,723,
39620,3275,9869,0,2954,706,
38618,3275,9869,0,2954,710,
38561,3275,9869,0,2954,713,
37605,3275,9869,0,2954,718,
38340,3275,9869,0,2954,717,
39132,3275,9869,0,2954,721,
39121,3275,9869,0,2954,727,
37835,3275,9869,0,2954,704,
39432,3275,9869,0,2954,715,
39087,3275,9869,0,2954,720,
39366,3275,9869,0,2954,720,
38397,3275,9869,0,2954,706,
38405,3275,9869,0,2954,711,
38388,3275,9869,0,2954,712,
39271,3275,9869,0,2954,708,
38683,3275,9869,0,2954,723,
38344,3275,9869,0,2954,719,
39205,3275,9869,0,2954,712,
39215,3275,9869,0,2954,714,
38049,3275,9869,0,2954,721,
38837,3275,9869,0,2954,714,
38507,3275,9869,0,2954,713,
38964,3275,9869,0,2954,709,
38432,3275,9869,0,2954,711,
38546,3275,9869,0,2954,712,
38874,3275,9869,0,2954,712,
38887,3275,9869,0,2954,719,
38076,3275,9869,0,2954,737,
39466,3275,9869,0,2954,707,
39142,3275,9869,0,2954,722,
39835,3275,9869,0,2954,722,
38639,3275,9869,0,2954,726,
38616,3275,9869,0,2954,725,
38594,3275,9869,0,2954,717,
39125,3275,9869,0,2954,723,
37772,3275,9869,0,2954,719,
39212,3275,9869,0,2954,718,
38855,3275,9869,0,2954,719,
38874,3275,9869,0,2954,710,
38556,3275,9869,0,2954,721,
39443,3275,9869,0,2954,727,
39740,3275,9869,0,2954,722,
38692,3275,9869,0,2954,716,
38130,3275,9869,0,2954,720,
39310,3275,9869,0,2954,710,
38755,3275,9869,0,2954,716,
38261,3275,9869,0,2954,707,
37929,3275,9869,0,2954,737,
39050,3275,9869,0,2954,713,
39422,3275,9869,0,2954,716,
38775,3275,9869,0,2954,713,
38504,3275,9869,0,2954,733,
39313,3275,9869,0,2954,720,
38857,3275,9869,0,2954,718,
39348,3275,9869,0,2954,718,
38350,3275,9869,0,2954,724,
38717,3275,9869,0,2954,723,
39421,3275,9869,0,2954,711,
38484,3275,9869,0,2954,710,
37797,3275,9869,0,2954,723,
38989,3275,9869,0,2954,709,
39101,3275,9869,0,2954,714,
38854,3275,9869,0,2954,703,
37812,3275,9869,0,2954,717,
38682,3275,9869,0,2954,724,
38918,3275,9869,0,2954,713,
39090,3275,9869,0,2954,718,
38002,3275,9869,0,2954,718,
38863,3275,9869,0,2954,717,
39067,3275,9869,0,2954,707,
38724,3275,9869,0,2954,712,
38224,3275,9869,0,2954,733,
38868,3275,9869,0,2954,707,
39525,3275,9869,0,2954,711,
39056,3275,9869,0,2954,717,
38056,3275,9869,0,2954,724,
38965,3275,9869,0,2954,724,
39169,3275,9869,0,2954,721,
38686,3275,9869,0,2954,706,
38272,3275,9869,0,2954,732,
38852,3275,9869,0,2954,708,
38733,3275,9869,0,2954,709,
38742,3275,9869,0,2954,711,
38155,3275,9869,0,2954,712,
40364,3275,9869,0,2954,722,
39897,3275,9869,0,2954,707,
38394,3275,9869,0,2954,722,
38184,3275,9869,0,2954,723,
38725,3275,9869,0,2954,720,
39867,3275,9869,0,2954,715,
39594,3275,9869,0,2954,712,
38541,3275,9869,0,2954,721,
38734,3275,9869,0,2954,712,
38713,3275,9869,0,2954,712,
39024,3275,9869,0,2954,717,
38642,3275,9869,0,2954,714,
39273,3275,9869,0,2954,727,
39233,3275,9869,0,2954,720,
38608,3275,9869,0,2954,726,
37684,3275,9869,0,2954,704,
38929,3275,9869,0,2954,705,
38622,3275,9869,0,2954,715,
38815,3275,9869,0,2954,725,
38031,3275,9869,0,2954,715,
38619,3275,9869,0,2954,713,
38831,3275,9869,0,2954,723,
39329,3295,9869,0,2958,738,
39141,3295,9869,0,2958,717,
39153,3295,9869,0,2958,728,
39047,3295,9869,0,2958,725,
39376,3295,9869,0,2958,732,
38830,3295,9869,0,2958,740,
39066,3295,9869,0,2958,733,
38639,3295,9869,0,2958,710,
40506,3295,9869,0,2958,713,
38639,3295,9869,0,2958,733,
38930,3295,9869,0,2958,709,
38924,3295,9869,0,2958,727,
39221,3295,9869,0,2958,735,
37883,3295,9869,0,2958,722,
39005,3295,9869,0,2958,737,
38903,3295,9869,0,2958,725,
38992,3295,9869,0,2958,717,
38920,3295,9869,0,2958,727,
38720,3295,9869,0,2958,717,
39122,3295,9869,0,2958,726,
38381,3295,9869,0,2958,720,
38122,3295,9869,0,2958,731,
39248,3295,9869,0,2958,715,
39250,3295,9869,0,2958,716,
39835,3295,9869,0,2958,729,
39406,3295,9869,0,2958,718,
39625,3295,9869,0,2958,725,
38796,3295,9869,0,2958,720,
39123,3295,9869,0,2958,721,
38193,3295,9869,0,2958,730,
38575,3295,9869,0,2958,721,
38790,3295,9869,0,2958,727,
38670,3295,9869,0,2958,725,
38237,3295,9869,0,2958,732,
39072,3295,9869,0,2958,725,
39399,3295,9869,0,2958,728,
39795,3295,9869,0,2958,729,
37893,3295,9869,0,2958,724,
39351,3295,9869,0,2958,717,
38398,3295,9869,0,2958,735,
38817,3295,9869,0,2958,725,
38434,3295,9869,0,2958,735,
38916,3295,9869,0,2958,730,
39377,3295,9869,0,2958,715,
38964,3295,9869,0,2958,723,
38104,3295,9869,0,2958,721,
40469,3307,9869,0,2958,718,
38873,3307,9869,0,2958,725,
53566,3295,13885,0,2958,730,
37980,3295,9869,0,2958,717,
39626,3295,9869,0,2958,715,
39552,3295,9869,0,2958,720,
39022,3295,9869,0,2958,718,
38355,3295,9869,0,2958,715,
38368,3295,9869,0,2958,720,
39507,3295,9869,0,2958,719,
39489,3295,9869,0,2958,716,
38398,3295,9869,0,2958,729,
39042,3295,9869,0,2958,732,
39881,3295,9869,0,2958,725,
39075,3295,9869,0,2958,713,
38305,3295,9869,0,2958,726,
38490,3295,9869,0,2958,715,
38938,3295,9869,0,2958,711,
38770,3295,9869,0,2958,709,
38063,3295,9869,0,2958,725,
39021,3295,9869,0,2958,725,
38868,3295,9869,0,2958,722,
38900,3295,9869,0,2958,727,
38178,3295,9869,0,2958,717,
39307,3295,9869,0,2958,724,
39309,3295,9869,0,2958,716,
39105,3295,9869,0,2958,728,
38280,3295,9869,0,2958,723,
38456,3295,9869,0,2958,725,
38602,3295,9869,0,2958,717,
38851,3295,9869,0,2958,728,
37886,3295,9869,0,2958,723,
39037,3295,9869,0,2958,711,
38931,3295,9869,0,2958,710,
39381,3295,9869,0,2958,723,
38205,3295,9869,0,2958,742,
39091,3295,9869,0,2958,739,
39127,3295,9869,0,2958,726,
38815,3295,9869,0,2958,717,
38252,3295,9869,0,2958,723,
39244,3295,9869,0,2958,714,
38706,3295,9869,0,2958,722,
39887,3295,9869,0,2958,719,
38085,3295,9869,0,2958,726,
39572,3295,9869,0,2958,728,
39124,3295,9869,0,2958,730,
38709,3295,9869,0,2958,732,
38158,3295,9869,0,2958,723,
38659,3295,9869,0,2958,717,
40205,3295,9869,0,2958,730,
39464,3295,9869,0,2958,719,
37771,3295,9869,0,2958,716,
38924,3295,9869,0,2958,724,
